Gene	CF1.20	CF2.20	CF3.20	CF1.22	CF2.22	CF3.22	CF1.24	CF3.24	CF2.24	CF1.26	CF2.26	CF3.26	CSW1.20	CSW2.20	CSW3.20	CSW1.22	CSW2.22	CSW3.22	CSW1.24	CSW3.24	CSW2.24	CSW1.26	CSW2.26	CSW3.26	MEW1.20	MEW2.20	MEW3.20	MEW1.22	MEW2.22	MEW3.22	MEW1.24	MEW3.24	MEW2.24	MEW1.26	MEW2.26	MEW3.26	PNW1.20	PNW2.20	PNW3.20	PNW1.22	PNW2.22	PNW3.22	PNW1.24	PNW3.24	PNW2.24	PNW1.26	PNW2.26	PNW3.26	CDW1.20	CDW2.20	CDW3.20	CDW1.22	CDW2.22	CDW3.22	CDW1.24	CDW3.24	CDW2.24	CDW1.26	CDW2.26	CDW3.26	SB1.20	SB2.20	SB3.20	SB1.22	SB2.22	SB3.22	SB1.24	SB3.24	SB2.24	SB1.26	SB2.26	SB3.26	SMW1.20	SMW2.20	SMW3.20	SMW1.22	SMW2.22	SMW3.22	SMW1.24	SMW3.24	SMW2.24	SMW1.26	SMW2.26	SMW3.26
VIT_00s0125g00020	2.8505	2.9004	2.39	3.958	3.688	2.876	3.583	2.992	2.395	3.631	2.614	3.789	5.775	2.691	2.491	2.525	1.9825	3.384	2.0037	2.832	2.529	1.9759	1.547	1.701	2.467	3.31	3.4594	4.79	3.681	3.258	3.634	2.926	3.07978	3.532	3.42	3.664	2.3066	2.809	2.686	3.857	3.155	2.678	2.139	2.2513	2.464	2.847	2.542	2.504	2.521	3.894	3.5504	3.455	3.232	2.346	2.595	2.51	2.707	2.9632	2.4678	1.9593	3.404	3.3979	3.3094	2.64	3.394	3.088	3.0413	3.272	3.212	2.8141	2.506	2.5337	2.667	3.666	3.34	2.493	2.8443	3.596	3.027	3.189	2.2511	3.342	2.282	3.338
VIT_00s0125g00060	4.8349	4.6764	4.758	5.739	5.12	4.728	5.465	5.001	4.809	5.465	4.836	5.421	7.182	4.822	4.733	4.303	4.3465	5	4.4697	4.843	4.743	4.1292	3.811	4.199	4.721	5.312	5.2509	6.454	5.684	5.374	5.387	5.222	5.06247	5.348	5.44	5.772	4.1717	4.793	4.748	5.114	5.0679	4.896	4.865	5.1394	4.6529	4.748	4.806	5.064	5.096	5.843	5.6313	5.305	5.458	4.692	5.18	5.039	5.315	5.3155	5.1352	4.2548	5.309	5.1946	5.24623	4.704	4.95	4.954	4.836	5.213	5.053	4.9784	5.034	4.972	4.895	5.786	5.384	4.932	5.0581	5.632	5.576	5.73	5.109	5.855	4.996	5.65
VIT_00s0125g00070	6.5676	6.4287	6.45	7.416	6.997	6.535	7.203	6.741	6.481	7.218	6.472	7.392	8.828	6.448	6.371	5.963	5.7916	6.721	6.1829	6.555	6.312	5.8051	5.435	5.777	6.294	6.956	6.8963	7.927	7.352	7.164	7.096	6.958	6.70647	7.019	6.876	7.538	5.9442	6.559	6.47	6.851	6.7308	6.62	6.658	6.9012	6.3753	6.447	6.235	6.769	6.845	7.574	7.3273	7.113	7.023	6.635	6.936	6.774	7.024	7.0389	6.6766	6.2787	6.993	6.9292	6.97671	6.427	6.789	6.777	6.5534	7.042	6.869	6.8032	6.838	6.7491	6.589	7.448	7.163	6.672	6.9051	7.348	7.308	7.411	6.8149	7.608	6.635	7.384
VIT_00s0125g00190	4.2802	4.2503	4.181	4.63	3.962	4.376	5.595	5.158	5.017	5.382	5.751	5.63	4.814	4.455	5.31	5.171	5.0481	5.875	5.5261	5.781	5.865	7.2326	6.923	7.324	4.657	4.24	4.6501	5.542	5.121	4.998	5.529	5.584	5.92205	5.873	5.845	5.867	3.3854	3.522	4.043	3.878	4.1642	4.148	4.968	4.8385	4.5607	5.311	5.133	5.202	4.556	4.466	5.0179	4.563	4.823	5.336	4.78	5.163	5.244	5.6093	5.6451	5.3513	3.12	4.005	3.46711	3.656	4.115	3.877	4.4776	4.218	4.855	4.5326	4.4	4.8834	4.332	4.127	3.584	4.468	5.0658	4.615	5.36	5.614	5.2919	5.532	5.327	5.701
VIT_00s0125g00280	3.4857	3.2235	2.932	3.179	2.917	2.429	2.06	2.076	1.609	2.465	0.879	1.153	3.107	3.77	2.863	1.986	2.2383	1.983	1.4847	1.814	1.447	0.8905	0.483	0.199	1.883	2.396	2.5048	0.851	2.132	1.815	1.916	1.201	2.0035	1.37	1.488	1.302	2.9044	2.691	2.981	2.619	2.2717	2.2	1.586	1.9503	1.712	1.147	1.146	1.3	3.356	3.123	3.3366	2.715	2.653	3.07	2.661	3.057	2.491	2.3618	2.3177	2.4933	4.823	5.0063	5.06202	3.813	4.149	3.91	3.0867	3.091	3.034	2.5815	2.431	2.9305	4.196	3.722	3.555	3.042	3.6732	3.392	2.785	2.624	3.0405	2.636	2.073	1.847
VIT_00s0160g00100	-0.3476	-0.3831	-0.173	-0.286	-0.408	-0.118	-0.084	-0.073	0.58	-0.921	0.015	-0.392	-0.365	-0.733	-0.912	-1.263	-0.4359	-2.132	-0.5451	-1.533	-0.722	-1.7444	-1.154	-2.132	0.404	-0.022	-0.787	0.155	0.45	0.058	0.719	0.28	0.22855	-0.304	-0.754	0.308	1.66	1.889	1.466	1.382	1.3108	1.757	0.874	0.8853	1.9855	0.885	1.518	0.347	1.59	1.535	1.4967	1.989	1.624	1.016	1.043	1.482	1.791	2.0748	1.8661	1.8044	-0.737	-0.5992	-0.74382	-0.655	-1.019	-1.246	-0.0059	-1.363	-0.358	-0.3599	0.142	-0.717	0.904	1.146	0.83	1.309	1.5463	1.118	1.592	1.419	0.819	0.759	1.046	0.743
VIT_00s0160g00110	1.2262	0.8186	0.983	0.706	0.614	1.174	0.772	0.92	1.217	0.788	1.033	0.902	0.275	1.23	0.442	0.04	0.7557	0.306	0.9659	0.876	0.786	-0.7228	-0.114	-0.326	1.6	1.419	0.6492	1.54	1.321	1.331	1.715	1.98	1.43848	1.311	0.738	1.227	3.9957	3.804	3.873	3.503	3.6237	3.804	3.183	3.0768	3.8788	2.806	3.005	2.532	3.864	3.635	3.6536	3.288	3.757	3.524	2.741	3.406	3.751	3.9188	3.6817	3.2614	1.509	1.6015	1.14184	1.704	1.686	1.842	2.1749	1.708	1.833	1.8898	2.564	1.8917	2.899	3.603	2.949	3.12	3.7167	3.358	3.651	3.286	2.8736	3.013	3.02	2.494
VIT_00s0160g00120	1.8663	1.7307	1.802	1.95	1.498	1.778	1.937	2.136	1.863	2.057	1.993	1.998	1.757	1.862	1.505	1.779	1.7673	1.642	2.0238	1.834	2.067	1.5464	1.21	1.739	1.557	1.554	1.5546	1.919	1.615	1.675	2.346	2.319	1.90155	2.066	1.535	1.823	3.2846	3.019	3.251	3.003	2.8517	3.09	2.793	2.6208	3.0906	2.517	2.595	2.35	3.531	3.259	2.9837	3.139	3.497	3.048	2.92	3.306	3.449	3.5168	3.1396	3.3593	2.27	2.5245	2.44798	2.575	2.629	2.656	2.824	2.582	2.755	2.7561	2.884	2.6517	2.166	2.248	2.255	2.279	2.6941	2.436	2.43	2.624	2.3872	2.267	2.488	2.224
VIT_00s0160g00130	1.2262	1.0306	0.848	1.702	0.813	1.021	1.513	1.007	1.524	1.359	1.237	1.552	0.657	0.72	1.008	1.062	0.8753	1.351	1.4847	1.211	1.191	1.1477	0.768	1.048	1.274	0.796	0.5403	1.47	0.833	0.923	1.584	1.298	1.13583	1.184	1.048	1.284	3.1836	2.947	2.768	2.771	3.1683	2.509	2.905	2.7705	2.9273	2.366	2.679	2.429	3.027	3.079	2.922	2.92	3.17	2.973	2.262	2.764	3.054	3.1253	3.3321	2.7008	2.572	2.3727	2.48833	2.096	2.297	2.218	2.5109	2.378	2.352	2.2858	2.447	2.2641	2.404	2.594	2.225	2.396	2.6941	2.578	2.795	2.825	2.6059	2.73	2.833	2.416
VIT_00s0160g00160	0.8275	0.7519	1.058	1.289	0.786	0.849	1.354	0.875	1.217	0.915	1.299	1.366	-1.175	-0.819	-0.799	-0.352	-1.0479	-0.902	-0.8771	-1.179	-1.085	-0.7665	-1.523	-0.494	0.665	0.483	0.6138	0.324	0.77	0.706	0.443	0.924	0.72278	1.184	0.866	0.826	1.9151	2.276	2.362	2.15	2.3082	2.213	2.379	2.4058	2.1673	2.444	2.131	1.992	2.521	2.632	2.4071	2.689	2.789	2.91	2.332	2.951	2.66	2.8989	2.9434	2.9354	1.9	2.4148	2.19846	1.898	2.242	2.107	2.0883	1.928	2.426	2.1819	2.344	2.1655	0.942	0.911	0.705	1.226	1.4559	1.551	1.099	1.545	1.7797	1.493	1.146	1.64
