V1_gene	Module	Mapped_v3	MapMan_v3	Mapped_v5	MapMan_v5	GO_v5
VIT_19s0014g02740	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_08s0056g01610	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_12s0059g00590	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_01s0010g02030	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_08s0056g01600	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_05s0049g00520	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0025g03390	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_11s0016g00210	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_16s0022g00960	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_07s0005g00660	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_19s0090g01370	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_06s0004g03240	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_06s0004g04650	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_05s0049g00760	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_17s0000g03280	M4	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_19s0014g02730	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_01s0011g05110	M6	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_03s0180g00070	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0187g00160	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_18s0001g14270	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0090g01340	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_09s0002g05180	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_07s0031g02210	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0090g01000	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_03s0038g01510	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_16s0022g01770	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_05s0094g00340	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_18s0001g14260	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_02s0025g01050	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_19s0090g01350	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_02s0033g01330	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_02s0033g01120	M10	TRUE	TRUE	TRUE	FALSE	TRUE
VIT_04s0008g05010	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_02s0025g03600	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_02s0025g04330	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_13s0019g04280	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_10s0003g00090	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_03s0038g02520	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_11s0016g04920	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_12s0028g01060	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_18s0001g12830	M10	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_05s0020g04510	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_13s0064g01240	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_12s0035g00270	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_15s0046g01500	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_10s0003g01360	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_17s0000g03690	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_00s0357g00100	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_03s0063g01770	M4	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_00s0698g00010	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_14s0108g00850	M1	TRUE	TRUE	TRUE	TRUE	FALSE
VIT_18s0001g08080	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_19s0090g01360	M1	TRUE	TRUE	TRUE	FALSE	FALSE
VIT_08s0007g07310	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_05s0062g01320	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_03s0038g01930	M2	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_00s0960g00010	M1	FALSE	FALSE	FALSE	FALSE	FALSE
VIT_08s0040g01820	M1	TRUE	TRUE	FALSE	FALSE	FALSE
VIT_15s0046g01560	M1	TRUE	TRUE	TRUE	TRUE	TRUE
VIT_08s0007g08310	M1	TRUE	TRUE	TRUE	TRUE	TRUE
