V1_gene	Annotation_gene	TermID	TermName
VIT_00s0225g00230	Vitvi05_01chr01g10290	GO:0000003	GO_BP:obsolete reproduction
VIT_00s0301g00100	Vitvi05_01chr10g07350	GO:0000003	GO_BP:obsolete reproduction
VIT_00s0375g00040	Vitvi05_01chr10g07660	GO:0000003	GO_BP:obsolete reproduction
VIT_00s1353g00010	Vitvi05_01chr07g25320	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0011g03070	Vitvi05_01chr01g03750	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0011g04060	Vitvi05_01chr01g05100	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0011g05200	Vitvi05_01chr01g06690	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0026g01910	Vitvi05_01chr01g14450	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0026g02540	Vitvi05_01chr01g15310	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0127g00560	Vitvi05_01chr01g11120	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0127g00590	Vitvi05_01chr01g11190	GO:0000003	GO_BP:obsolete reproduction
VIT_01s0146g00260	Vitvi05_01chr01g23810	GO:0000003	GO_BP:obsolete reproduction
VIT_02s0087g00170	Vitvi05_01chr02g18320	GO:0000003	GO_BP:obsolete reproduction
VIT_03s0063g01340	Vitvi05_01chr03g07070	GO:0000003	GO_BP:obsolete reproduction
VIT_03s0063g01380	Vitvi05_01chr03g07010	GO:0000003	GO_BP:obsolete reproduction
VIT_03s0110g00300	Vitvi05_01chr03g15540	GO:0000003	GO_BP:obsolete reproduction
VIT_04s0008g01970	Vitvi05_01chr04g02220	GO:0000003	GO_BP:obsolete reproduction
VIT_04s0023g02130	Vitvi05_01chr04g18610	GO:0000003	GO_BP:obsolete reproduction
VIT_05s0049g01780	Vitvi05_01chr05g12070	GO:0000003	GO_BP:obsolete reproduction
VIT_05s0077g01930	Vitvi05_01chr05g00560	GO:0000003	GO_BP:obsolete reproduction
