run_accession	sample_accession	secondary_sample_accession	experiment_accession	fastq_ftp	fastq_bytes	fastq_md5	library_layout	read_count	base_count
SRR5560516	SAMN07124247	SRS2200222	SRX2823622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560516/SRR5560516.fastq.gz	2738325569	10db0f0292068cd1897c7e43388b9b2d	SINGLE	31163115	2991659040
SRR5560522	SAMN07124241	SRS2200228	SRX2823628	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560522/SRR5560522.fastq.gz	1936599179	5adee70559f8defc25be0d46b1aef57a	SINGLE	23607452	2384352652
SRR5560525	SAMN07124346	SRS2200231	SRX2823631	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560525/SRR5560525.fastq.gz	2116423674	58de464ed0e715cc39ace045194078b8	SINGLE	27627993	2624659335
SRR5560526	SAMN07124345	SRS2200232	SRX2823632	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560526/SRR5560526.fastq.gz	2146219361	20e5a090efed37c952825dd3ef225583	SINGLE	28040926	2663887970
SRR5560530	SAMN07124340	SRS2200236	SRX2823636	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560530/SRR5560530.fastq.gz	2332514101	ef40acc35c1e2abbdf286e3b4756ecb6	SINGLE	30089261	2858479795
SRR5560531	SAMN07124339	SRS2200237	SRX2823637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560531/SRR5560531.fastq.gz	2445322878	27348e6e09e940d4f34be00d3b5a0378	SINGLE	31768886	3018044170
SRR5560534	SAMN07124336	SRS2200240	SRX2823640	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560534/SRR5560534.fastq.gz	2076959256	adc9756b55fbb3772b907aed61f89f8c	SINGLE	26060570	2475754150
SRR5560545	SAMN07124400	SRS2200252	SRX2823651	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560545/SRR5560545.fastq.gz	2096433042	7a475b6393f158e63d21e9161d906a6b	SINGLE	25148145	2539962645
SRR5560555	SAMN07124392	SRS2200260	SRX2823660	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560555/SRR5560555.fastq.gz	2185827550	fe16ff7221c2d730cce0df74898f9548	SINGLE	26643057	2690948757
SRR5560557	SAMN07124281	SRS2200262	SRX2823662	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560557/SRR5560557.fastq.gz	2196523480	85d8958b97bb8501d0e9b0263d11eabe	SINGLE	26783918	2705175718
SRR5560561	SAMN07124391	SRS2200266	SRX2823666	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560561/SRR5560561.fastq.gz	2691284443	8084ac4da243aa989245a3601303b66d	SINGLE	28859968	2914856768
SRR5560564	SAMN07124388	SRS2200269	SRX2823669	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560564/SRR5560564.fastq.gz	3312118974	032dfe1a89ca5c6565b676aca3e41893	SINGLE	37193055	3756498555
SRR5560568	SAMN07124384	SRS2200273	SRX2823673	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560568/SRR5560568.fastq.gz	3836036763	6210cd7da1ab3f646e2b964c32132579	SINGLE	44104508	4454555308
SRR5560569	SAMN07124383	SRS2200274	SRX2823674	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560569/SRR5560569.fastq.gz	4040447824	17917432d1470e7f5c3374b8e1966a31	SINGLE	46164612	4662625812
SRR5560571	SAMN07124381	SRS2200278	SRX2823676	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/001/SRR5560571/SRR5560571.fastq.gz	2884311671	215034c1e8812f98320592cbe5dc9f8a	SINGLE	35168105	3551978605
SRR5560573	SAMN07124379	SRS2200277	SRX2823678	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560573/SRR5560573.fastq.gz	2501957792	ba651dd8405ec1d201bcafd21ff0dbfb	SINGLE	29312661	2960578761
SRR5560578	SAMN07124374	SRS2200282	SRX2823683	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560578/SRR5560578.fastq.gz	3530222382	5ba2eb9d9ce1c167e02c7c6679a7c843	SINGLE	40997825	4140780325
SRR5560580	SAMN07124372	SRS2200284	SRX2823685	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560580/SRR5560580.fastq.gz	3158658058	02741185b1a02ff24c3d3f8204916801	SINGLE	35985671	3634552771
SRR5560584	SAMN07124368	SRS2200289	SRX2823689	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560584/SRR5560584.fastq.gz	3396911039	c87baff8394aa852f016c970aebbae99	SINGLE	38758184	3914576584
SRR5560585	SAMN07124239	SRS2200290	SRX2823690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560585/SRR5560585.fastq.gz	3850586648	4e3bd552d020a2fc9567371b112955f5	SINGLE	43710305	4414740805
SRR5560593	SAMN07124231	SRS2200297	SRX2823698	ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560593/SRR5560593.fastq.gz	2507712545	e9578a700ca15b7ce19f35a37e761d79	SINGLE	28369066	2865275666
