GeneID	GSM2627691	GSM2627692	GSM2627693	GSM2627709	GSM2627711	GSM2627713	GSM2627739	GSM2627740	GSM2627741	GSM2627742	GSM2627743	GSM2627744	GSM2627754	GSM2627755	GSM2627756	GSM2627781	GSM2627782	GSM2627783	GSM2627784	GSM2627785	GSM2627786	GSM2627793	GSM2627794	GSM2627795	GSM2627820	GSM2627821	GSM2627822	GSM2627823	GSM2627824	GSM2627825	GSM2627835	GSM2627836	GSM2627837	GSM2627850	GSM2627851	GSM2627852	GSM2627853	GSM2627854	GSM2627855	GSM2627862	GSM2627863	GSM2627864	GSM2627883	GSM2627884	GSM2627885	GSM2627886	GSM2627887	GSM2627888	GSM2627895	GSM2627896	GSM2627897	GSM2627919	GSM2627920	GSM2627921
VIT_00s0120g00010	8.35758	7.4245	6.10955	7.86467	7.92706	5.93475	14.2019	9.64921	13.7674	6.98728	6.77744	7.63066	7.07379	7.77102	8.17685	9.47452	10.1509	9.93938	2.63587	2.49455	2.6177	4.75461	4.20658	5.24591	11.9065	10.2236	9.41685	3.97333	5.43407	3.34301	4.06391	4.04517	4.43204	4.68833	4.52836	3.84803	4.09031	4.4535	3.46518	4.83527	4.43808	4.64289	4.47561	3.17232	2.75684	2.21986	2.92478	2.86188	2.45581	2.47417	3.07848	2.27889	2.38008	2.01861
VIT_00s0120g00020	3.28288	2.72134	2.74447	3.68379	2.53178	2.59821	7.90781	5.43628	8.24466	3.24631	4.23638	3.02709	2.90038	3.40178	2.81132	5.22465	4.97351	5.82136	0.775603	0.753088	0.74891	2.10597	2.14972	2.01957	4.58878	4.40623	3.72174	1.5169	1.18618	1.59874	1.60958	1.71506	1.89799	2.42802	2.33301	2.22277	1.22477	1.80255	1.7355	1.61236	1.22177	1.35825	3.10039	2.25858	3.20258	0.810026	0.983702	0.806718	1.1188	0.87181	1.13515	1.88538	1.79022	1.87326
VIT_00s0120g00030	0	0	0.239928	0.560597	0.365272	0.332268	0	0.715591	0.860775	0	0.513161	0.238716	0	0.502056	0.581941	0.498563	0.874543	0.523066	0.332675	0.615368	0.130338	0.398207	0.550211	0.689502	0.24972	0.361451	0.568423	0.255993	0.136825	0.263862	1.08636	1.87986	0.432733	1.29203	1.65999	1.08807	0.686594	1.60491	1.55159	0.857445	1.31411	1.24521	1.05075	2.08383	1.40283	0	0	0	0.352596	0.75993	0.876244	0.769772	1.32349	0.579827
VIT_00s0120g00060	0.0415453	0.0360532	0.091406	0.0524036	0.0766155	0.0416207	0.103695	0.0462479	0.0736317	0.0460142	0.214219	0.054109	0.0598357	0.0920202	0.0254676	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0340729	0.0335284	0.0571383	0.0103668	0.0315698	0.0343679	0.00393077	0.0282611	0.13093	0.0326284	0.030685	0.00553259	0.0265491	0.0268894	0.0212655	0.0298621	0.00481098	0	0	0	0	0	0	0	0	0
VIT_00s0120g00070	0.0735815	0.0817867	0.201008	0.107416	0.0913828	0.0816855	0.352145	0.222687	0.333757	0.186012	0.0922405	0.149036	0.0317112	0.207977	0.0520631	0	0	0	0.165748	0.228997	0.195003	0	0	0	0	0	0	0.289214	0.781461	0.101118	0.590795	0.864701	0.244288	0.157709	0.410909	0.217666	0.540824	0.373291	0.382533	0.63214	0.712144	0.744228	0.308814	0.323228	0.442687	0.193356	0.0724024	0.0790387	0	0	0.288725	0.0949522	0.373404	0.0961933
VIT_00s0120g00080	0.021417	0	0.00261069	0.0499104	0.00570936	0	0.107888	0.102303	0.0587751	0.00199923	0.0341052	0.00713011	0.00732963	0.0165431	0	0	0.122599	0	0	0	0	0	0	0	0	0	0	0.12682	0.0312671	0.0300272	0.0243074	0.011677	0.00270479	0.026125	0.0172697	0.0585072	0.0173834	0.041019	0.0492514	0.0986977	0.185879	0.0513292	0.013024	0.0614268	0.0679685	0	0	0	0	0	0	0	0	0
VIT_00s0120g00100	1.25e-05	0	0	0	0	0	7.67e-06	0	0	0	0	0.036302	0	0	0	0	0	0	0	0	0.020549	0	0.0278015	0	0	0	0	0	0	0	0	0.000112488	0.0351339	0	0	0.0272474	0	0	0	0	0	0	0	0	0	0	0.0251975	0	0	0	0	0	0	0.0317703
VIT_00s0120g00120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VIT_00s0120g00270	0.0408165	0.40236	0.580321	0.926664	1.14813	0.993275	1.83019	1.03144	2.19488	1.21927	0.941997	0.587277	0.641335	1.12099	1.18473	2.04182	3.01988	2.74871	0.481592	0.485951	0.636306	0.805934	1.18069	0.51579	2.35985	2.16113	2.65709	0.215185	0.0734044	0.0597434	0.185187	0.640639	0.051563	0.829838	0.895951	1.09379	0.631741	1.17202	0.564389	0.588945	0.0677374	0.484646	1.51919	1.06663	0.907601	0.320283	0.033669	0.552321	0.934833	0.716511	0.455656	0.598306	0.798154	0.741966
VIT_00s0120g00280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
