SampleName	GSM	Archivo	Fuente	Fecha	Notas
GSM2627691	GSM2627691				
GSM2627692	GSM2627692				
GSM2627693	GSM2627693				
GSM2627709	GSM2627709				
GSM2627711	GSM2627711				
GSM2627713	GSM2627713				
GSM2627739	GSM2627739				
GSM2627740	GSM2627740				
GSM2627741	GSM2627741				
GSM2627742	GSM2627742				
GSM2627743	GSM2627743				
GSM2627744	GSM2627744				
GSM2627754	GSM2627754				
GSM2627755	GSM2627755				
GSM2627756	GSM2627756				
GSM2627781	GSM2627781				
GSM2627782	GSM2627782				
GSM2627783	GSM2627783				
GSM2627784	GSM2627784				
GSM2627785	GSM2627785				
GSM2627786	GSM2627786				
GSM2627793	GSM2627793				
GSM2627794	GSM2627794				
GSM2627795	GSM2627795				
GSM2627820	GSM2627820				
GSM2627821	GSM2627821				
GSM2627822	GSM2627822				
GSM2627823	GSM2627823				
GSM2627824	GSM2627824				
GSM2627825	GSM2627825				
GSM2627835	GSM2627835				
GSM2627836	GSM2627836				
GSM2627837	GSM2627837				
GSM2627850	GSM2627850				
GSM2627851	GSM2627851				
GSM2627852	GSM2627852				
GSM2627853	GSM2627853				
GSM2627854	GSM2627854				
GSM2627855	GSM2627855				
GSM2627862	GSM2627862				
GSM2627863	GSM2627863				
GSM2627864	GSM2627864				
GSM2627883	GSM2627883				
GSM2627884	GSM2627884				
GSM2627885	GSM2627885				
GSM2627886	GSM2627886				
GSM2627887	GSM2627887				
GSM2627888	GSM2627888				
GSM2627895	GSM2627895				
GSM2627896	GSM2627896				
GSM2627897	GSM2627897				
GSM2627919	GSM2627919				
GSM2627920	GSM2627920				
GSM2627921	GSM2627921				
