SampleName	Class	GSM	Cultivar	Year	Stage	TimePoint	Replicate	DayAfterVeraison	Evidence	GEO_URL
GSM2627691	CS_FruitSet	GSM2627691	Cabernet Sauvignon	2012	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627691
GSM2627692	CS_FruitSet	GSM2627692	Cabernet Sauvignon	2012	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627692
GSM2627693	CS_FruitSet	GSM2627693	Cabernet Sauvignon	2012	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627693
GSM2627709	CS_Veraison	GSM2627709	Cabernet Sauvignon	2012	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627709
GSM2627711	CS_Veraison	GSM2627711	Cabernet Sauvignon	2012	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627711
GSM2627713	CS_Veraison	GSM2627713	Cabernet Sauvignon	2012	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627713
GSM2627739	CS_Harvest	GSM2627739	Cabernet Sauvignon	2012	Harvest	12	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627739
GSM2627740	CS_Harvest	GSM2627740	Cabernet Sauvignon	2012	Harvest	12	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627740
GSM2627741	CS_Harvest	GSM2627741	Cabernet Sauvignon	2012	Harvest	12	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627741
GSM2627742	CS_FruitSet	GSM2627742	Cabernet Sauvignon	2013	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627742
GSM2627743	CS_FruitSet	GSM2627743	Cabernet Sauvignon	2013	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627743
GSM2627744	CS_FruitSet	GSM2627744	Cabernet Sauvignon	2013	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627744
GSM2627754	CS_Veraison	GSM2627754	Cabernet Sauvignon	2013	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627754
GSM2627755	CS_Veraison	GSM2627755	Cabernet Sauvignon	2013	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627755
GSM2627756	CS_Veraison	GSM2627756	Cabernet Sauvignon	2013	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627756
GSM2627781	CS_Harvest	GSM2627781	Cabernet Sauvignon	2013	Harvest	13	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627781
GSM2627782	CS_Harvest	GSM2627782	Cabernet Sauvignon	2013	Harvest	13	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627782
GSM2627783	CS_Harvest	GSM2627783	Cabernet Sauvignon	2013	Harvest	13	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627783
GSM2627784	CS_FruitSet	GSM2627784	Cabernet Sauvignon	2014	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627784
GSM2627785	CS_FruitSet	GSM2627785	Cabernet Sauvignon	2014	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627785
GSM2627786	CS_FruitSet	GSM2627786	Cabernet Sauvignon	2014	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627786
GSM2627793	CS_Veraison	GSM2627793	Cabernet Sauvignon	2014	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627793
GSM2627794	CS_Veraison	GSM2627794	Cabernet Sauvignon	2014	Veraison	3	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627794
GSM2627795	CS_Veraison	GSM2627795	Cabernet Sauvignon	2014	Veraison	3	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627795
GSM2627820	CS_Harvest	GSM2627820	Cabernet Sauvignon	2014	Harvest	12	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627820
GSM2627821	CS_Harvest	GSM2627821	Cabernet Sauvignon	2014	Harvest	12	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627821
GSM2627822	CS_Harvest	GSM2627822	Cabernet Sauvignon	2014	Harvest	12	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627822
GSM2627823	PN_FruitSet	GSM2627823	Pinot noir	2012	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627823
GSM2627824	PN_FruitSet	GSM2627824	Pinot noir	2012	FruitSet	0	2		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627824
GSM2627825	PN_FruitSet	GSM2627825	Pinot noir	2012	FruitSet	0	3		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627825
GSM2627835	PN_Veraison	GSM2627835	Pinot noir	2012	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627835
GSM2627836	PN_Veraison	GSM2627836	Pinot noir	2012	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627836
GSM2627837	PN_Veraison	GSM2627837	Pinot noir	2012	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627837
GSM2627850	PN_Harvest	GSM2627850	Pinot noir	2012	Harvest	9	1		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627850
GSM2627851	PN_Harvest	GSM2627851	Pinot noir	2012	Harvest	9	2		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627851
GSM2627852	PN_Harvest	GSM2627852	Pinot noir	2012	Harvest	9	3		Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627852
GSM2627853	PN_FruitSet	GSM2627853	Pinot noir	2013	FruitSet	0	1		Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627853
