"pathway"	"CS_FruitSet"	"CS_Veraison"	"CS_Harvest"	"PN_FruitSet"	"PN_Veraison"	"PN_Harvest"
"M10"	-3.95939585376426	2.14925869383034	2.61543164199282	-4.25367338159215	2.72804115943009	3.11885761904917
"M2"	-2.14153135886804	-2.27610008242714	1.61425360739349	0.942915991818898	1.83907507773331	2.45136022904704
"M3"	-3.54156359658589	-0.409392370820837	2.09972427600511	-3.13469699927694	1.30428585939266	3.85679774738317
"M4"	-3.4035674100341	3.38990769462739	-1.23002526243573	-4.33026469686311	3.1153280206824	-1.42457817107322
"M5"	-4.1561261932149	-3.51938484359403	3.76754397260551	-4.59504755227464	-3.0833989807992	5.84870574337631
"M6"	2.7777349610879	-1.13417153739461	2.42478926505198	0.743031422593101	-2.77410719817498	2.28331097105086
"M7"	-2.39405513254688	-1.15301618589099	-1.44461720023037	1.64342959182915	1.94121698000269	1.97920778434167
"M8"	-2.04451078212735	-2.91460500612947	3.2367467182213	1.44061570250885	-2.83791856544119	2.98438462508838
"M9"	-2.4051415648293	-0.667053000111092	3.00203269961433	1.43509539860272	-2.38569851048553	2.80338435046814
"Not.Correlated"	-2.77338489803517	-0.834390869817402	3.8318693568309	-2.58565872410069	-1.35932213482347	2.97391379380574
