"pathway"	"CS_FruitSet"	"CS_Veraison"	"CS_Harvest"	"PN_FruitSet"	"PN_Veraison"	"PN_Harvest"
"M10"	3.96674293955027e-15	2.24556114099475e-05	2.44258058707841e-06	4.9467584763205e-18	2.0749965529757e-12	3.45264129403116e-09
"M2"	1.08545102099418e-09	1.15549474808427e-11	0.000402409844044356	0.671834625322997	3.49068545500062e-06	1.38532950365864e-09
"M3"	2.09144933107031e-21	1	2.44258058707841e-06	2.74440593866994e-13	0.0774487471526196	1.07452591472896e-23
"M4"	8.32914297354564e-19	4.08731143307677e-38	0.155210643015521	1.29697053046201e-26	8.13628636793189e-30	0.0377113133940182
"M5"	1.41121316334229e-26	3.38037840472103e-26	1.19402090765194e-18	1.0577039018635e-29	2.88881270955274e-18	1.76744901477679e-73
"M6"	3.75833994865658e-13	0.315126050420168	2.20104744071228e-06	0.858989424206816	5.69361702986956e-10	8.91959867908837e-06
"M7"	3.70261187689949e-06	0.315126050420168	0.0707547169811321	0.0165577491006518	0.000166772466153451	0.00115215206010585
"M8"	0.000238841852885171	1.15549474808427e-11	3.57860155466905e-09	0.0829238329238329	9.28240779349487e-10	9.48486385292517e-09
"M9"	2.53956070863438e-05	1	3.74798889630404e-08	0.0829238329238329	4.65396809979504e-06	1.26574184752293e-07
"Not.Correlated"	3.72739555071995e-08	1	1.17228768324634e-15	2.50601385381875e-06	0.0732554758629708	2.27161260296949e-09
