SampleName	Class
GSM2627691	CS_FruitSet
GSM2627692	CS_FruitSet
GSM2627693	CS_FruitSet
GSM2627709	CS_Veraison
GSM2627711	CS_Veraison
GSM2627713	CS_Veraison
GSM2627739	CS_Harvest
GSM2627740	CS_Harvest
GSM2627741	CS_Harvest
GSM2627742	CS_FruitSet
GSM2627743	CS_FruitSet
GSM2627744	CS_FruitSet
GSM2627754	CS_Veraison
GSM2627755	CS_Veraison
GSM2627756	CS_Veraison
GSM2627781	CS_Harvest
GSM2627782	CS_Harvest
GSM2627783	CS_Harvest
GSM2627784	CS_FruitSet
GSM2627785	CS_FruitSet
GSM2627786	CS_FruitSet
GSM2627793	CS_Veraison
GSM2627794	CS_Veraison
GSM2627795	CS_Veraison
GSM2627820	CS_Harvest
GSM2627821	CS_Harvest
GSM2627822	CS_Harvest
GSM2627823	PN_FruitSet
GSM2627824	PN_FruitSet
GSM2627825	PN_FruitSet
GSM2627835	PN_Veraison
GSM2627836	PN_Veraison
GSM2627837	PN_Veraison
GSM2627850	PN_Harvest
GSM2627851	PN_Harvest
GSM2627852	PN_Harvest
GSM2627853	PN_FruitSet
GSM2627854	PN_FruitSet
GSM2627855	PN_FruitSet
GSM2627862	PN_Veraison
GSM2627863	PN_Veraison
GSM2627864	PN_Veraison
GSM2627883	PN_Harvest
GSM2627884	PN_Harvest
GSM2627885	PN_Harvest
GSM2627886	PN_FruitSet
GSM2627887	PN_FruitSet
GSM2627888	PN_FruitSet
GSM2627895	PN_Veraison
GSM2627896	PN_Veraison
GSM2627897	PN_Veraison
GSM2627919	PN_Harvest
GSM2627920	PN_Harvest
GSM2627921	PN_Harvest
