SampleName	Class	GSM	Cultivar	Year	Stage	TimePoint	Replicate	DayAfterVeraison	Evidence	GEO_URL	GEO_Description
GSM2627691	CS_FruitSet	GSM2627691	Cabernet Sauvignon	2012	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627691	CS12_0_1_0
GSM2627692	CS_FruitSet	GSM2627692	Cabernet Sauvignon	2012	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627692	CS12_0_2_0
GSM2627693	CS_FruitSet	GSM2627693	Cabernet Sauvignon	2012	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627693	CS12_0_3_0
GSM2627709	CS_Veraison	GSM2627709	Cabernet Sauvignon	2012	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627709	CS12_A_1_4
GSM2627711	CS_Veraison	GSM2627711	Cabernet Sauvignon	2012	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627711	CS12_A_2_4
GSM2627713	CS_Veraison	GSM2627713	Cabernet Sauvignon	2012	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627713	CS12_A_3_4
GSM2627739	CS_Harvest	GSM2627739	Cabernet Sauvignon	2012	Harvest	12	1	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627739	CS12_A_1_12
GSM2627740	CS_Harvest	GSM2627740	Cabernet Sauvignon	2012	Harvest	12	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627740	CS12_A_2_12
GSM2627741	CS_Harvest	GSM2627741	Cabernet Sauvignon	2012	Harvest	12	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627741	CS12_A_3_12
GSM2627742	CS_FruitSet	GSM2627742	Cabernet Sauvignon	2013	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627742	CS13_0_1_0
GSM2627743	CS_FruitSet	GSM2627743	Cabernet Sauvignon	2013	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627743	CS13_0_2_0
GSM2627744	CS_FruitSet	GSM2627744	Cabernet Sauvignon	2013	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627744	CS13_0_3_0
GSM2627754	CS_Veraison	GSM2627754	Cabernet Sauvignon	2013	Veraison	4	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627754	CS13_A_1_4
GSM2627755	CS_Veraison	GSM2627755	Cabernet Sauvignon	2013	Veraison	4	2	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627755	CS13_A_2_4
GSM2627756	CS_Veraison	GSM2627756	Cabernet Sauvignon	2013	Veraison	4	3	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627756	CS13_A_3_4
GSM2627781	CS_Harvest	GSM2627781	Cabernet Sauvignon	2013	Harvest	13	1	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627781	CS13_A_1_13
GSM2627782	CS_Harvest	GSM2627782	Cabernet Sauvignon	2013	Harvest	13	2	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627782	CS13_A_2_13
GSM2627783	CS_Harvest	GSM2627783	Cabernet Sauvignon	2013	Harvest	13	3	NA	Protocol-derived: final time point; sampling until harvest (24.5 Brix)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627783	CS13_A_3_13
GSM2627784	CS_FruitSet	GSM2627784	Cabernet Sauvignon	2014	FruitSet	0	1	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627784	CS14_0_1_0
GSM2627785	CS_FruitSet	GSM2627785	Cabernet Sauvignon	2014	FruitSet	0	2	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627785	CS14_0_2_0
GSM2627786	CS_FruitSet	GSM2627786	Cabernet Sauvignon	2014	FruitSet	0	3	NA	Protocol-derived: sampling begins at fruit set	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627786	CS14_0_3_0
GSM2627793	CS_Veraison	GSM2627793	Cabernet Sauvignon	2014	Veraison	3	1	0	Explicit GEO: day after veraison = 0	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM2627793	CS14_A_1_3
