Module_beta7	Module_beta10	Genes_beta7	Genes_beta10	Shared_genes	Jaccard	Percent_beta7_retained	Percent_beta10_from_beta7
M1	M1	2340	2167	2150	0.912176495545185	91.8803418803419	99.2155053068759
M1	M10	2340	39	5	0.002106149957877	0.213675213675214	12.8205128205128
M1	M2	2340	214	9	0.00353634577603143	0.384615384615385	4.20560747663551
M1	M3	2340	131	16	0.0065173116089613	0.683760683760684	12.2137404580153
M1	M4	2340	122	26	0.0106732348111658	1.11111111111111	21.3114754098361
M1	M5	2340	108	7	0.002867677181483	0.299145299145299	6.48148148148148
M1	M6	2340	68	44	0.0186125211505922	1.88034188034188	64.7058823529412
M1	M7	2340	54	53	0.0226398974797095	2.26495726495726	98.1481481481482
M1	M8	2340	48	0	0	0	0
M1	M9	2340	42	2	0.000840336134453782	0.0854700854700855	4.76190476190476
M1	Not.Correlated	2340	57	28	0.0118193330519206	1.1965811965812	49.1228070175439
M2	M1	224	2167	5	0.00209555741827326	2.23214285714286	0.230733733271804
M2	M10	224	39	0	0	0	0
M2	M2	224	214	203	0.863829787234043	90.625	94.8598130841121
M2	M3	224	131	8	0.0230547550432277	3.57142857142857	6.10687022900763
M2	M4	224	122	0	0	0	0
M2	M5	224	108	0	0	0	0
M2	M6	224	68	3	0.0103806228373702	1.33928571428571	4.41176470588235
M2	M7	224	54	0	0	0	0
M2	M8	224	48	0	0	0	0
M2	M9	224	42	0	0	0	0
M2	Not.Correlated	224	57	5	0.0181159420289855	2.23214285714286	8.7719298245614
M3	M1	112	2167	0	0	0	0
M3	M10	112	39	0	0	0	0
M3	M2	112	214	1	0.00307692307692308	0.892857142857143	0.467289719626168
M3	M3	112	131	105	0.760869565217391	93.75	80.1526717557252
M3	M4	112	122	1	0.00429184549356223	0.892857142857143	0.819672131147541
M3	M5	112	108	0	0	0	0
M3	M6	112	68	0	0	0	0
M3	M7	112	54	0	0	0	0
M3	M8	112	48	2	0.0126582278481013	1.78571428571429	4.16666666666667
M3	M9	112	42	0	0	0	0
M3	Not.Correlated	112	57	3	0.0180722891566265	2.67857142857143	5.26315789473684
M4	M1	106	2167	0	0	0	0
M4	M10	106	39	0	0	0	0
M4	M2	106	214	1	0.00313479623824451	0.943396226415094	0.467289719626168
M4	M3	106	131	0	0	0	0
M4	M4	106	122	1	0.00440528634361234	0.943396226415094	0.819672131147541
M4	M5	106	108	101	0.893805309734513	95.2830188679245	93.5185185185185
M4	M6	106	68	0	0	0	0
M4	M7	106	54	0	0	0	0
M4	M8	106	48	0	0	0	0
M4	M9	106	42	0	0	0	0
M4	Not.Correlated	106	57	3	0.01875	2.83018867924528	5.26315789473684
M5	M1	98	2167	5	0.00221238938053097	5.10204081632653	0.230733733271804
M5	M10	98	39	0	0	0	0
M5	M2	98	214	0	0	0	0
M5	M3	98	131	2	0.00881057268722467	2.04081632653061	1.52671755725191
M5	M4	98	122	91	0.705426356589147	92.8571428571429	74.5901639344262
M5	M5	98	108	0	0	0	0
M5	M6	98	68	0	0	0	0
M5	M7	98	54	0	0	0	0
M5	M8	98	48	0	0	0	0
M5	M9	98	42	0	0	0	0
M5	Not.Correlated	98	57	0	0	0	0
M6	M1	71	2167	4	0.0017905102954342	5.63380281690141	0.184586986617443
M6	M10	71	39	0	0	0	0
M6	M2	71	214	0	0	0	0
M6	M3	71	131	0	0	0	0
M6	M4	71	122	0	0	0	0
M6	M5	71	108	0	0	0	0
M6	M6	71	68	19	0.158333333333333	26.7605633802817	27.9411764705882
M6	M7	71	54	1	0.00806451612903226	1.40845070422535	1.85185185185185
M6	M8	71	48	46	0.63013698630137	64.7887323943662	95.8333333333333
M6	M9	71	42	0	0	0	0
M6	Not.Correlated	71	57	1	0.0078740157480315	1.40845070422535	1.75438596491228
M7	M1	42	2167	3	0.0013599274705349	7.14285714285714	0.138440239963083
M7	M10	42	39	34	0.723404255319149	80.9523809523809	87.1794871794872
M7	M2	42	214	0	0	0	0
M7	M3	42	131	0	0	0	0
M7	M4	42	122	3	0.0186335403726708	7.14285714285714	2.45901639344262
M7	M5	42	108	0	0	0	0
M7	M6	42	68	2	0.0185185185185185	4.76190476190476	2.94117647058824
M7	M7	42	54	0	0	0	0
M7	M8	42	48	0	0	0	0
M7	M9	42	42	0	0	0	0
M7	Not.Correlated	42	57	0	0	0	0
M8	M1	40	2167	0	0	0	0
M8	M10	40	39	0	0	0	0
M8	M2	40	214	0	0	0	0
M8	M3	40	131	0	0	0	0
M8	M4	40	122	0	0	0	0
M8	M5	40	108	0	0	0	0
M8	M6	40	68	0	0	0	0
M8	M7	40	54	0	0	0	0
M8	M8	40	48	0	0	0	0
M8	M9	40	42	40	0.952380952380952	100	95.2380952380952
M8	Not.Correlated	40	57	0	0	0	0
Not.Correlated	M1	17	2167	0	0	0	0
Not.Correlated	M10	17	39	0	0	0	0
Not.Correlated	M2	17	214	0	0	0	0
Not.Correlated	M3	17	131	0	0	0	0
Not.Correlated	M4	17	122	0	0	0	0
Not.Correlated	M5	17	108	0	0	0	0
Not.Correlated	M6	17	68	0	0	0	0
Not.Correlated	M7	17	54	0	0	0	0
Not.Correlated	M8	17	48	0	0	0	0
Not.Correlated	M9	17	42	0	0	0	0
Not.Correlated	Not.Correlated	17	57	17	0.298245614035088	100	29.8245614035088
