Power	SFT.R.sq	slope	truncated.R.sq	mean.k.	median.k.	max.k.	Density	Centralization	Heterogeneity
1	0.8394008915292	1.57076866128522	0.7946938750335	1561.8571131962	1754.66120624795	2111.9800988934	0.512252250966283	0.180545739188237	0.320797642491277
2	0.423201222752915	0.387330682721046	0.594825359392943	1055.58486632483	1206.78781252895	1705.7211192403	0.346206909257077	0.213369252707977	0.479090969115268
3	0.01232109800564	0.0444688456619396	0.725470907368901	792.106951328235	884.928447841697	1453.85823419087	0.259792374984662	0.217181207892593	0.580117143229769
4	0.0875403693975138	-0.117407613004245	0.831043934388919	627.7397261729	675.701752557189	1274.27596354483	0.20588380655064	0.212187757870829	0.654442656983569
5	0.274451251878262	-0.219208477342611	0.812908036631572	514.611275173574	528.426900390304	1136.6583819824	0.168780346072015	0.204150631092733	0.713776104018408
6	0.433352377148065	-0.304483675318289	0.736205379266572	431.828941340821	421.508542631491	1026.44513214928	0.141629695421719	0.195148035064828	0.763587687413624
7	0.549579273382905	-0.362721391858	0.69421763301771	368.657518117466	339.871351528977	935.479940575181	0.120910960353383	0.186026353945921	0.806829384375857
8	0.621707746014013	-0.426763716082089	0.664802900892412	318.950731729283	277.028717804776	858.723794644214	0.104608308209014	0.177148981539765	0.845267717239752
9	0.665026327878509	-0.478130130249805	0.641487268273631	278.909911307698	228.173733313105	792.847357845114	0.0914758646466703	0.168669949436879	0.880041538165132
10	0.706374247063269	-0.525182854752618	0.650282405172772	246.04984523115	189.373370481503	735.539972492967	0.0806985389410133	0.160646544771848	0.911926561123152
12	0.706747045322552	-0.614772604435988	0.623065856146903	195.571181684568	134.48069627831	640.39664783301	0.0641427293160276	0.145987978476738	0.969088420680644
14	0.747285276235661	-0.673474213420504	0.679773879839875	158.919229377965	97.1159349767422	564.34656573313	0.0521217544696507	0.133057843486748	1.01967290595478
16	0.749682707275109	-0.734441735376599	0.699069642248253	131.36780281494	72.3891956824483	502.02302344593	0.0430855371646243	0.121645927424735	1.06540438093604
18	0.749577764337046	-0.787155707533564	0.723497681728347	110.09929380822	53.6999415100496	449.968836033103	0.0361099684513676	0.11154232657774	1.10738594801996
20	0.760575828223881	-0.826810789162122	0.750023012470283	93.3302824332636	40.8100221208177	405.835146820763	0.0306101287088434	0.102561469358082	1.14636776583532
