Metric	Value
SRA_Run	SRR5560506
Primary_assumed_mean_sd	250/25
Sensitivity_assumed_mean_sd	200/80
Sensitivity_effective_mean_sd	201.4334/78.1797
Same_index_and_read_mapping	PASS
Transcripts_both	56910
Genes_both	47971
Gene_TPM_log1p_Pearson	0.98624601
Genes_TPM_ge_1_both	17639
Median_abs_gene_log2_TPM_ratio_among_ge_1	0.73730192
Genes_abs_ratio_gt_2fold_among_ge_1	851
Top_100_gene_TPM_overlap	63
Gene_estimated_counts_log1p_Pearson	0.99910913
Genes_estimated_counts_ge_10_both	18086
Median_abs_gene_log2_count_ratio_among_ge_10	0.00000000
Genes_abs_count_ratio_gt_2fold_among_ge_10	30
Top_100_gene_estimated_count_overlap	99
Validation	PASS
