Metric	Value
GSM	GSM2627691
SRA_Run	SRR5560506
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Library_type	U
Fragment_length_mean_assumed	250.0000097391447
Fragment_length_sd_assumed	25.001769513739426
ENA_FASTQ_records	12724462
Salmon_processed_fragments	12724462
Salmon_mapped_fragments	11283224
Salmon_percent_mapped	88.67348576309159
Salmon_decoy_fragments	963347
Salmon_equivalence_classes	53710
Quantified_transcripts	56910
Nonzero_TPM_transcripts	28973
TPM_sum	1000000.000001
Estimated_transcript_counts_sum	11283224.018
Quant_errors	0
Validation	PASS
