Metric	Value
GSM	GSM2627744
SRA_Run	SRR5560547
FASTQ_MD5	aba5e5fc42d15f546ba9a90a752245f4
Salmon_version	1.12.1
Index_sequence_hash	c936fae4325743421db94926d6f5a7832c3cd84321cd64d12598dd95d58b7f6f
Quant_SF_SHA256	a9b4f9c458168b3e71d0a9e4a04f1b2002eeeafb58be1337eb03d8345c04ab5a
Processed_fragments	28338992
Mapped_fragments	24238424
Percent_mapped	85.53029691387754
Decoy_fragments	2459482
Equivalence_classes	71610
Transcript_targets	56910
Nonzero_TPM_transcripts	33677
TPM_sum	999999.999953
Estimated_transcript_counts_sum	24238423.983
Fragment_length_mean_effective	250.0000097391447
Fragment_length_sd_effective	25.001769513739426
Quant_errors	0
Validation	PASS
