PC	Variance_fraction
PC1	0.51088
PC2	0.16515
PC3	0.0896
PC4	0.04981
PC5	0.03982
PC6	0.01883
PC7	0.01077
PC8	0.00953
PC9	0.00909
PC10	0.00704
PC11	0.00617
PC12	0.00561
PC13	0.00474
PC14	0.00442
PC15	0.00396
PC16	0.00366
PC17	0.0033
PC18	0.00298
PC19	0.00283
PC20	0.00252
PC21	0.00237
PC22	0.0023
PC23	0.00221
PC24	0.00218
PC25	0.00202
PC26	0.00193
PC27	0.00189
PC28	0.00186
PC29	0.00183
PC30	0.00174
PC31	0.00172
PC32	0.00165
PC33	0.00161
PC34	0.00157
PC35	0.00156
PC36	0.00153
PC37	0.00149
PC38	0.00147
PC39	0.00142
PC40	0.00137
PC41	0.00131
PC42	0.00129
PC43	0.00129
PC44	0.00126
PC45	0.00117
PC46	0.00108
PC47	0.00105
PC48	0.00097
PC49	0.00092
PC50	0.00088
PC51	0.00085
PC52	0.00081
PC53	0.00065
PC54	0
