GSM	SRA_Run	Cultivar	Stage	Year	Processed_fragments	Mapped_fragments	Percent_mapped	Decoy_fragments	Nonzero_gene_counts	Median_ratio_size_factor	Pearson_across_genes	Spearman_across_genes	PC1	PC2
"GSM2627691"	"SRR5560506"	"Cabernet Sauvignon"	"FruitSet"	2012	12724462	11283224	88.6734857630916	963347	26398	0.43481839	0.903813151348991	0.92745450787142	-60.0709233100058	-34.022696117302
"GSM2627692"	"SRR5560507"	"Cabernet Sauvignon"	"FruitSet"	2012	29764299	26417655	88.7561806847862	2244566	29965	0.96240334	0.902477366877372	0.91967173678084	-57.8933693749065	-31.818360793733
"GSM2627693"	"SRR5560508"	"Cabernet Sauvignon"	"FruitSet"	2012	32544679	27787097	85.3813829289882	3331489	31811	0.87003117	0.904820955880744	0.925749920566027	-57.29748424108	-36.6043167076761
"GSM2627709"	"SRR5560518"	"Cabernet Sauvignon"	"Veraison"	2012	27928543	22644033	81.0784615581271	2790325	28722	0.92551574	0.904971549755644	0.940424469977276	-8.3725984858937	-34.2965784367408
"GSM2627711"	"SRR5560519"	"Cabernet Sauvignon"	"Veraison"	2012	21080333	17263331	81.8930659207329	1981446	27913	0.68345494	0.902567701886133	0.937698280155789	-10.1649880558674	-33.8768679766869
"GSM2627713"	"SRR5560520"	"Cabernet Sauvignon"	"Veraison"	2012	23619255	19287699	81.6609118280826	2214274	28719	0.76875368	0.906064510799806	0.938691863275869	-13.0521861926491	-33.2900356472402
"GSM2627739"	"SRR5560542"	"Cabernet Sauvignon"	"Harvest"	2012	25979494	21716349	83.5903462938886	3168229	29904	0.91277042	0.898574519817856	0.937209304307427	68.7646231342175	-29.0793822979197
"GSM2627740"	"SRR5560543"	"Cabernet Sauvignon"	"Harvest"	2012	29727462	24358020	81.9377718824432	3796345	28842	0.89281499	0.896763055430336	0.945267698186949	68.679949870838	-29.0483675349339
"GSM2627741"	"SRR5560544"	"Cabernet Sauvignon"	"Harvest"	2012	25298219	21185576	83.7433496800704	2893995	29542	0.88547159	0.900149392144831	0.943356496636729	79.6262496077471	-27.1199430297327
"GSM2627742"	"SRR5560545"	"Cabernet Sauvignon"	"FruitSet"	2013	25148145	21628107	86.0027926513069	2065612	30779	1.00859104	0.909815445401222	0.917249447976667	-52.3905398345603	-33.7439591852086
"GSM2627743"	"SRR5560546"	"Cabernet Sauvignon"	"FruitSet"	2013	26385793	22560144	85.5011028093793	2264931	30964	1.04307854	0.915279470602025	0.931049704328987	-52.6077118326114	-33.3788566840139
"GSM2627744"	"SRR5560547"	"Cabernet Sauvignon"	"FruitSet"	2013	28338992	24238424	85.5302969138776	2459482	30144	1.10803955	0.916405693539238	0.922621955045948	-52.691619980715	-31.846645471649
"GSM2627754"	"SRR5560558"	"Cabernet Sauvignon"	"Veraison"	2013	28784449	24107443	83.7516222735408	2854436	28885	0.96603027	0.904892283903814	0.931962622819954	-15.5011327949034	-33.7716264120832
"GSM2627755"	"SRR5560559"	"Cabernet Sauvignon"	"Veraison"	2013	26456779	22394613	84.6460296621898	2563206	28068	0.8558274	0.906985862263671	0.940748452494574	-6.08541457175556	-34.8557681572775
"GSM2627756"	"SRR5560560"	"Cabernet Sauvignon"	"Veraison"	2013	23181067	19268466	83.121566405895	2410203	27519	0.71768033	0.907677106833622	0.941196166015797	-0.861428885702608	-33.2960074769708
"GSM2627781"	"SRR5560585"	"Cabernet Sauvignon"	"Harvest"	2013	43710305	34913060	79.8737505949684	4948109	31482	1.44981789	0.897983449075121	0.933903902749501	72.7468809721112	-27.3419927987518
"GSM2627782"	"SRR5560586"	"Cabernet Sauvignon"	"Harvest"	2013	41605665	32944289	79.1822195366905	4766001	31889	1.37192378	0.897804478566269	0.93289187931969	73.0171713429265	-26.2014896876248
"GSM2627783"	"SRR5560587"	"Cabernet Sauvignon"	"Harvest"	2013	41980889	33324453	79.380055529553	4644563	31434	1.41767685	0.898400494583982	0.932434971429499	73.10776660767	-26.9128524006488
"GSM2627784"	"SRR5560588"	"Cabernet Sauvignon"	"FruitSet"	2014	36703145	30986717	84.4252365839494	3891178	30598	1.34751798	0.908555513804268	0.927912409829016	-50.5374281765775	24.7084389026809
"GSM2627785"	"SRR5560589"	"Cabernet Sauvignon"	"FruitSet"	2014	51596842	43633889	84.5669760176408	5610694	31641	1.95124855	0.908780653028507	0.928359892988303	-51.2693721567469	24.0529495631964
"GSM2627786"	"SRR5560590"	"Cabernet Sauvignon"	"FruitSet"	2014	47487319	39868859	83.9568538287032	5295517	32448	1.78377605	0.906565377214225	0.92476987066862	-49.7916814414995	19.7453131061933
"GSM2627793"	"SRR5560597"	"Cabernet Sauvignon"	"Veraison"	2014	32276350	27804239	86.1443099978777	3421245	30337	1.25587414	0.894239701185533	0.912341996382015	-31.3410277827268	-33.905008279229
"GSM2627794"	"SRR5560598"	"Cabernet Sauvignon"	"Veraison"	2014	34091860	29161866	85.5390876297157	3794677	30645	1.31062538	0.889751107796106	0.908733707741403	-22.6926045896252	-35.6860703685732
"GSM2627795"	"SRR5560599"	"Cabernet Sauvignon"	"Veraison"	2014	36601916	31973904	87.3558203892933	3451748	31398	1.4264192	0.889100017976029	0.905866153014843	-24.694183065649	-33.7769936332257
"GSM2627820"	"SRR5560624"	"Cabernet Sauvignon"	"Harvest"	2014	49033626	40236360	82.0587080384388	6751574	32203	1.7510001	0.894625848163035	0.935188337012824	62.153889252188	-27.6111889065242
"GSM2627821"	"SRR5560625"	"Cabernet Sauvignon"	"Harvest"	2014	34034563	27932284	82.070347135058	4653974	30747	1.20562298	0.892720055592803	0.93363066190219	62.9547234475935	-27.5868406585716
"GSM2627822"	"SRR5560626"	"Cabernet Sauvignon"	"Harvest"	2014	21359051	17609823	82.4466545821722	2892801	29605	0.77853842	0.892017417687749	0.931919953284783	67.0141774384751	-27.3781204168329
"GSM2627823"	"SRR5560627"	"Pinot noir"	"FruitSet"	2012	29088167	25336285	87.1016898383456	2249672	29225	0.94653114	0.899182592379412	0.920775142585139	-55.2982252280883	19.3663404625522
"GSM2627824"	"SRR5560628"	"Pinot noir"	"FruitSet"	2012	25573908	20935843	81.8640741180425	1862191	28439	0.87007398	0.902674514327558	0.917786382358106	-58.9689045501257	16.3156552463957
"GSM2627825"	"SRR5560629"	"Pinot noir"	"FruitSet"	2012	29741944	25753392	86.5894710850104	2401285	29679	0.8798992	0.900126695746779	0.923734135143876	-56.1164394824071	17.9513668350885
"GSM2627835"	"SRR5560639"	"Pinot noir"	"Veraison"	2012	31918674	27162289	85.0984254546414	3409951	28210	1.04616052	0.900328025906005	0.93390537045701	-7.40750286052314	24.5002056651364
"GSM2627836"	"SRR5560640"	"Pinot noir"	"Veraison"	2012	31953495	27093723	84.7911097049008	3285334	28667	1.07693734	0.903333853070459	0.935941849254306	-12.1430999407554	23.7882504717502
"GSM2627837"	"SRR5560641"	"Pinot noir"	"Veraison"	2012	28319046	23913323	84.4425444275206	3163714	28126	0.93011219	0.895601721126931	0.928388389845183	1.98305073949282	27.1515479813915
"GSM2627850"	"SRR5560654"	"Pinot noir"	"Harvest"	2012	31419916	25083807	79.8340994928185	3514319	29329	0.95570591	0.894482847490961	0.943140229425488	59.8477513181482	31.576531260963
"GSM2627851"	"SRR5560655"	"Pinot noir"	"Harvest"	2012	25804009	20519128	79.519147586718	2927055	28754	0.77987326	0.89727428592958	0.948426302796992	60.1971009667841	33.4024110827143
"GSM2627852"	"SRR5560656"	"Pinot noir"	"Harvest"	2012	40547271	32775801	80.8335559747042	3983836	29856	1.20090749	0.900879486846886	0.949372455923647	65.5871928612559	31.326972121409
