Module	Source	Effect	Df	F_value	P_value	FDR_within_source_effect
"M1"	"Legacy_mapped"	"Cultivar"	1	2.71791044362699	0.107929071015711	0.119921190017456
"M1"	"Legacy_mapped"	"Stage"	2	4665.13474558328	3.35154708541058e-44	3.35154708541058e-43
"M1"	"Legacy_mapped"	"Year"	2	21.8478306656303	6.1322633106502e-07	1.02204388510837e-06
"M1"	"Legacy_mapped"	"Cultivar:Stage"	2	13.9407801707181	3.28613752947396e-05	5.47689588245661e-05
"M1"	"Legacy_mapped"	"Cultivar:Year"	2	0.761366205975539	0.474400131950527	0.524906963822437
"M1"	"Legacy_mapped"	"Stage:Year"	4	19.6665538614025	1.17232791801266e-08	1.67475416858952e-08
"M1"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	3.55016238766152	0.0153257814183273	0.0383144535458182
"M1"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M1"	"Modern"	"Cultivar"	1	0.00222965454632889	0.962599495289377	0.962599495289377
"M1"	"Modern"	"Stage"	2	4954.17275212003	1.14044232034355e-44	1.14044232034355e-43
"M1"	"Modern"	"Year"	2	26.1208888277138	9.80186102769756e-08	1.63364350461626e-07
"M1"	"Modern"	"Cultivar:Stage"	2	19.2093121881412	2.10462891348887e-06	5.26157228372217e-06
"M1"	"Modern"	"Cultivar:Year"	2	1.08877297811273	0.347456834652987	0.414143286233561
"M1"	"Modern"	"Stage:Year"	4	12.0677887428213	2.53926002173844e-06	3.17407502717305e-06
"M1"	"Modern"	"Cultivar:Stage:Year"	4	2.90481874034368	0.0350840817295908	0.0701681634591816
"M1"	"Modern"	"Residuals"	36	NA	NA	NA
"M2"	"Legacy_mapped"	"Cultivar"	1	14628.8418519113	1.38589704291738e-48	1.38589704291738e-47
"M2"	"Legacy_mapped"	"Stage"	2	343.215466876347	3.59013687369358e-24	7.18027374738715e-24
"M2"	"Legacy_mapped"	"Year"	2	243.892946265047	1.17132298578755e-21	3.90440995262517e-21
"M2"	"Legacy_mapped"	"Cultivar:Stage"	2	336.365114998434	5.06743025287096e-24	5.06743025287096e-23
"M2"	"Legacy_mapped"	"Cultivar:Year"	2	278.483097086234	1.25575870018999e-22	1.25575870018999e-21
"M2"	"Legacy_mapped"	"Stage:Year"	4	243.382690584817	1.59632432392526e-25	7.98162161962628e-25
"M2"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	213.647942188357	1.51713517985804e-24	1.51713517985804e-23
"M2"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M2"	"Modern"	"Cultivar"	1	11128.9346650747	1.87703021783342e-46	1.87703021783342e-45
"M2"	"Modern"	"Stage"	2	221.976018606496	5.64785975647042e-21	9.41309959411736e-21
"M2"	"Modern"	"Year"	2	216.682987596693	8.43793435681768e-21	8.43793435681768e-20
"M2"	"Modern"	"Cultivar:Stage"	2	290.541794482381	6.12707325635104e-23	6.12707325635104e-22
"M2"	"Modern"	"Cultivar:Year"	2	219.961248983953	6.57344111153061e-21	6.57344111153061e-20
"M2"	"Modern"	"Stage:Year"	4	174.826727637593	4.73300800140185e-23	2.36650400070092e-22
"M2"	"Modern"	"Cultivar:Stage:Year"	4	133.822891240828	4.38556063523035e-21	4.38556063523035e-20
"M2"	"Modern"	"Residuals"	36	NA	NA	NA
"M3"	"Legacy_mapped"	"Cultivar"	1	78.0750204441117	1.52054931608087e-10	3.80137329020218e-10
"M3"	"Legacy_mapped"	"Stage"	2	18.6254936596584	2.79770761224894e-06	3.10856401360993e-06
"M3"	"Legacy_mapped"	"Year"	2	1419.15189118996	5.75250518580296e-35	5.75250518580296e-34
"M3"	"Legacy_mapped"	"Cultivar:Stage"	2	49.3251483912436	4.87206803448235e-11	1.21801700862059e-10
"M3"	"Legacy_mapped"	"Cultivar:Year"	2	5.13694831442722	0.0108992274673111	0.0363307582243703
"M3"	"Legacy_mapped"	"Stage:Year"	4	75.1907186950559	5.67531875957937e-17	1.41882968989484e-16
"M3"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	51.358758688861	2.16598155860395e-14	7.21993852867982e-14
"M3"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M3"	"Modern"	"Cultivar"	1	13.6544047169604	0.000726145845408939	0.00103735120772706
"M3"	"Modern"	"Stage"	2	131.029580700893	2.99226780520859e-17	3.74033475651074e-17
"M3"	"Modern"	"Year"	2	100.97267981507	1.7252605808252e-15	5.75086860275066e-15
"M3"	"Modern"	"Cultivar:Stage"	2	2.9332421770186	0.06604624494133	0.0825578061766624
"M3"	"Modern"	"Cultivar:Year"	2	9.55040684492048	0.000470544599424866	0.00156848199808289
"M3"	"Modern"	"Stage:Year"	4	62.4940131541099	1.05466064659321e-15	2.63665161648303e-15
"M3"	"Modern"	"Cultivar:Stage:Year"	4	6.81285966521915	0.000343908126100126	0.00114636042033375
"M3"	"Modern"	"Residuals"	36	NA	NA	NA
"M4"	"Legacy_mapped"	"Cultivar"	1	4.46380212849984	0.0416213739440553	0.0520267174300691
"M4"	"Legacy_mapped"	"Stage"	2	1605.89456820615	6.38063890286364e-36	2.12687963428788e-35
"M4"	"Legacy_mapped"	"Year"	2	2.47696398734812	0.0982030315757419	0.109114479528602
"M4"	"Legacy_mapped"	"Cultivar:Stage"	2	0.420353876063637	0.659996520025276	0.659996520025276
"M4"	"Legacy_mapped"	"Cultivar:Year"	2	0.656212786332703	0.524906963822437	0.524906963822437
"M4"	"Legacy_mapped"	"Stage:Year"	4	31.7442639758525	2.35479762113552e-11	4.04030982183544e-11
"M4"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	2.94156376811682	0.033448617604843	0.0434732276818239
"M4"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M4"	"Modern"	"Cultivar"	1	0.567168742514773	0.456283243826208	0.50698138202912
"M4"	"Modern"	"Stage"	2	1271.88128478506	4.02726070535798e-34	1.34242023511933e-33
"M4"	"Modern"	"Year"	2	1.78300985291018	0.182659590866976	0.182659590866976
"M4"	"Modern"	"Cultivar:Stage"	2	1.44910340033671	0.248149016109073	0.275721129010082
"M4"	"Modern"	"Cultivar:Year"	2	0.90348664493784	0.414143286233561	0.414143286233561
"M4"	"Modern"	"Stage:Year"	4	28.2005411923425	1.18079515664202e-10	1.9679919277367e-10
"M4"	"Modern"	"Cultivar:Stage:Year"	4	2.62544984947092	0.0505328230013254	0.0842213716688756
"M4"	"Modern"	"Residuals"	36	NA	NA	NA
"M5"	"Legacy_mapped"	"Cultivar"	1	272.980557621704	2.19210904950086e-18	7.30703016500288e-18
"M5"	"Legacy_mapped"	"Stage"	2	319.664524120122	1.20827909731894e-23	2.01379849553156e-23
"M5"	"Legacy_mapped"	"Year"	2	11.0828712939301	0.000177596346752097	0.000253709066788709
"M5"	"Legacy_mapped"	"Cultivar:Stage"	2	209.894778850341	1.43115388445431e-20	7.15576942227153e-20
"M5"	"Legacy_mapped"	"Cultivar:Year"	2	4.47166144983569	0.0184277279539423	0.0460693198848557
"M5"	"Legacy_mapped"	"Stage:Year"	4	1.92020206795625	0.128185667117356	0.128185667117356
"M5"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	0.529139647014124	0.715028397858205	0.794475997620228
"M5"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M5"	"Modern"	"Cultivar"	1	170.280900554091	3.259996224995e-15	1.08666540833167e-14
"M5"	"Modern"	"Stage"	2	252.070620686132	6.73461736878928e-22	1.34692347375786e-21
"M5"	"Modern"	"Year"	2	5.25351015860119	0.00995661552865093	0.0124457694108137
"M5"	"Modern"	"Cultivar:Stage"	2	105.664991049195	8.59930246452562e-16	2.86643415484187e-15
"M5"	"Modern"	"Cultivar:Year"	2	6.71136454507766	0.00333245272078556	0.00833113180196389
"M5"	"Modern"	"Stage:Year"	4	3.41585424875418	0.0181744523233885	0.0181744523233885
"M5"	"Modern"	"Cultivar:Stage:Year"	4	0.418413148614755	0.794244133539709	0.882493481710788
"M5"	"Modern"	"Residuals"	36	NA	NA	NA
"M6"	"Legacy_mapped"	"Cultivar"	1	293.509074661165	6.86020459760577e-19	3.43010229880289e-18
"M6"	"Legacy_mapped"	"Stage"	2	2586.51561697571	1.29365867887957e-39	6.46829339439787e-39
"M6"	"Legacy_mapped"	"Year"	2	365.867507580849	1.20127030120848e-24	6.00635150604239e-24
"M6"	"Legacy_mapped"	"Cultivar:Stage"	2	188.451806911293	8.47556586199291e-20	2.8251886206643e-19
"M6"	"Legacy_mapped"	"Cultivar:Year"	2	44.1639710077035	2.04742313272403e-10	1.02371156636202e-09
"M6"	"Legacy_mapped"	"Stage:Year"	4	532.592319499655	1.74631392496669e-31	1.74631392496669e-30
"M6"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	63.8730567037184	7.49674225860489e-16	3.74837112930244e-15
"M6"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M6"	"Modern"	"Cultivar"	1	185.2204441475	9.19891377675893e-16	4.59945688837947e-15
"M6"	"Modern"	"Stage"	2	2613.06921574887	1.07776524149316e-39	5.38882620746581e-39
"M6"	"Modern"	"Year"	2	160.389675423138	1.17557466065725e-18	5.87787330328627e-18
"M6"	"Modern"	"Cultivar:Stage"	2	112.97222304009	3.05970467120053e-16	1.52985233560027e-15
"M6"	"Modern"	"Cultivar:Year"	2	30.8872973507532	1.54659490467845e-08	7.73297452339223e-08
"M6"	"Modern"	"Stage:Year"	4	334.024600733056	6.4318007744417e-28	6.4318007744417e-27
"M6"	"Modern"	"Cultivar:Stage:Year"	4	34.5021478171998	7.36518279436814e-12	3.68259139718407e-11
"M6"	"Modern"	"Residuals"	36	NA	NA	NA
"M7"	"Legacy_mapped"	"Cultivar"	1	15.9528882798432	0.000306714389088169	0.000438163412983098
"M7"	"Legacy_mapped"	"Stage"	2	105.817147044324	8.41106171143252e-16	1.05138271392907e-15
"M7"	"Legacy_mapped"	"Year"	2	39.2947196220233	8.88878330440888e-10	1.77775666088178e-09
"M7"	"Legacy_mapped"	"Cultivar:Stage"	2	3.86949811246939	0.0300473652303191	0.0429248074718844
"M7"	"Legacy_mapped"	"Cultivar:Year"	2	2.20137767547798	0.125327768319717	0.208879613866194
"M7"	"Legacy_mapped"	"Stage:Year"	4	31.6776003649953	2.42418589310126e-11	4.04030982183544e-11
"M7"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	2.9115470516498	0.0347785821454591	0.0434732276818239
"M7"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M7"	"Modern"	"Cultivar"	1	19.2602666751185	9.55762945566058e-05	0.00015929382426101
"M7"	"Modern"	"Stage"	2	102.076821152906	1.46096500671926e-15	1.62329445191029e-15
"M7"	"Modern"	"Year"	2	38.4148505709669	1.17441917466969e-09	2.34883834933937e-09
"M7"	"Modern"	"Cultivar:Stage"	2	4.55450562843134	0.017246678647965	0.0246381123542358
"M7"	"Modern"	"Cultivar:Year"	2	2.13933702380456	0.132462222358536	0.22077037059756
"M7"	"Modern"	"Stage:Year"	4	30.9099733491702	3.39840402580354e-11	6.79680805160707e-11
"M7"	"Modern"	"Cultivar:Stage:Year"	4	3.21965532862802	0.0233570417916767	0.0583926044791917
"M7"	"Modern"	"Residuals"	36	NA	NA	NA
"M8"	"Legacy_mapped"	"Cultivar"	1	16.6766326666929	0.000235965747722941	0.000393276246204902
"M8"	"Legacy_mapped"	"Stage"	2	176.467798354537	2.48683252292852e-19	3.55261788989788e-19
"M8"	"Legacy_mapped"	"Year"	2	120.501796820537	1.11868484348968e-16	2.79671210872419e-16
"M8"	"Legacy_mapped"	"Cultivar:Stage"	2	2.9232037585263	0.0666189483361205	0.0832736854201506
"M8"	"Legacy_mapped"	"Cultivar:Year"	2	1.32136493501992	0.279398860749027	0.399141229641467
"M8"	"Legacy_mapped"	"Stage:Year"	4	156.343012161501	3.17088150362807e-22	1.05696050120936e-21
"M8"	"Legacy_mapped"	"Cultivar:Stage:Year"	4	3.20938884616423	0.0236670714219854	0.0408080086328265
"M8"	"Legacy_mapped"	"Residuals"	36	NA	NA	NA
"M8"	"Modern"	"Cultivar"	1	34.3513397096114	1.06585373111108e-06	2.13170746222216e-06
"M8"	"Modern"	"Stage"	2	158.047451494241	1.49131617012441e-18	2.1304516716063e-18
"M8"	"Modern"	"Year"	2	79.3981784839888	6.32397382698382e-14	1.58099345674595e-13
"M8"	"Modern"	"Cultivar:Stage"	2	12.0450707227259	9.88523368714794e-05	0.000164753894785799
"M8"	"Modern"	"Cultivar:Year"	2	0.912117554591373	0.410754410165072	0.414143286233561
"M8"	"Modern"	"Stage:Year"	4	130.412020805675	6.76560691293964e-21	2.25520230431321e-20
"M8"	"Modern"	"Cultivar:Stage:Year"	4	2.34499659577845	0.0730939851821639	0.104419978831663
"M8"	"Modern"	"Residuals"	36	NA	NA	NA
"M9"	"Legacy_mapped"	"Cultivar"	1	0.339544791372892	0.563724440670692	0.563724440670692
"M9"	"Legacy_mapped"	"Stage"	2	2.9646607142852	0.0642871247543262	0.0642871247543262
"M9"	"Legacy_mapped"	"Year"	2	5.66160620485621	0.00727962641211248	0.0090995330151406
