Module	Source	Stage	Year	Estimate_CS_minus_PN	SE	df	t_ratio	P_value	FDR_within_source
"M1"	"Legacy_mapped"	"FruitSet"	"2012"	2.84298048479196	2.05074758230227	36	1.38631419552878	0.174177686685022	0.319918200033714
"M1"	"Legacy_mapped"	"Veraison"	"2012"	4.21852179302995	2.05074758230227	36	2.05706534994133	0.0469805911726152	0.111269821198299
"M1"	"Legacy_mapped"	"Harvest"	"2012"	-6.60801858992744	2.05074758230227	36	-3.22224863115965	0.00270027366680412	0.00810082100041236
"M1"	"Legacy_mapped"	"FruitSet"	"2013"	8.78970103898686	2.05074758230227	36	4.28609601437107	0.000129754796263237	0.000507736159290929
"M1"	"Legacy_mapped"	"Veraison"	"2013"	1.43418421003434	2.05074758230227	36	0.699347019794729	0.488829497183299	0.70959120558866
"M1"	"Legacy_mapped"	"Harvest"	"2013"	-3.59641899310978	2.05074758230227	36	-1.7537111949547	0.0879912138132088	0.184167656818344
"M1"	"Legacy_mapped"	"FruitSet"	"2014"	-0.651182729095487	2.05074758230227	36	-0.317534315151764	0.752672677252281	0.962930676694418
"M1"	"Legacy_mapped"	"Veraison"	"2014"	5.44131552575952	2.05074758230227	36	2.65333265425618	0.0117859347983033	0.0321434585408273
"M1"	"Legacy_mapped"	"Harvest"	"2014"	-1.72844220048263	2.05074758230227	36	-0.842835176498023	0.404885770482223	0.617622361752544
"M1"	"Modern"	"FruitSet"	"2012"	2.04453371898839	2.00688148325038	36	1.0187615641742	0.31511415440477	0.480682608414056
"M1"	"Modern"	"Veraison"	"2012"	4.15945127804285	2.00688148325038	36	2.0725943772754	0.045428883448779	0.102214987759753
"M1"	"Modern"	"Harvest"	"2012"	-9.82673686180153	2.00688148325038	36	-4.89652076807545	2.06035670625644e-05	0.000103017835312822
"M1"	"Modern"	"FruitSet"	"2013"	6.59189460044384	2.00688148325038	36	3.2846456830961	0.00227994805945349	0.007075700874166
"M1"	"Modern"	"Veraison"	"2013"	1.15833319813335	2.00688148325038	36	0.577180669511832	0.567409696938902	0.785644195761556
"M1"	"Modern"	"Harvest"	"2013"	-4.12643513588365	2.00688148325038	36	-2.0561429114391	0.0470742089710648	0.103333629448679
"M1"	"Modern"	"FruitSet"	"2014"	-0.601497603509681	2.00688148325038	36	-0.299717551100968	0.766116362367459	0.919339634840951
"M1"	"Modern"	"Veraison"	"2014"	4.03303786738926	2.00688148325038	36	2.00960440417104	0.0520144386889996	0.111459511476428
"M1"	"Modern"	"Harvest"	"2014"	-3.71687118443563	2.00688148325038	36	-1.85206312154305	0.0722312485585298	0.147745735687902
"M2"	"Legacy_mapped"	"FruitSet"	"2012"	-13.9849723546529	0.313776232572904	36	-44.569890587247	4.28562272741222e-33	7.714120909342e-32
"M2"	"Legacy_mapped"	"Veraison"	"2012"	-16.2078439867618	0.313776232572904	36	-51.6541480973898	2.29307111839846e-35	1.03188200327931e-33
"M2"	"Legacy_mapped"	"Harvest"	"2012"	-13.2340482564725	0.313776232572904	36	-42.1767071009676	3.01369030564404e-32	4.52053545846607e-31
"M2"	"Legacy_mapped"	"FruitSet"	"2013"	-14.3848186435434	0.313776232572904	36	-45.8441945254764	1.5801745576917e-33	3.55539275480634e-32
"M2"	"Legacy_mapped"	"Veraison"	"2013"	-16.6599791590627	0.313776232572904	36	-53.0950958982906	8.62330195039222e-36	7.760971755353e-34
"M2"	"Legacy_mapped"	"Harvest"	"2013"	-11.899421057938	0.313776232572904	36	-37.9232708620569	1.27473917907188e-30	1.43408157645586e-29
"M2"	"Legacy_mapped"	"FruitSet"	"2014"	0.149035085685302	0.313776232572904	36	0.47497251293778	0.637675589399185	0.860664173655069
"M2"	"Legacy_mapped"	"Veraison"	"2014"	-15.2721122951241	0.313776232572904	36	-48.6719856692006	1.89396206340069e-34	5.68188619020207e-33
"M2"	"Legacy_mapped"	"Harvest"	"2014"	-12.3593093152326	0.313776232572904	36	-39.3889276249148	3.3585223285472e-31	4.31810013670355e-30
"M2"	"Modern"	"FruitSet"	"2012"	-13.1615640325779	0.352229533330344	36	-37.3664408777277	2.1434235758335e-30	3.8581624365003e-29
"M2"	"Modern"	"Veraison"	"2012"	-15.77556339338	0.352229533330344	36	-44.787736122583	3.60659460529382e-33	1.62296757238222e-31
"M2"	"Modern"	"Harvest"	"2012"	-14.2225513605031	0.352229533330344	36	-40.3786452147505	1.40125751837545e-31	3.15282941634477e-30
"M2"	"Modern"	"FruitSet"	"2013"	-12.9255212742311	0.352229533330344	36	-36.6963018461847	4.04575151635302e-30	6.06862727452953e-29
"M2"	"Modern"	"Veraison"	"2013"	-16.3568240297461	0.352229533330344	36	-46.4379686595037	1.00175994584398e-33	9.0158395125958e-32
"M2"	"Modern"	"Harvest"	"2013"	-12.2811919043518	0.352229533330344	36	-34.8670135301621	2.42749801116154e-29	2.73093526255673e-28
"M2"	"Modern"	"FruitSet"	"2014"	0.178666883116093	0.352229533330344	36	0.507245606087573	0.615075912728266	0.794790844119997
"M2"	"Modern"	"Veraison"	"2014"	-14.2868619877053	0.352229533330344	36	-40.5612268018029	1.19525059892203e-31	3.15282941634477e-30
"M2"	"Modern"	"Harvest"	"2014"	-12.6426488040037	0.352229533330344	36	-35.8932105563861	8.79014493896713e-30	1.13016149215292e-28
"M3"	"Legacy_mapped"	"FruitSet"	"2012"	-0.882672171285626	0.448568335414624	36	-1.96775407802637	0.056836899547127	0.124763925835157
"M3"	"Legacy_mapped"	"Veraison"	"2012"	-1.13545310535358	0.448568335414624	36	-2.53128233918707	0.0158744743651726	0.0420206674372217
"M3"	"Legacy_mapped"	"Harvest"	"2012"	-0.323209053253699	0.448568335414624	36	-0.720534705052125	0.475848784639122	0.702071977336409
"M3"	"Legacy_mapped"	"FruitSet"	"2013"	0.162425262743152	0.448568335414624	36	0.362097031644059	0.719396482706838	0.938343238313266
"M3"	"Legacy_mapped"	"Veraison"	"2013"	2.10496490930192	0.448568335414624	36	4.69262928993025	3.82832819766466e-05	0.000172274768894909
"M3"	"Legacy_mapped"	"Harvest"	"2013"	-8.10373784692369	0.448568335414624	36	-18.0657821944413	1.23280131164524e-19	1.00865561861883e-18
"M3"	"Legacy_mapped"	"FruitSet"	"2014"	-0.0638582906087142	0.448568335414624	36	-0.14236022823521	0.887589247559275	0.986210275065862
"M3"	"Legacy_mapped"	"Veraison"	"2014"	-1.81184408755367	0.448568335414624	36	-4.03917072273712	0.000268870600790455	0.000930705925813115
"M3"	"Legacy_mapped"	"Harvest"	"2014"	-1.83727452852697	0.448568335414624	36	-4.09586317952811	0.000227687046550509	0.000819673367581833
"M3"	"Modern"	"FruitSet"	"2012"	-1.28816662058094	0.723527197541186	36	-1.78039833880276	0.0834522144317758	0.166904428863552
"M3"	"Modern"	"Veraison"	"2012"	-2.67912238818397	0.723527197541186	36	-3.70286341313585	0.000710446046362616	0.00255760576690542
"M3"	"Modern"	"Harvest"	"2012"	-0.939665902832843	0.723527197541186	36	-1.29872920607017	0.202294512639736	0.337157521066227
"M3"	"Modern"	"FruitSet"	"2013"	0.390234756603182	0.723527197541186	36	0.539350501168919	0.592965438342826	0.794790844119997
"M3"	"Modern"	"Veraison"	"2013"	3.19555190130154	0.723527197541186	36	4.41662996520546	8.79034694026738e-05	0.000359605102101847
"M3"	"Modern"	"Harvest"	"2013"	-1.78741752732074	0.723527197541186	36	-2.47042202890927	0.0183663731824335	0.0446749617951086
"M3"	"Modern"	"FruitSet"	"2014"	-0.185680751473992	0.723527197541186	36	-0.256632718306933	0.798923321734394	0.939340446917075
"M3"	"Modern"	"Veraison"	"2014"	-2.33858101451906	0.723527197541186	36	-3.23219503353353	0.00262865518760009	0.00788596556280025
"M3"	"Modern"	"Harvest"	"2014"	-2.38785667624615	0.723527197541186	36	-3.30029981507395	0.00218473405049494	0.00702235944801944
"M4"	"Legacy_mapped"	"FruitSet"	"2012"	0.956973944543954	0.795260135404029	36	1.20334705832799	0.236695880953897	0.410934537145396
"M4"	"Legacy_mapped"	"Veraison"	"2012"	1.10496070728209	0.795260135404029	36	1.38943303969426	0.173235496781088	0.319918200033714
"M4"	"Legacy_mapped"	"Harvest"	"2012"	-1.66605124444668	0.795260135404029	36	-2.09497643635847	0.0432716216620648	0.108179054155162
"M4"	"Legacy_mapped"	"FruitSet"	"2013"	1.58798781573348	0.795260135404029	36	1.99681556391193	0.0534488356939499	0.123343466986038
"M4"	"Legacy_mapped"	"Veraison"	"2013"	0.374304142869448	0.795260135404029	36	0.470668811632667	0.640716662609885	0.860664173655069
"M4"	"Legacy_mapped"	"Harvest"	"2013"	0.449154640387007	0.795260135404029	36	0.564789583170563	0.575719635394904	0.797724216809183
"M4"	"Legacy_mapped"	"FruitSet"	"2014"	-0.12172143020918	0.795260135404029	36	-0.153058634263541	0.879206745854264	0.986210275065862
"M4"	"Legacy_mapped"	"Veraison"	"2014"	0.448664937951437	0.795260135404029	36	0.564173806755061	0.57613415658441	0.797724216809183
