Module	Total_beta10_genes	Mapped_genes	Mapped_fraction	Variable_mapped_genes	Legacy_mapped_PC1_variance	Modern_mapped_PC1_variance	Modern_vs_legacy_mapped_PC1_Pearson	Modern_vs_canonical_full_PC1_Pearson	Legacy_mapped_vs_canonical_full_PC1_Pearson	StageYear_contrast_Pearson	StageYear_sign_agreement	Same_direction_cells	Compared_cells	Comparable_genes	Pairs	Correlation_matrix_Pearson	Correlation_matrix_Spearman	Adjacency_beta10_Pearson	Adjacency_beta10_Spearman	Legacy_mean_adjacency	Modern_mean_adjacency	Modern_to_legacy_mean_adjacency_ratio	Zsummary_preservation	MedianRank_preservation	Preservation_class
"M1"	2167	1483	0.684356252884172	1483	0.76527	0.77609	0.996980950681262	0.996794558308375	0.999950927335261	0.976763001177705	1	9	9	1483	1098903	0.995359487533858	0.972161155645703	0.888872466863817	0.913055078930079	0.183301780760784	0.193393352012626	1.05505440923682	28.9305223866147	3	"strong"
"M10"	39	21	0.538461538461538	21	0.76171	0.78222	0.996351564656998	0.996257172292377	0.997751271059701	0.980748803299701	0.888888888888889	8	9	21	210	0.994236361612528	0.906913341086452	0.864367228912932	0.878203911329379	0.112319253198094	0.138040248760166	1.22899899019724	3.73544911861366	3	"moderate"
"M2"	214	81	0.378504672897196	81	0.65007	0.6198	0.998248220183755	0.995663855349387	0.996849819093885	0.988828739413858	1	9	9	81	3240	0.955558101854165	0.937367870712362	0.710137497919449	0.774825625117459	0.0921624590652306	0.0785081160982235	0.851844849784847	7.45258123667793	9	"moderate"
"M3"	131	35	0.267175572519084	35	0.58652	0.34536	0.630628715786418	0.420325877608281	0.963060969391797	0.57227904972538	1	9	9	35	595	0.27626361560544	0.272453142330758	0.330806148344162	0.319308874658263	0.0706404088188521	0.0199266277133844	0.282085396256462	-2.12371245639901	11	"not_supported"
"M4"	122	89	0.729508196721312	89	0.68341	0.66997	0.998617319417217	0.997326969913734	0.999138933983736	0.959035704205465	1	9	9	89	3916	0.995153082481851	0.981872278466457	0.955306079923467	0.962864101900086	0.0802310256696921	0.0753493011008219	0.93915415479084	7.94631849755377	6	"moderate"
"M5"	108	76	0.703703703703704	76	0.81102	0.74852	0.986459934379855	0.985949476161639	0.999498454961218	0.980248354672262	0.888888888888889	8	9	76	2850	0.988511660555576	0.897190993741419	0.798244199866447	0.827446565527756	0.212239852779612	0.117339424590769	0.552862353860625	7.49472834158781	4	"moderate"
"M6"	68	48	0.705882352941177	48	0.76039	0.69626	0.982334242800185	0.978665219227275	0.999423933820922	0.975545791613362	1	9	9	48	1128	0.988768560191749	0.923818067559311	0.823014403265661	0.870276138418847	0.151023563892156	0.0861339585981468	0.570334564873957	4.97537876796585	5	"moderate"
"M7"	54	39	0.722222222222222	39	0.79507	0.78061	0.996406432509403	0.992425624389118	0.998460940637742	0.984014166938211	1	9	9	39	741	0.998235954714988	0.974376336243268	0.942618885868643	0.962160333560532	0.18128954792124	0.152993234138207	0.84391646342829	4.96232935979352	2	"moderate"
"M8"	48	17	0.354166666666667	17	0.73595	0.60244	0.979976717094091	0.931743955743675	0.973774811262541	0.836510605134663	0.666666666666667	6	9	17	136	0.773369133498948	0.776203425409093	0.795999561360454	0.770550069176089	0.102555769514188	0.0550380991237738	0.536665069010668	1.55870832969897	10	"not_supported"
"M9"	42	33	0.785714285714286	33	0.71995	0.6319	0.974684393136746	0.972963836390292	0.999480907352356	0.980348090471973	0.888888888888889	8	9	33	528	0.896558156584659	0.892954539747924	0.763984913943885	0.892954784317421	0.111067518671565	0.0547771919093251	0.493188220683182	3.25027228149394	8	"moderate"
