Gene	Module	Rank_kWithin	Top_decile_kWithin	V5_gene	Family_conflict	Mapped_for_T008	Pearson_54	Spearman_54
"VIT_00s0160g00100"	"M2"	116	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0160g00110"	"M2"	59	FALSE	"Vitvi05_01chr07g16750"	FALSE	TRUE	0.925358207791442	0.982237469029922
"VIT_00s0160g00120"	"M2"	66	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0160g00130"	"M2"	25	FALSE	"Vitvi05_01chr07g16760"	FALSE	TRUE	0.969988409580809	0.888393367638651
"VIT_00s0160g00160"	"M2"	15	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_00s0160g00280"	"M2"	18	TRUE	NA	FALSE	FALSE	NA	NA
"VIT_00s0160g00310"	"M2"	72	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0160g00330"	"M2"	39	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0179g00250"	"M2"	151	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0184g00130"	"M2"	171	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0184g00200"	"M2"	55	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0184g00210"	"M2"	47	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0184g00220"	"M2"	214	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0187g00080"	"M2"	155	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0187g00090"	"M2"	130	FALSE	"Vitvi05_01chr10g03120"	FALSE	TRUE	0.983632471165357	0.988667968548284
"VIT_00s0203g00210"	"M2"	99	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0227g00080"	"M2"	211	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0238g00060"	"M2"	29	FALSE	"Vitvi05_01chr18g33080"	FALSE	TRUE	0.932253511460743	0.98677226083469
"VIT_00s0238g00090"	"M2"	28	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0238g00120"	"M2"	37	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0253g00040"	"M2"	182	FALSE	"Vitvi05_01chr07g21950"	FALSE	TRUE	0.964422029404173	0.995044787497618
"VIT_00s0270g00120"	"M5"	42	FALSE	"Vitvi05_01chr04g11600"	FALSE	TRUE	0.980309890727991	0.99351718767463
"VIT_00s0271g00110"	"M10"	12	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0274g00080"	"M10"	27	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0274g00090"	"M10"	13	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0276g00010"	"M2"	180	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0324g00050"	"M5"	22	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0324g00070"	"M2"	191	FALSE	"Vitvi05_01chr07g23270"	FALSE	TRUE	0.993168662871027	0.98818372403278
"VIT_00s0346g00050"	"M2"	135	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0414g00060"	"M2"	166	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0437g00010"	"M2"	137	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0441g00020"	"M2"	88	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0463g00030"	"M2"	143	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0483g00030"	"M2"	79	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0487g00050"	"M2"	84	FALSE	"Vitvi05_01chr07g22070"	FALSE	TRUE	0.948923282309026	0.95959595959596
"VIT_00s0566g00010"	"M2"	58	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0780g00030"	"M2"	205	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0823g00020"	"M2"	98	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s0841g00010"	"M2"	36	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s1203g00010"	"M2"	86	FALSE	"Vitvi05_01chr15g03800"	FALSE	TRUE	0.960405706240448	0.948052650841379
"VIT_00s1206g00010"	"M5"	67	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s1390g00010"	"M2"	81	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s2313g00010"	"M2"	45	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s2478g00020"	"M2"	189	FALSE	"Vitvi05_01chr01g01700"	FALSE	TRUE	0.367916326458641	0.323935571801696
"VIT_00s2507g00010"	"M2"	70	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_00s2849g00010"	"M5"	72	FALSE	"Vitvi05_01chr16g00930"	FALSE	TRUE	0.801508343834681	0.604779074261049
"VIT_01s0010g01240"	"M2"	57	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_01s0010g03810"	"M2"	190	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_01s0010g04010"	"M2"	24	FALSE	"Vitvi05_01chr01g23440"	FALSE	TRUE	0.976612933211101	0.864864309808498
"VIT_01s0011g01810"	"M5"	70	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_01s0011g02960"	"M2"	183	FALSE	"Vitvi05_01chr01g03630"	FALSE	TRUE	0.971787566840217	0.978958603339178
"VIT_01s0011g05060"	"M2"	163	FALSE	"Vitvi05_01chr01g06570"	FALSE	TRUE	0.992583046295796	0.984295788069373
"VIT_01s0011g06460"	"M2"	167	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_01s0026g02270"	"M2"	144	FALSE	"Vitvi05_01chr01g14910"	FALSE	TRUE	0.983831090063378	0.996112064036592
"VIT_01s0026g02400"	"M5"	50	FALSE	"Vitvi05_01chr01g15090"	FALSE	TRUE	0.955560093391547	0.957200154157768
"VIT_01s0127g00590"	"M2"	114	FALSE	"Vitvi05_01chr01g11190"	FALSE	TRUE	0.997588047544112	0.998017914999047
"VIT_01s0146g00090"	"M2"	161	FALSE	"Vitvi05_01chr01g23570"	FALSE	TRUE	0.938684060641868	0.991457852829189
"VIT_01s0146g00320"	"M5"	17	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0012g01660"	"M5"	82	FALSE	"Vitvi05_01chr02g12230"	FALSE	TRUE	0.990623155912569	0.986887745378311
"VIT_02s0025g00940"	"M2"	162	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0025g01610"	"M10"	5	FALSE	"Vitvi05_01chr02g01860"	FALSE	TRUE	0.998277996299251	0.996874404421574
"VIT_02s0025g03260"	"M5"	43	FALSE	"Vitvi05_01chr02g03820"	FALSE	TRUE	0.989957009507304	0.963483895559367
"VIT_02s0025g03810"	"M2"	68	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0025g03910"	"M2"	115	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0025g04230"	"M5"	92	FALSE	"Vitvi05_01chr02g05170"	FALSE	TRUE	0.74683745000635	0.673126531609469
"VIT_02s0025g04250"	"M5"	31	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0025g04260"	"M5"	53	FALSE	"Vitvi05_01chr02g05200"	FALSE	TRUE	0.9303326882517	0.905594698653071
"VIT_02s0025g04270"	"M5"	79	FALSE	"Vitvi05_01chr02g05210"	FALSE	TRUE	0.956334164627108	0.953023666574238
"VIT_02s0025g04890"	"M2"	153	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_02s0033g00700"	"M5"	45	FALSE	"Vitvi05_01chr02g16820"	FALSE	TRUE	0.936229928328626	0.986486768090264
"VIT_02s0033g01120"	"M10"	16	FALSE	"Vitvi05_01chr02g17580"	FALSE	TRUE	0.997821814809958	0.992529064227177
"VIT_02s0033g01380"	"M5"	100	FALSE	"Vitvi05_01chr02g18040"	FALSE	TRUE	0.972664252497251	0.988412426148275
"VIT_02s0154g00580"	"M2"	82	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0017g00650"	"M2"	184	FALSE	"Vitvi05_01chr03g17080"	FALSE	TRUE	0.996666409868444	0.993062702496665
"VIT_03s0017g00870"	"M2"	131	FALSE	"Vitvi05_01chr03g17570"	FALSE	TRUE	0.943448571481886	0.995025634364711
"VIT_03s0017g00940"	"M2"	106	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0017g02080"	"M2"	188	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g00220"	"M2"	63	FALSE	"Vitvi05_01chr03g00190"	FALSE	TRUE	0.967677364969444	0.997636744806556
"VIT_03s0038g01770"	"M2"	60	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g01930"	"M2"	154	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g03400"	"M5"	46	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0038g03860"	"M5"	80	FALSE	"Vitvi05_01chr03g04320"	FALSE	TRUE	0.989257565898093	0.937183152277492
"VIT_03s0038g04330"	"M2"	206	FALSE	"Vitvi05_01chr03g04830"	FALSE	TRUE	0.982721578378999	0.994816085382123
"VIT_03s0038g04680"	"M2"	83	FALSE	"Vitvi05_01chr03g05200"	FALSE	TRUE	0.988701113396978	0.984905660377358
"VIT_03s0038g04700"	"M2"	103	FALSE	"Vitvi05_01chr03g05230"	FALSE	TRUE	0.998865468914952	0.994892319420621
"VIT_03s0063g00810"	"M2"	109	FALSE	"Vitvi05_01chr03g07740"	FALSE	TRUE	0.985200907720828	0.957842576710501
"VIT_03s0063g01960"	"M2"	200	FALSE	"Vitvi05_01chr03g06270"	FALSE	TRUE	0.994521060118823	0.990928149418715
"VIT_03s0088g00060"	"M2"	157	FALSE	"Vitvi05_01chr03g10790"	FALSE	TRUE	0.987781503699369	0.970287217390198
"VIT_03s0088g00140"	"M2"	124	FALSE	"Vitvi05_01chr03g10920"	FALSE	TRUE	0.964659660596067	0.91248068077066
"VIT_03s0088g00210"	"M2"	41	FALSE	"Vitvi05_01chr03g11000"	FALSE	TRUE	0.897285186516394	0.882616402226283
"VIT_03s0088g00690"	"M5"	12	FALSE	NA	FALSE	FALSE	NA	NA
"VIT_03s0088g00700"	"M5"	16	FALSE	"Vitvi05_01chr03g11570"	FALSE	TRUE	0.97453946186556	0.915935985614109
"VIT_03s0088g00710"	"M5"	37	FALSE	"Vitvi05_01chr03g11580"	FALSE	TRUE	0.971215106451206	0.980315250427855
"VIT_03s0091g00160"	"M5"	96	FALSE	"Vitvi05_01chr03g09150"	FALSE	TRUE	0.966871240013477	0.997407943889609
