SampleName	GSM	Cultivar	Stage	Year	Replicate	Pearson_across_genes	Spearman_across_genes
"GSM2627691"	"GSM2627691"	"Cabernet Sauvignon"	"FruitSet"	"2012"	1	0.903813151348991	0.92745450787142
"GSM2627692"	"GSM2627692"	"Cabernet Sauvignon"	"FruitSet"	"2012"	2	0.902477366877372	0.91967173678084
"GSM2627693"	"GSM2627693"	"Cabernet Sauvignon"	"FruitSet"	"2012"	3	0.904820955880744	0.925749920566027
"GSM2627709"	"GSM2627709"	"Cabernet Sauvignon"	"Veraison"	"2012"	1	0.904971549755644	0.940424469977276
"GSM2627711"	"GSM2627711"	"Cabernet Sauvignon"	"Veraison"	"2012"	2	0.902567701886133	0.937698280155789
"GSM2627713"	"GSM2627713"	"Cabernet Sauvignon"	"Veraison"	"2012"	3	0.906064510799806	0.938691863275869
"GSM2627739"	"GSM2627739"	"Cabernet Sauvignon"	"Harvest"	"2012"	1	0.898574519817856	0.937209304307427
"GSM2627740"	"GSM2627740"	"Cabernet Sauvignon"	"Harvest"	"2012"	2	0.896763055430336	0.945267698186949
"GSM2627741"	"GSM2627741"	"Cabernet Sauvignon"	"Harvest"	"2012"	3	0.900149392144831	0.943356496636729
"GSM2627742"	"GSM2627742"	"Cabernet Sauvignon"	"FruitSet"	"2013"	1	0.909815445401222	0.917249447976667
"GSM2627743"	"GSM2627743"	"Cabernet Sauvignon"	"FruitSet"	"2013"	2	0.915279470602025	0.931049704328987
"GSM2627744"	"GSM2627744"	"Cabernet Sauvignon"	"FruitSet"	"2013"	3	0.916405693539238	0.922621955045948
"GSM2627754"	"GSM2627754"	"Cabernet Sauvignon"	"Veraison"	"2013"	1	0.904892283903814	0.931962622819954
"GSM2627755"	"GSM2627755"	"Cabernet Sauvignon"	"Veraison"	"2013"	2	0.906985862263671	0.940748452494574
"GSM2627756"	"GSM2627756"	"Cabernet Sauvignon"	"Veraison"	"2013"	3	0.907677106833622	0.941196166015797
"GSM2627781"	"GSM2627781"	"Cabernet Sauvignon"	"Harvest"	"2013"	1	0.897983449075121	0.933903902749501
"GSM2627782"	"GSM2627782"	"Cabernet Sauvignon"	"Harvest"	"2013"	2	0.897804478566269	0.93289187931969
"GSM2627783"	"GSM2627783"	"Cabernet Sauvignon"	"Harvest"	"2013"	3	0.898400494583982	0.932434971429499
"GSM2627784"	"GSM2627784"	"Cabernet Sauvignon"	"FruitSet"	"2014"	1	0.908555513804268	0.927912409829016
"GSM2627785"	"GSM2627785"	"Cabernet Sauvignon"	"FruitSet"	"2014"	2	0.908780653028507	0.928359892988303
"GSM2627786"	"GSM2627786"	"Cabernet Sauvignon"	"FruitSet"	"2014"	3	0.906565377214225	0.92476987066862
"GSM2627793"	"GSM2627793"	"Cabernet Sauvignon"	"Veraison"	"2014"	1	0.894239701185533	0.912341996382015
"GSM2627794"	"GSM2627794"	"Cabernet Sauvignon"	"Veraison"	"2014"	2	0.889751107796106	0.908733707741403
"GSM2627795"	"GSM2627795"	"Cabernet Sauvignon"	"Veraison"	"2014"	3	0.889100017976029	0.905866153014843
"GSM2627820"	"GSM2627820"	"Cabernet Sauvignon"	"Harvest"	"2014"	1	0.894625848163035	0.935188337012824
"GSM2627821"	"GSM2627821"	"Cabernet Sauvignon"	"Harvest"	"2014"	2	0.892720055592803	0.93363066190219
"GSM2627822"	"GSM2627822"	"Cabernet Sauvignon"	"Harvest"	"2014"	3	0.892017417687749	0.931919953284783
"GSM2627823"	"GSM2627823"	"Pinot noir"	"FruitSet"	"2012"	1	0.899182592379412	0.920775142585139
"GSM2627824"	"GSM2627824"	"Pinot noir"	"FruitSet"	"2012"	2	0.902674514327558	0.917786382358106
"GSM2627825"	"GSM2627825"	"Pinot noir"	"FruitSet"	"2012"	3	0.900126695746779	0.923734135143876
"GSM2627835"	"GSM2627835"	"Pinot noir"	"Veraison"	"2012"	1	0.900328025906005	0.93390537045701
"GSM2627836"	"GSM2627836"	"Pinot noir"	"Veraison"	"2012"	2	0.903333853070459	0.935941849254306
"GSM2627837"	"GSM2627837"	"Pinot noir"	"Veraison"	"2012"	3	0.895601721126931	0.928388389845183
"GSM2627850"	"GSM2627850"	"Pinot noir"	"Harvest"	"2012"	1	0.894482847490961	0.943140229425488
"GSM2627851"	"GSM2627851"	"Pinot noir"	"Harvest"	"2012"	2	0.89727428592958	0.948426302796992
"GSM2627852"	"GSM2627852"	"Pinot noir"	"Harvest"	"2012"	3	0.900879486846886	0.949372455923647
"GSM2627853"	"GSM2627853"	"Pinot noir"	"FruitSet"	"2013"	1	0.904684104155639	0.91630127293897
"GSM2627854"	"GSM2627854"	"Pinot noir"	"FruitSet"	"2013"	2	0.901439450102596	0.90865285612807
"GSM2627855"	"GSM2627855"	"Pinot noir"	"FruitSet"	"2013"	3	0.910289585464757	0.924950335744937
"GSM2627862"	"GSM2627862"	"Pinot noir"	"Veraison"	"2013"	1	0.899722517396934	0.931788794413135
"GSM2627863"	"GSM2627863"	"Pinot noir"	"Veraison"	"2013"	2	0.896202548891115	0.930293615151165
"GSM2627864"	"GSM2627864"	"Pinot noir"	"Veraison"	"2013"	3	0.89571517391219	0.932367254777773
"GSM2627883"	"GSM2627883"	"Pinot noir"	"Harvest"	"2013"	1	0.897302177714501	0.937042792825237
"GSM2627884"	"GSM2627884"	"Pinot noir"	"Harvest"	"2013"	2	0.895832746280511	0.942978908277875
