GSM	SRA_Run	Cultivar	Stage	Year	Processed_fragments	Mapped_fragments	Percent_mapped	Decoy_fragments	Nonzero_gene_counts	Median_ratio_size_factor
GSM2627691	SRR5560506	Cabernet Sauvignon	FruitSet	2012	12724462	11283224	88.67348576309159	963347	26398	0.43481839
GSM2627692	SRR5560507	Cabernet Sauvignon	FruitSet	2012	29764299	26417655	88.75618068478616	2244566	29965	0.96240334
GSM2627693	SRR5560508	Cabernet Sauvignon	FruitSet	2012	32544679	27787097	85.38138292898819	3331489	31811	0.87003117
GSM2627709	SRR5560518	Cabernet Sauvignon	Veraison	2012	27928543	22644033	81.07846155812712	2790325	28722	0.92551574
GSM2627711	SRR5560519	Cabernet Sauvignon	Veraison	2012	21080333	17263331	81.89306592073284	1981446	27913	0.68345494
GSM2627713	SRR5560520	Cabernet Sauvignon	Veraison	2012	23619255	19287699	81.66091182808263	2214274	28719	0.76875368
GSM2627739	SRR5560542	Cabernet Sauvignon	Harvest	2012	25979494	21716349	83.59034629388856	3168229	29904	0.91277042
GSM2627740	SRR5560543	Cabernet Sauvignon	Harvest	2012	29727462	24358020	81.93777188244324	3796345	28842	0.89281499
GSM2627741	SRR5560544	Cabernet Sauvignon	Harvest	2012	25298219	21185576	83.74334968007037	2893995	29542	0.88547159
GSM2627742	SRR5560545	Cabernet Sauvignon	FruitSet	2013	25148145	21628107	86.00279265130688	2065612	30779	1.00859104
GSM2627743	SRR5560546	Cabernet Sauvignon	FruitSet	2013	26385793	22560144	85.50110280937928	2264931	30964	1.04307854
GSM2627744	SRR5560547	Cabernet Sauvignon	FruitSet	2013	28338992	24238424	85.53029691387754	2459482	30144	1.10803955
GSM2627754	SRR5560558	Cabernet Sauvignon	Veraison	2013	28784449	24107443	83.75162227354083	2854436	28885	0.96603027
GSM2627755	SRR5560559	Cabernet Sauvignon	Veraison	2013	26456779	22394613	84.64602966218979	2563206	28068	0.85582740
GSM2627756	SRR5560560	Cabernet Sauvignon	Veraison	2013	23181067	19268466	83.12156640589495	2410203	27519	0.71768033
GSM2627781	SRR5560585	Cabernet Sauvignon	Harvest	2013	43710305	34913060	79.8737505949684	4948109	31482	1.44981789
GSM2627782	SRR5560586	Cabernet Sauvignon	Harvest	2013	41605665	32944289	79.1822195366905	4766001	31889	1.37192378
GSM2627783	SRR5560587	Cabernet Sauvignon	Harvest	2013	41980889	33324453	79.38005552955299	4644563	31434	1.41767685
GSM2627784	SRR5560588	Cabernet Sauvignon	FruitSet	2014	36703145	30986717	84.42523658394941	3891178	30598	1.34751798
GSM2627785	SRR5560589	Cabernet Sauvignon	FruitSet	2014	51596842	43633889	84.56697601764077	5610694	31641	1.95124855
GSM2627786	SRR5560590	Cabernet Sauvignon	FruitSet	2014	47487319	39868859	83.95685382870319	5295517	32448	1.78377605
GSM2627793	SRR5560597	Cabernet Sauvignon	Veraison	2014	32276350	27804239	86.1443099978777	3421245	30337	1.25587414
GSM2627794	SRR5560598	Cabernet Sauvignon	Veraison	2014	34091860	29161866	85.53908762971571	3794677	30645	1.31062538
GSM2627795	SRR5560599	Cabernet Sauvignon	Veraison	2014	36601916	31973904	87.35582038929329	3451748	31398	1.42641920
GSM2627820	SRR5560624	Cabernet Sauvignon	Harvest	2014	49033626	40236360	82.05870803843877	6751574	32203	1.75100010
GSM2627821	SRR5560625	Cabernet Sauvignon	Harvest	2014	34034563	27932284	82.07034713505797	4653974	30747	1.20562298
GSM2627822	SRR5560626	Cabernet Sauvignon	Harvest	2014	21359051	17609823	82.44665458217221	2892801	29605	0.77853842
GSM2627823	SRR5560627	Pinot noir	FruitSet	2012	29088167	25336285	87.1016898383456	2249672	29225	0.94653114
GSM2627824	SRR5560628	Pinot noir	FruitSet	2012	25573908	20935843	81.8640741180425	1862191	28439	0.87007398
GSM2627825	SRR5560629	Pinot noir	FruitSet	2012	29741944	25753392	86.58947108501044	2401285	29679	0.87989920
GSM2627835	SRR5560639	Pinot noir	Veraison	2012	31918674	27162289	85.09842545464139	3409951	28210	1.04616052
GSM2627836	SRR5560640	Pinot noir	Veraison	2012	31953495	27093723	84.79110970490082	3285334	28667	1.07693734
GSM2627837	SRR5560641	Pinot noir	Veraison	2012	28319046	23913323	84.44254442752062	3163714	28126	0.93011219
GSM2627850	SRR5560654	Pinot noir	Harvest	2012	31419916	25083807	79.8340994928185	3514319	29329	0.95570591
GSM2627851	SRR5560655	Pinot noir	Harvest	2012	25804009	20519128	79.51914758671802	2927055	28754	0.77987326
GSM2627852	SRR5560656	Pinot noir	Harvest	2012	40547271	32775801	80.8335559747042	3983836	29856	1.20090749
GSM2627853	SRR5560657	Pinot noir	FruitSet	2013	27481500	23281244	84.71605989483835	2869361	30845	1.06062111
GSM2627854	SRR5560658	Pinot noir	FruitSet	2013	29154830	24536219	84.15833328474218	2961075	31017	1.11392006
GSM2627855	SRR5560659	Pinot noir	FruitSet	2013	30132168	25237516	83.75605764576913	3253413	29842	1.16321715
GSM2627862	SRR5560666	Pinot noir	Veraison	2013	27006397	22800684	84.42697483859102	3253280	28351	0.92302741
GSM2627863	SRR5560667	Pinot noir	Veraison	2013	19514717	16575639	84.93917180556603	2258658	26433	0.62191875
GSM2627864	SRR5560668	Pinot noir	Veraison	2013	19650690	16553291	84.23770870132296	2281065	26852	0.66023324
GSM2627883	SRR5560687	Pinot noir	Harvest	2013	22951888	19121175	83.30981311864191	2823879	29303	0.75126330
GSM2627884	SRR5560688	Pinot noir	Harvest	2013	22767696	18963342	83.29056220708499	2771493	28688	0.74165693
GSM2627885	SRR5560689	Pinot noir	Harvest	2013	23477703	19569585	83.3539166927872	2794931	29185	0.76373980
GSM2627886	SRR5560690	Pinot noir	FruitSet	2014	31419382	26342140	83.84041417491916	3526355	30259	1.15105210
GSM2627887	SRR5560691	Pinot noir	FruitSet	2014	36124049	31586794	87.43979391678934	3391969	27927	1.34756925
GSM2627888	SRR5560692	Pinot noir	FruitSet	2014	37739945	31556723	83.61624003426607	4378033	31785	1.45261424
GSM2627895	SRR5560699	Pinot noir	Veraison	2014	17465571	14875885	85.17262332849009	1833441	27339	0.66254006
GSM2627896	SRR5560700	Pinot noir	Veraison	2014	32041632	26991878	84.24002248075254	3634602	29767	1.17685137
GSM2627897	SRR5560701	Pinot noir	Veraison	2014	20912136	17633444	84.32158245336583	2360437	28119	0.76996332
GSM2627919	SRR5560723	Pinot noir	Harvest	2014	31839271	26536089	83.34389628456003	3924414	30042	1.02665026
GSM2627920	SRR5560724	Pinot noir	Harvest	2014	32382087	27014015	83.42271145155036	3962798	30211	1.04306540
GSM2627921	SRR5560725	Pinot noir	Harvest	2014	31301070	26039372	83.19003791244197	3931623	30159	1.01617125
