UniqueCount	AmbigCount
0	12
0	16593
0	253162
0	51
0	29
0	4
0	33
0	0
0	8327
0	98
0	37
4	8
171	341
1	80100
0	0
0	0
0	12
0	3
0	3
0	286
0	1
0	940
0	84
41	26
11	156
0	105
0	329
11	12
0	55
0	0
0	0
0	265
5	940
0	40
0	15
0	0
37	33480
0	0
0	0
0	82
39	2162
0	12
10	25
0	1228
0	107
0	15
57	14
1	5
1	3
0	3
9	3
277	302
1	7
3	6
8	19
64	250668
0	0
0	1
0	0
0	12
0	12
0	26
97	242
0	55
0	28
0	259
0	32
0	5
0	75143
0	0
1	20
0	296
0	296
0	61
0	28
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
5	1
0	296
0	0
0	0
39	101
0	48
0	0
0	0
0	11
0	1537
0	22
2	2
25	41
0	0
0	0
0	0
0	3
0	0
0	110
0	1821
2	37
0	1821
0	110
0	0
0	0
0	0
0	0
0	0
0	0
0	18484
16	17277
0	0
6	299254
0	6
0	0
0	0
0	1228
0	958
0	296
10	0
3	28
0	296
9	2783
0	0
137	150
10	0
6	351
1	0
0	296
0	0
0	0
4	56
0	82
0	10861
0	13358
0	3962
0	13974
4	5
0	6
0	4
6	134741
0	0
14	1800
0	0
0	0
0	0
52	222592
0	0
0	12
0	26
0	2
0	1821
0	110
2	8167
40	15
0	3
16	0
0	0
0	48
0	65
19	12381
26	17473
0	296
30	1494
0	26
0	1142
0	907
25	0
6	10
0	1821
0	110
0	0
0	0
3	30447
1	3
3	8
2	14865
0	4543
0	82
0	0
0	0
0	473
0	25
0	82
0	26
0	55
0	1228
0	101
0	92
0	203
0	1228
0	107
0	26
0	12
0	0
0	0
0	0
0	296
0	82
0	2
0	2
3	3365
0	82
6	16
0	1821
0	98
0	47
0	4
0	1
0	82
0	21
0	33
0	11
0	34
0	296
0	0
0	79095
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	1921
0	82
0	0
1	21
0	65
0	82
12	13
0	121
1	29
0	0
0	0
0	12
0	16593
0	0
0	0
0	91
0	11
0	296
0	101
2	848
0	296
0	82
3	5286
0	0
0	2
0	0
0	0
0	0
0	2
0	0
0	1228
0	296
0	5
12	66
39	315948
0	0
0	0
2	12243
0	8057
0	4543
1508	17380
130	288174
0	0
0	0
0	157
0	26
0	4543
0	8317
16	0
0	4543
2	47
0	82
0	0
0	0
2	0
0	27
0	0
0	0
0	2
109	480458
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	23
0	45
0	22
0	12
51	744
45	77
0	0
45	305347
0	0
0	0
0	0
5	28769
0	0
