GSM	Cultivar	Stage	Year	Replicate	SRA_Experiment	SRA_Run	ENA_BioSample	ENA_Secondary_Sample	Library_Layout	FASTQ_URLs	FASTQ_Bytes	FASTQ_MD5	FASTQ_Total_Bytes	Read_Count	Base_Count
GSM2627691	Cabernet Sauvignon	FruitSet	2012	1	SRX2823612	SRR5560506	SAMN07124257	SRS2200212	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560506/SRR5560506.fastq.gz	1140195006	5d67cb3a0ac1d4ba6166e58dc0848143	1140195006	12724462	1208823890
GSM2627692	Cabernet Sauvignon	FruitSet	2012	2	SRX2823613	SRR5560507	SAMN07124256	SRS2200213	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560507/SRR5560507.fastq.gz	2281969955	4d78e9f04f24ca197015029e1c073eee	2281969955	29764299	2827608405
GSM2627693	Cabernet Sauvignon	FruitSet	2012	3	SRX2823614	SRR5560508	SAMN07124255	SRS2200214	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560508/SRR5560508.fastq.gz	2454227225	0b715b39b2c655223372cecf9867bf40	2454227225	32544679	3091744505
GSM2627709	Cabernet Sauvignon	Veraison	2012	1	SRX2823624	SRR5560518	SAMN07124245	SRS2200224	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560518/SRR5560518.fastq.gz	2439835072	c541339edaa5af1e9b604c16e1ab89a1	2439835072	27928543	2681140128
GSM2627711	Cabernet Sauvignon	Veraison	2012	2	SRX2823625	SRR5560519	SAMN07124244	SRS2200225	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560519/SRR5560519.fastq.gz	1841781494	eb389a04b1b1431bb9526ab08e8f4130	1841781494	21080333	2023711968
GSM2627713	Cabernet Sauvignon	Veraison	2012	3	SRX2823626	SRR5560520	SAMN07124243	SRS2200226	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560520/SRR5560520.fastq.gz	2066464178	b2d5c47c1221754f1726b958a3cab98f	2066464178	23619255	2267448480
GSM2627739	Cabernet Sauvignon	Harvest	2012	1	SRX2823648	SRR5560542	SAMN07124403	SRS2200248	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/002/SRR5560542/SRR5560542.fastq.gz	2316007642	6a0bf6602e47966c0e6f61f8169305ce	2316007642	25979494	2468051930
GSM2627740	Cabernet Sauvignon	Harvest	2012	2	SRX2823649	SRR5560543	SAMN07124402	SRS2200249	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/003/SRR5560543/SRR5560543.fastq.gz	2341020612	845297ae9b77de2bab6d0f6afc7f969c	2341020612	29727462	2824108890
GSM2627741	Cabernet Sauvignon	Harvest	2012	3	SRX2823650	SRR5560544	SAMN07124401	SRS2200250	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/004/SRR5560544/SRR5560544.fastq.gz	2011469210	b95e81f7d683963418aafc7ca2b21336	2011469210	25298219	2403330805
GSM2627742	Cabernet Sauvignon	FruitSet	2013	1	SRX2823651	SRR5560545	SAMN07124400	SRS2200252	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/005/SRR5560545/SRR5560545.fastq.gz	2096433042	7a475b6393f158e63d21e9161d906a6b	2096433042	25148145	2539962645
GSM2627743	Cabernet Sauvignon	FruitSet	2013	2	SRX2823652	SRR5560546	SAMN07124399	SRS2200251	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/006/SRR5560546/SRR5560546.fastq.gz	2193187104	3acf17deeb91f8188fb5c6a128402857	2193187104	26385793	2664965093
GSM2627744	Cabernet Sauvignon	FruitSet	2013	3	SRX2823653	SRR5560547	SAMN07124398	SRS2200254	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/007/SRR5560547/SRR5560547.fastq.gz	2343078922	aba5e5fc42d15f546ba9a90a752245f4	2343078922	28338992	2862238192
GSM2627754	Cabernet Sauvignon	Veraison	2013	1	SRX2823663	SRR5560558	SAMN07124280	SRS2200263	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/008/SRR5560558/SRR5560558.fastq.gz	2330873078	9d08fe1e24aaeddd84c5b002e0e87a5f	2330873078	28784449	2907229349
GSM2627755	Cabernet Sauvignon	Veraison	2013	2	SRX2823664	SRR5560559	SAMN07124279	SRS2200264	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/009/SRR5560559/SRR5560559.fastq.gz	2135569260	a60dab7b4a30cde815030872157e614e	2135569260	26456779	2672134679
GSM2627756	Cabernet Sauvignon	Veraison	2013	3	SRX2823665	SRR5560560	SAMN07124278	SRS2200265	SINGLE	https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR556/000/SRR5560560/SRR5560560.fastq.gz	1870527741	3afa26780b3547f801519d987ed67116	1870527741	23181067	2341287767
