UTC	SRA_Run	Stage	Status	Detail
2026-09-22T04:47:16+00:00	ALL	DISK	PASS	free=199150022656; pending_FASTQ=137364941113; no_file_deletion
2026-09-22T04:47:16+00:00	SRR5560506	REVALIDATE	START	-
2026-09-22T04:47:17+00:00	SRR5560506	REVALIDATE	PASS	-
2026-09-22T04:47:17+00:00	SRR5560667	DOWNLOAD	START	-
2026-09-22T04:47:20+00:00	SRR5560667	DOWNLOAD	PASS	-
2026-09-22T04:47:20+00:00	SRR5560667	FASTQ_QC	START	-
2026-09-22T04:47:55+00:00	SRR5560667	FASTQ_QC	PASS	-
2026-09-22T04:47:55+00:00	SRR5560667	SALMON	START	-
2026-09-22T04:52:23+00:00	SRR5560667	SALMON	PASS	-
2026-09-22T04:52:23+00:00	SRR5560667	QUANT_QC	START	-
2026-09-22T04:52:24+00:00	SRR5560667	QUANT_QC	PASS	-
2026-09-22T04:52:24+00:00	ALL	BATCH	STOP_AFTER	1
