Source	Module	TermID	TermName	Background_N	Module_n	Term_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_within_module	FDR_global_module_terms
v3_mapman	M5	9.2.3	Secondary metabolism.phenolics.stilbenoid biosynthesis	2608	93	19	18	0.677530674846626	26.5670628183362	TRUE		2.93297216804401e-26	VIT_16s0100g00750;VIT_16s0100g00770;VIT_16s0100g00780;VIT_16s0100g00830;VIT_16s0100g00880;VIT_16s0100g00910;VIT_16s0100g00990;VIT_16s0100g01000;VIT_16s0100g01010;VIT_16s0100g01020;VIT_16s0100g01030;VIT_16s0100g01070;VIT_16s0100g01100;VIT_16s0100g01140;VIT_16s0100g01150;VIT_16s0100g01160;VIT_16s0100g01190;VIT_16s0100g01200	6.62851709977946e-24	6.62851709977946e-23
v3_mapman	M5	9.2	Secondary metabolism.phenolics	2608	93	60	25	2.13957055214724	11.6845878136201	TRUE		4.31056461922621e-22	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300;VIT_16s0100g00750;VIT_16s0100g00770;VIT_16s0100g00780;VIT_16s0100g00830;VIT_16s0100g00880;VIT_16s0100g00910;VIT_16s0100g00990;VIT_16s0100g01000;VIT_16s0100g01010;VIT_16s0100g01020;VIT_16s0100g01030;VIT_16s0100g01070;VIT_16s0100g01100;VIT_16s0100g01140;VIT_16s0100g01150;VIT_16s0100g01160;VIT_16s0100g01190;VIT_16s0100g01200	4.87093801972562e-20	4.87093801972562e-19
v3_mapman	M5	9	Secondary metabolism	2608	93	73	25	2.60314417177914	9.60377080571513	TRUE		1.374748444172e-19	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300;VIT_16s0100g00750;VIT_16s0100g00770;VIT_16s0100g00780;VIT_16s0100g00830;VIT_16s0100g00880;VIT_16s0100g00910;VIT_16s0100g00990;VIT_16s0100g01000;VIT_16s0100g01010;VIT_16s0100g01020;VIT_16s0100g01030;VIT_16s0100g01070;VIT_16s0100g01100;VIT_16s0100g01140;VIT_16s0100g01150;VIT_16s0100g01160;VIT_16s0100g01190;VIT_16s0100g01200	1.03564382794291e-17	1.03564382794291e-16
v3_mapman	M8	19.1	Protein homeostasis.protein quality control	2608	37	31	10	0.439800613496933	22.7375762859634	TRUE		3.20835670331206e-12	VIT_02s0025g00280;VIT_04s0008g01490;VIT_04s0008g01570;VIT_08s0058g00210;VIT_13s0019g02740;VIT_13s0019g02760;VIT_13s0019g02770;VIT_13s0019g03090;VIT_13s0019g03160;VIT_16s0022g00510	7.25088614948526e-10	1.81272153737132e-09
v3_mapman	M8	19.1.8	Protein homeostasis.protein quality control.smallHsp holdase chaperone activities	2608	37	25	9	0.354677914110429	25.3751351351351	TRUE		1.43304821493165e-11	VIT_04s0008g01490;VIT_04s0008g01570;VIT_08s0058g00210;VIT_13s0019g02740;VIT_13s0019g02760;VIT_13s0019g02770;VIT_13s0019g03090;VIT_13s0019g03160;VIT_16s0022g00510	1.61934448287276e-09	6.47737793149105e-09
v3_mapman	M5	9.2.1.1.1	Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity.phenylalanine ammonia lyase (PAL)	2608	93	8	7	0.285276073619632	24.5376344086022	TRUE		4.5565213344578e-10	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300	2.57443455396866e-08	1.71628970264577e-07
v3_mapman	M5	9.2.1.1	Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity	2608	93	9	7	0.320935582822086	21.8112305854241	TRUE		1.99112096636005e-09	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300	8.99986676794745e-08	6.4284762628196e-07
v3_mapman	M8	19.1.8.1	Protein homeostasis.protein quality control.smallHsp holdase chaperone activities.class-C-I protein	2608	37	12	6	0.170245398773006	35.2432432432432	TRUE		4.64821705160816e-09	VIT_08s0058g00210;VIT_13s0019g02740;VIT_13s0019g02760;VIT_13s0019g02770;VIT_13s0019g03090;VIT_13s0019g03160	3.50165684554482e-07	1.31312131707931e-06
v3_mapman	M5	9.2.1	Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis	2608	93	11	7	0.392254601226994	17.8455522971652	TRUE		1.72114647948241e-08	VIT_08s0040g01710;VIT_16s0039g01100;VIT_16s0039g01120;VIT_16s0039g01170;VIT_16s0039g01240;VIT_16s0039g01280;VIT_16s0039g01300	6.4829850727171e-07	4.32199004847806e-06
v3_mapman	M7	50.2.4	Enzyme classification.EC_2 transferases.EC_2.4 glycosyltransferase	2608	51	49	9	0.958205521472393	9.39255702280912	TRUE		2.28775086683678e-07	VIT_05s0062g00480;VIT_11s0052g01190;VIT_11s0052g01200;VIT_11s0052g01260;VIT_11s0052g01270;VIT_11s0052g01280;VIT_11s0052g01300;VIT_11s0052g01320;VIT_11s0052g01340	5.17031695905112e-05	5.17031695905112e-05
