Source	Theme	Module	Matched_MapMan_terms	Background_N	Module_n	Theme_background_K	Overlap_k	Expected_overlap	Fold_enrichment	Tested	Reason_if_not_tested	p_value	Hit_genes	FDR_global_themes	Coverage_warning
v3_mapman	cuticle_cutin_wax	M1	12	2608	1916	9	8	6.61196319018405	1.20992809093018	TRUE		0.264516702094925	VIT_08s0007g02000;VIT_09s0018g01340;VIT_13s0074g00390;VIT_15s0046g00490;VIT_15s0046g00590;VIT_15s0046g00660;VIT_15s0046g00710;VIT_16s0050g00830	1	FALSE
v3_mapman	cuticle_cutin_wax	M2	12	2608	158	9	0	0.545245398773006	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M3	12	2608	82	9	0	0.282975460122699	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M4	12	2608	107	9	1	0.369248466257669	2.70820353063344	TRUE		0.314515097802329	VIT_15s0046g00480	1	FALSE
v3_mapman	cuticle_cutin_wax	M5	12	2608	93	9	0	0.320935582822086	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M6	12	2608	62	9	0	0.213957055214724	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M7	12	2608	51	9	0	0.175996932515337	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M8	12	2608	37	9	0	0.127684049079755	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M9	12	2608	41	9	0	0.14148773006135	0	TRUE		1		1	FALSE
v3_mapman	cuticle_cutin_wax	M10	12	2608	36	9	0	0.124233128834356	0	TRUE		1		1	FALSE
v3_mapman	epidermis	M1	0	2608	1916	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M2	0	2608	158	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
v3_mapman	epidermis	M3	0	2608	82	0	0	0	NA	FALSE	theme_absent_from_taxonomy	NA		NA	FALSE
