TermID	TermName	OfficialID	OfficialName	Namespace	Official_is_obsolete	Grapedia_label_says_obsolete	Status	Association_pairs
GO:0000003	GO_BP:obsolete reproduction	GO:0000003	obsolete reproduction	biological_process	TRUE	TRUE	obsolete_by_ontology	64
GO:0000014	GO_MF:single-stranded DNA endodeoxyribonuclease activity	GO:0000014	single-stranded DNA endonuclease activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000027	GO_BP:ribosomal large subunit assembly	GO:0000027	ribosomal large subunit assembly	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000030	GO_MF:mannosyltransferase activity	GO:0000030	mannosyltransferase activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000035	GO_MF:acyl binding	GO:0000035	acyl binding	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000036	GO_MF:acyl carrier activity	GO:0000036	acyl carrier activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000041	GO_BP:transition metal ion transport	GO:0000041	transition metal ion transport	biological_process	FALSE	FALSE	live_primary_id	10
GO:0000045	GO_BP:autophagosome assembly	GO:0000045	autophagosome assembly	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000062	GO_MF:fatty-acyl-CoA binding	GO:0000062	fatty-acyl-CoA binding	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000064	GO_MF:L-ornithine transmembrane transporter activity	GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000075	GO_BP:cell cycle checkpoint signaling	GO:0000075	cell cycle checkpoint signaling	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000077	GO_BP:DNA damage checkpoint signaling	GO:0000077	DNA damage checkpoint signaling	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000095	GO_MF:S-adenosyl-L-methionine transmembrane transporter activity	GO:0000095	S-adenosyl-L-methionine transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000096	GO_BP:sulfur amino acid metabolic process	GO:0000096	sulfur amino acid metabolic process	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000122	GO_BP:negative regulation of transcription by RNA polymerase II	GO:0000122	negative regulation of transcription by RNA polymerase II	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000139	GO_CC:Golgi membrane	GO:0000139	Golgi membrane	cellular_component	FALSE	FALSE	live_primary_id	4
GO:0000145	GO_CC:exocyst	GO:0000145	exocyst	cellular_component	FALSE	FALSE	live_primary_id	1
GO:0000151	GO_CC:ubiquitin ligase complex	GO:0000151	ubiquitin ligase complex	cellular_component	FALSE	FALSE	live_primary_id	3
GO:0000154	GO_BP:rRNA modification	GO:0000154	rRNA modification	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000156	GO_MF:phosphorelay response regulator activity	GO:0000156	phosphorelay response regulator activity	molecular_function	FALSE	FALSE	live_primary_id	2
GO:0000160	GO_BP:phosphorelay signal transduction system	GO:0000160	phosphorelay signal transduction system	biological_process	FALSE	FALSE	live_primary_id	7
GO:0000166	GO_MF:nucleotide binding	GO:0000166	nucleotide binding	molecular_function	FALSE	FALSE	live_primary_id	9
GO:0000184	GO_BP:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	FALSE	FALSE	live_primary_id	1
GO:0000209	GO_BP:protein polyubiquitination	GO:0000209	protein polyubiquitination	biological_process	FALSE	FALSE	live_primary_id	2
GO:0000226	GO_BP:microtubule cytoskeleton organization	GO:0000226	microtubule cytoskeleton organization	biological_process	FALSE	FALSE	live_primary_id	4
GO:0000228	GO_CC:nuclear chromosome	GO:0000228	nuclear chromosome	cellular_component	FALSE	FALSE	live_primary_id	2
GO:0000257	GO_MF:nitrilase activity	GO:0000257	nitrilase activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000271	GO_BP:polysaccharide biosynthetic process	GO:0000271	polysaccharide biosynthetic process	biological_process	FALSE	FALSE	live_primary_id	15
GO:0000272	GO_BP:polysaccharide catabolic process	GO:0000272	polysaccharide catabolic process	biological_process	FALSE	FALSE	live_primary_id	5
GO:0000278	GO_BP:mitotic cell cycle	GO:0000278	mitotic cell cycle	biological_process	FALSE	FALSE	live_primary_id	8
GO:0000281	GO_BP:mitotic cytokinesis	GO:0000281	mitotic cytokinesis	biological_process	FALSE	FALSE	live_primary_id	7
GO:0000287	GO_MF:magnesium ion binding	GO:0000287	magnesium ion binding	molecular_function	FALSE	FALSE	live_primary_id	4
GO:0000293	GO_MF:ferric-chelate reductase activity	GO:0000293	ferric-chelate reductase activity	molecular_function	FALSE	FALSE	live_primary_id	1
GO:0000295	GO_MF:adenine nucleotide transmembrane transporter activity	GO:0000295	adenine nucleotide transmembrane transporter activity	molecular_function	FALSE	FALSE	live_primary_id	1
