Module	TermID	Background_N_T005	Module_n_T005	Term_background_K_T005	Overlap_k_T005	Tested_T005	p_value_T005	FDR_global_module_terms_T005	Background_N_ontology_checked	Module_n_ontology_checked	Term_background_K_ontology_checked	Overlap_k_ontology_checked	Tested_ontology_checked	p_value_ontology_checked	FDR_global_module_terms_ontology_checked	Change	Global_FDR05_T005	Global_FDR05_ontology_checked	Significance_changed
M1	GO:0000014	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000027	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000030	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000035	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000036	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000041	519	418	10	8	TRUE	0.694765731785134	1	519	418	10	8	TRUE	0.694765731785134	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000045	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000062	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000064	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000075	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000077	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000095	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000096	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000122	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000139	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000145	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000151	519	418	3	2	FALSE	NA	NA	519	418	3	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000154	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000156	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000160	519	418	7	5	TRUE	0.86247805277329	1	519	418	7	5	TRUE	0.86247805277329	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000166	519	418	9	8	TRUE	0.450995339253049	1	519	418	9	8	TRUE	0.450995339253049	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000184	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000209	519	418	2	1	FALSE	NA	NA	519	418	2	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000226	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000228	519	418	2	1	FALSE	NA	NA	519	418	2	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000257	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000271	519	418	15	12	TRUE	0.669347572703523	1	519	418	15	12	TRUE	0.669347572703523	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000272	519	418	5	3	TRUE	0.947010666770796	1	519	418	5	3	TRUE	0.947010666770796	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000278	519	418	8	7	TRUE	0.518215074420047	1	519	418	8	7	TRUE	0.518215074420047	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000281	519	418	7	7	TRUE	0.217658833554605	1	519	418	7	7	TRUE	0.217658833554605	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000287	519	418	4	3	FALSE	NA	NA	519	418	4	3	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000293	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000295	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000302	519	418	25	21	TRUE	0.444115510997312	1	519	418	25	21	TRUE	0.444115510997312	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000303	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000305	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000311	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000312	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000313	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000314	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000315	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000322	519	418	2	0	FALSE	NA	NA	519	418	2	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000323	519	418	5	4	TRUE	0.748729050750708	1	519	418	5	4	TRUE	0.748729050750708	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000325	519	418	18	13	TRUE	0.88379209905675	1	519	418	18	13	TRUE	0.88379209905675	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000326	519	418	2	0	FALSE	NA	NA	519	418	2	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000375	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000377	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000381	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000398	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000413	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000427	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000428	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000462	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000723	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000724	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000725	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000781	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000785	519	418	3	2	FALSE	NA	NA	519	418	3	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000791	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000902	519	418	18	15	TRUE	0.523091113325428	1	519	418	18	15	TRUE	0.523091113325428	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000910	519	418	7	7	TRUE	0.217658833554605	1	519	418	7	7	TRUE	0.217658833554605	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000911	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000922	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000956	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000976	519	418	7	7	TRUE	0.217658833554605	1	519	418	7	7	TRUE	0.217658833554605	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000977	519	418	5	5	TRUE	0.337294697509024	1	519	418	5	5	TRUE	0.337294697509024	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000978	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0000981	519	418	17	15	TRUE	0.3252971036433	1	519	418	17	15	TRUE	0.3252971036433	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0000987	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001046	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001067	519	418	24	20	TRUE	0.484220584766564	1	519	418	24	20	TRUE	0.484220584766564	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001101	519	418	80	60	TRUE	0.93203957266207	1	519	418	80	60	TRUE	0.93203957266207	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001228	519	418	5	5	TRUE	0.337294697509024	1	519	418	5	5	TRUE	0.337294697509024	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001501	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001504	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001510	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001523	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001558	519	418	6	5	TRUE	0.668683456734816	1	519	418	6	5	TRUE	0.668683456734816	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001568	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001653	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001654	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001655	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001666	519	418	5	2	TRUE	0.994197878275576	1	519	418	5	2	TRUE	0.994197878275576	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001676	519	418	5	5	TRUE	0.337294697509024	1	519	418	5	5	TRUE	0.337294697509024	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0001678	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001708	519	418	3	3	FALSE	NA	NA	519	418	3	3	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001736	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001738	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001756	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001758	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001822	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001882	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001883	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001889	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001932	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001934	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001936	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001944	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0001947	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002009	519	418	3	3	FALSE	NA	NA	519	418	3	3	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002020	519	418	2	1	FALSE	NA	NA	519	418	2	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002072	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002084	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002138	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002181	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002215	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002218	519	418	6	5	TRUE	0.668683456734816	1	519	418	6	5	TRUE	0.668683456734816	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002230	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002237	519	418	3	3	FALSE	NA	NA	519	418	3	3	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002239	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002252	519	418	8	7	TRUE	0.518215074420047	1	519	418	8	7	TRUE	0.518215074420047	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002253	519	418	6	5	TRUE	0.668683456734816	1	519	418	6	5	TRUE	0.668683456734816	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002376	519	418	25	23	TRUE	0.103927930195945	1	519	418	25	23	TRUE	0.103927930195945	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002532	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002538	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002539	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002682	519	418	11	10	TRUE	0.335509049274275	1	519	418	11	10	TRUE	0.335509049274275	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002683	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002684	519	418	7	6	TRUE	0.591165618319426	1	519	418	7	6	TRUE	0.591165618319426	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0002697	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002764	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002791	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002792	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002831	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0002833	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003002	519	418	7	7	TRUE	0.217658833554605	1	519	418	7	7	TRUE	0.217658833554605	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003006	519	418	60	43	TRUE	0.974643139557351	1	519	418	60	43	TRUE	0.974643139557351	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003007	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003008	519	418	4	4	FALSE	NA	NA	519	418	4	4	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003013	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003018	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003143	519	418	2	2	FALSE	NA	NA	519	418	2	2	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003228	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003333	519	418	11	10	TRUE	0.335509049274275	1	519	418	11	10	TRUE	0.335509049274275	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003674	519	418	519	418	FALSE	NA	NA	519	418	519	418	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003676	519	418	64	56	TRUE	0.0871002099216863	1	519	418	64	56	TRUE	0.0871002099216863	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003677	519	418	48	41	TRUE	0.245905178798359	1	519	418	48	41	TRUE	0.245905178798359	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003680	519	418	1	1	FALSE	NA	NA	519	418	1	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003682	519	418	7	7	TRUE	0.217658833554605	1	519	418	7	7	TRUE	0.217658833554605	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003690	519	418	8	8	TRUE	0.174722227716685	1	519	418	8	8	TRUE	0.174722227716685	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003697	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003700	519	418	65	54	TRUE	0.358586737726666	1	519	418	65	54	TRUE	0.358586737726666	1	same_counts	FALSE	FALSE	FALSE
M1	GO:0003712	519	418	3	1	FALSE	NA	NA	519	418	3	1	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003713	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
M1	GO:0003714	519	418	1	0	FALSE	NA	NA	519	418	1	0	FALSE	NA	NA	same_counts	FALSE	FALSE	FALSE
