Module	Gene	Rank_kWithin	kWithin	kWithin_per_possible_edge	Hub_core_selected
M1	VIT_19s0014g02740	1971	28.823133176906687	0.013307079029042792	FALSE
M1	VIT_08s0056g01610	779	439.73333383514375	0.20301631294327965	FALSE
M1	VIT_12s0059g00590	1024	352.46060414429076	0.1627241939724334	FALSE
M1	VIT_01s0010g02030	1565	166.62497970105977	0.07692750678719287	FALSE
M1	VIT_08s0056g01600	918	391.00912838217823	0.18052129657533622	FALSE
M1	VIT_05s0049g00520	1439	206.67406161365903	0.09541738763326825	FALSE
M1	VIT_02s0025g03390	788	437.66001047470536	0.2020590999421539	FALSE
M1	VIT_11s0016g00210	1952	32.942276221236206	0.015208807119684305	FALSE
M1	VIT_16s0022g00960	1442	205.24818392244345	0.0947590876834919	FALSE
M1	VIT_07s0005g00660	1495	190.21620279143207	0.087819114862157	FALSE
M1	VIT_19s0090g01370	831	425.793920330631	0.1965807573086939	FALSE
M1	VIT_06s0004g03240	223	607.8430125538166	0.28062927634063556	FALSE
M1	VIT_06s0004g04650	955	378.11038129513315	0.174566196350477	FALSE
M1	VIT_05s0049g00760	1385	222.73821690910216	0.10283389515655686	FALSE
M1	VIT_19s0014g02730	2051	12.916478132561712	0.005963286303121751	FALSE
M1	VIT_03s0180g00070	34	674.673229153213	0.3114834852969589	TRUE
M1	VIT_00s0187g00160	1748	97.19915223338762	0.04487495486305984	FALSE
M1	VIT_18s0001g14270	511	520.833659757751	0.24045875335076222	FALSE
M1	VIT_19s0090g01340	1146	304.63110358910643	0.14064224542433354	FALSE
M1	VIT_09s0002g05180	336	574.7743788419126	0.26536213242932255	FALSE
M1	VIT_07s0031g02210	1396	219.77433798461564	0.10146553000213095	FALSE
M1	VIT_19s0090g01000	830	425.8254999070247	0.1965953369838526	FALSE
M1	VIT_03s0038g01510	1199	285.8834140580107	0.13198680242752112	FALSE
M1	VIT_16s0022g01770	1308	246.51766362630843	0.11381240241288477	FALSE
M1	VIT_05s0094g00340	1577	162.0115403058673	0.07479757170169313	FALSE
M1	VIT_18s0001g14260	540	512.9049689408068	0.23679823127461072	FALSE
M1	VIT_02s0025g01050	561	509.06246416178647	0.23502422168134185	FALSE
M1	VIT_19s0090g01350	438	539.1843459883561	0.24893090765852083	FALSE
M1	VIT_02s0033g01330	1004	360.12700843943765	0.16626362347157786	FALSE
M1	VIT_04s0008g05010	735	454.2217664929819	0.2097053400244607	FALSE
M1	VIT_02s0025g03600	499	523.2687443013215	0.24158298444197668	FALSE
M1	VIT_02s0025g04330	1724	105.28506527104346	0.04860806337536633	FALSE
M1	VIT_13s0019g04280	1920	41.16160473519566	0.019003510958077407	FALSE
M1	VIT_10s0003g00090	1661	126.2428442717098	0.05828386162128799	FALSE
M1	VIT_03s0038g02520	694	469.138786010975	0.21659223730885274	FALSE
M1	VIT_11s0016g04920	1183	290.5288606311643	0.1341315146034923	FALSE
M1	VIT_12s0028g01060	2078	8.200289187732729	0.003785913752415849	FALSE
M1	VIT_05s0020g04510	707	463.6017382923202	0.21403589025499548	FALSE
M1	VIT_13s0064g01240	413	546.7926374315024	0.2524435075861045	FALSE
M1	VIT_12s0035g00270	378	559.9359435247003	0.2585115159393815	FALSE
M1	VIT_15s0046g01500	388	555.5273896808551	0.2564761725211704	FALSE
M1	VIT_10s0003g01360	1880	54.09967911440711	0.024976767827519442	FALSE
M1	VIT_17s0000g03690	109	647.2880348025026	0.298840274608727	TRUE
M1	VIT_00s0357g00100	1423	211.51161370203914	0.09765079118284356	FALSE
M1	VIT_00s0698g00010	1445	204.9010059664993	0.09459880238527207	FALSE
M1	VIT_14s0108g00850	415	546.1383571689627	0.25214143913617854	FALSE
M1	VIT_18s0001g08080	852	416.72141151783376	0.19239215674876906	FALSE
M1	VIT_19s0090g01360	1883	53.40023882937675	0.024653849875058517	FALSE
M1	VIT_08s0007g07310	480	528.1010702683263	0.2438139751931331	FALSE
M1	VIT_05s0062g01320	105	648.0045087716946	0.29917105668129945	TRUE
M1	VIT_00s0960g00010	2103	5.536860441676909	0.002556260591725258	FALSE
M1	VIT_08s0040g01820	1342	237.58858493172573	0.10969002074410238	FALSE
M1	VIT_15s0046g01560	986	365.5172327819014	0.16875218503319547	FALSE
M1	VIT_08s0007g08310	1011	357.5168548441782	0.1650585664100546	FALSE
M1	VIT_11s0016g03210	1655	128.48994774927928	0.05932130551674944	FALSE
M1	VIT_17s0000g05110	2056	12.094051055757358	0.005583587745040332	FALSE
M1	VIT_13s0064g00460	1614	143.1155067478657	0.06607364115783274	FALSE
M1	VIT_15s0046g02420	1256	266.20901380152327	0.12290351514382422	FALSE
M1	VIT_06s0061g00550	1612	144.70255358604692	0.06680634976271788	FALSE
M1	VIT_19s0090g01470	584	499.94533796306575	0.230815022143613	FALSE
M1	VIT_19s0014g01350	440	538.1915809317496	0.24847256737384563	FALSE
M1	VIT_19s0015g02680	2074	8.609294351808208	0.003974743468055497	FALSE
M1	VIT_18s0001g08250	513	520.4460354443189	0.2402797947573033	FALSE
M1	VIT_13s0064g01260	1516	180.22090779402478	0.0832044818993651	FALSE
M1	VIT_05s0020g04110	1982	25.917378226751435	0.011965548581141013	FALSE
M1	VIT_13s0019g02330	180	622.9279618187511	0.28759370351742897	TRUE
M1	VIT_19s0027g00200	318	581.4702189340194	0.268453471345346	FALSE
M1	VIT_10s0116g01780	108	647.5439568752076	0.29895842884358614	TRUE
M1	VIT_05s0136g00260	1953	32.80143350028807	0.01514378277944971	FALSE
