Module	Genes_in_module	Hub_core_genes	Hub_core_fraction	Correlation_HubCore_vs_Canonical_54samples	Correlation_cell_means	Same_direction_stage_year_contrasts	Total_stage_year_contrasts	Direction_match_fraction
M1	2167	217	0.10013844023996309	0.9977589812636662	0.9978215045878931	9	9	1
M2	214	22	0.102803738317757	0.9958806048773425	0.9964133681338686	8	9	0.8888888888888888
M3	131	14	0.10687022900763359	0.994969704696093	0.9958893935757698	4	9	0.4444444444444444
M4	122	13	0.10655737704918032	0.9478505700429606	0.9490173932458741	7	9	0.7777777777777778
M5	108	11	0.10185185185185185	0.9932222625249538	0.9957317980104596	9	9	1
M6	68	7	0.10294117647058823	0.9909828608849908	0.991748390967073	7	9	0.7777777777777778
M7	54	6	0.1111111111111111	0.9867353072754869	0.9892749862197623	9	9	1
M8	48	5	0.10416666666666667	0.9561545685631091	0.9662711281476019	7	9	0.7777777777777778
M9	42	5	0.11904761904761904	0.9935808178909284	0.9926502148349116	7	9	0.7777777777777778
M10	39	4	0.10256410256410256	0.9802413871584147	0.9820043524538854	7	9	0.7777777777777778
