SampleName	Module	Cultivar	Stage	Year	Canonical_eigengene	Hub_core_PC1
GSM2627691	M1	Cabernet Sauvignon	FruitSet	2012	50.9298737701087	17.576326643870793
GSM2627692	M1	Cabernet Sauvignon	FruitSet	2012	49.2291775378173	16.494863815629316
GSM2627693	M1	Cabernet Sauvignon	FruitSet	2012	47.5383479076594	16.14212521628748
GSM2627709	M1	Cabernet Sauvignon	Veraison	2012	2.92712672623832	2.7844542160679797
GSM2627711	M1	Cabernet Sauvignon	Veraison	2012	4.25874914066196	2.6533300421045016
GSM2627713	M1	Cabernet Sauvignon	Veraison	2012	7.30654476927759	3.8073752257570717
GSM2627739	M1	Cabernet Sauvignon	Harvest	2012	-52.7720231044586	-19.220143040365066
GSM2627740	M1	Cabernet Sauvignon	Harvest	2012	-51.5601204958878	-19.40367714568351
GSM2627741	M1	Cabernet Sauvignon	Harvest	2012	-58.6794713548508	-21.66890224991981
GSM2627742	M1	Cabernet Sauvignon	FruitSet	2013	46.5374055138623	16.029253295209333
GSM2627743	M1	Cabernet Sauvignon	FruitSet	2013	48.0491358812133	16.399124012707947
GSM2627744	M1	Cabernet Sauvignon	FruitSet	2013	47.6609771696063	16.054834988015624
GSM2627754	M1	Cabernet Sauvignon	Veraison	2013	10.5344623245978	5.495273071488726
GSM2627755	M1	Cabernet Sauvignon	Veraison	2013	1.49548502300764	2.2835682422316306
GSM2627756	M1	Cabernet Sauvignon	Veraison	2013	-2.47087477013405	0.4585928558721736
GSM2627781	M1	Cabernet Sauvignon	Harvest	2013	-55.9236494614753	-20.270444983929824
GSM2627782	M1	Cabernet Sauvignon	Harvest	2013	-56.3210957966677	-20.612092145589344
GSM2627783	M1	Cabernet Sauvignon	Harvest	2013	-56.5034851868569	-20.528041978556228
GSM2627784	M1	Cabernet Sauvignon	FruitSet	2014	40.7659820014517	14.337858198168506
GSM2627785	M1	Cabernet Sauvignon	FruitSet	2014	40.7517235622118	14.185481008270935
GSM2627786	M1	Cabernet Sauvignon	FruitSet	2014	40.4582000408267	14.249445882664867
GSM2627793	M1	Cabernet Sauvignon	Veraison	2014	23.7969780616052	9.727333337616308
GSM2627794	M1	Cabernet Sauvignon	Veraison	2014	15.9293487879597	7.4457313264945855
GSM2627795	M1	Cabernet Sauvignon	Veraison	2014	17.5762743431731	8.209209412575055
