"Module"	"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"
"M10"	"VIT_02s0033g01120"	"VIT_18s0001g12830"	0.906373307540392	0.374171816085465
"M10"	"VIT_02s0033g01120"	"VIT_17s0000g00430"	0.922880074269025	0.448180227963795
"M10"	"VIT_18s0001g12830"	"VIT_17s0000g00430"	0.873138170852271	0.25753113757263
"M10"	"VIT_02s0033g01120"	"VIT_08s0040g01890"	0.836847455376812	0.168446890727793
"M10"	"VIT_18s0001g12830"	"VIT_08s0040g01890"	0.748131252933526	0.0549260004714853
"M10"	"VIT_17s0000g00430"	"VIT_08s0040g01890"	0.794114716894258	0.099731521892745
"M10"	"VIT_02s0033g01120"	"VIT_08s0007g08010"	0.750934888873662	0.0570194237228849
"M10"	"VIT_18s0001g12830"	"VIT_08s0007g08010"	0.655998323688963	0.0147579928631943
"M10"	"VIT_17s0000g00430"	"VIT_08s0007g08010"	0.768789912921124	0.0721234950938286
"M10"	"VIT_08s0040g01890"	"VIT_08s0007g08010"	0.612772438853062	0.00746435411657322
"M10"	"VIT_02s0033g01120"	"VIT_13s0019g02180"	0.650974552389126	0.0136659590967239
"M10"	"VIT_18s0001g12830"	"VIT_13s0019g02180"	0.501519065481541	0.00100664067724375
"M10"	"VIT_17s0000g00430"	"VIT_13s0019g02180"	0.660308644983456	0.0157568656629372
"M10"	"VIT_08s0040g01890"	"VIT_13s0019g02180"	0.659578132745085	0.0155834096994264
"M10"	"VIT_08s0007g08010"	"VIT_13s0019g02180"	0.623075269372778	0.00881871158177923
"M10"	"VIT_02s0033g01120"	"VIT_05s0049g00770"	0.769498100565256	0.0727906372630223
"M10"	"VIT_18s0001g12830"	"VIT_05s0049g00770"	0.792780301976376	0.0980682686266288
"M10"	"VIT_17s0000g00430"	"VIT_05s0049g00770"	0.847538638150644	0.191247189791262
"M10"	"VIT_08s0040g01890"	"VIT_05s0049g00770"	0.772989767805715	0.0761618441424899
"M10"	"VIT_08s0007g08010"	"VIT_05s0049g00770"	0.665498446705316	0.0170400341791781
"M10"	"VIT_13s0019g02180"	"VIT_05s0049g00770"	0.718475618444573	0.0366539133510092
"M10"	"VIT_02s0033g01120"	"VIT_17s0000g05580"	0.957457973911791	0.647436536289032
"M10"	"VIT_18s0001g12830"	"VIT_17s0000g05580"	0.909139374721878	0.385748880333638
"M10"	"VIT_17s0000g00430"	"VIT_17s0000g05580"	0.958165101025879	0.652234078197819
"M10"	"VIT_08s0040g01890"	"VIT_17s0000g05580"	0.883743291470334	0.290577043516076
"M10"	"VIT_08s0007g08010"	"VIT_17s0000g05580"	0.726250595777644	0.0408192496093943
"M10"	"VIT_13s0019g02180"	"VIT_17s0000g05580"	0.707615658217035	0.0314756237121474
"M10"	"VIT_05s0049g00770"	"VIT_17s0000g05580"	0.839000118743188	0.172830434964329
"M10"	"VIT_02s0033g01120"	"VIT_16s0098g00790"	0.854327953098767	0.207131506799721
"M10"	"VIT_18s0001g12830"	"VIT_16s0098g00790"	0.762259312997382	0.0662258271334792
"M10"	"VIT_17s0000g00430"	"VIT_16s0098g00790"	0.911189036833553	0.394534383665416
"M10"	"VIT_08s0040g01890"	"VIT_16s0098g00790"	0.847933829767742	0.192140813582012
"M10"	"VIT_08s0007g08010"	"VIT_16s0098g00790"	0.680106090573596	0.0211722318488338
"M10"	"VIT_13s0019g02180"	"VIT_16s0098g00790"	0.76982612076851	0.0731015237151606
"M10"	"VIT_05s0049g00770"	"VIT_16s0098g00790"	0.850641792460792	0.198365965341027
"M10"	"VIT_17s0000g05580"	"VIT_16s0098g00790"	0.920835626290424	0.438350124301012
"M10"	"VIT_02s0033g01120"	"VIT_17s0000g01930"	0.893928295123907	0.325856839006649
"M10"	"VIT_18s0001g12830"	"VIT_17s0000g01930"	0.800851483609704	0.108522513670703
"M10"	"VIT_17s0000g00430"	"VIT_17s0000g01930"	0.948311640775489	0.588180763426735
"M10"	"VIT_08s0040g01890"	"VIT_17s0000g01930"	0.803204498123361	0.111753547830145
"M10"	"VIT_08s0007g08010"	"VIT_17s0000g01930"	0.798716799776681	0.105664278625119
"M10"	"VIT_13s0019g02180"	"VIT_17s0000g01930"	0.783094296404129	0.086724261110601
"M10"	"VIT_05s0049g00770"	"VIT_17s0000g01930"	0.85152391079915	0.20043265283208
"M10"	"VIT_17s0000g05580"	"VIT_17s0000g01930"	0.934049871250471	0.505476126893166
