"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M10"	"VIT_07s0005g01700"	1	8.93634243978552	0.235166906310145	0.97360499972166	0.97360499972166	1	0.064125071010002	TRUE	"M7"	TRUE	"Vitvi07g02230"	"Vitvi05_01chr07g06780"	TRUE	TRUE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.transcription factor (bHLH)"	"mapman:Cell wall organisation.cell surface reactive oxygen homeostasis.bHLH transcription factor *(UPBEAT)"	0	0	-1.09168267045852	-1.1866919596896	-0.973535665769651	TRUE	0.111111111111111	0	-2.271357472922	-1.47913690319975	-0.465321072734242	TRUE
"M10"	"VIT_17s0000g01930"	2	8.33108627342927	0.219239112458665	0.953132282483091	0.953132282483091	3	0.0516598578262052	TRUE	"M7"	TRUE	"Vitvi17g00162"	"Vitvi05_01chr17g02250"	TRUE	TRUE	FALSE	FALSE	"Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter (HAK/KUP/KT)"	"mapman:Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter *(HAK/KUP/KT)"	0	0	0.0956130038322502	0.78474449301071	0.39595347157378	TRUE	0	0	-1.04877894807843	-0.169866939581125	0.89680121069645	FALSE
"M10"	"VIT_17s0000g05580"	3	8.3017409353631	0.218466866720082	0.95536294078852	0.95536294078852	2	0.0894965671265537	TRUE	"M7"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0	-0.447497631477435	0.226842008140403	-0.117037446652672	FALSE	0	0	-0.455242494467597	-0.426642029939502	-0.775642080652746	TRUE
"M10"	"VIT_17s0000g00430"	4	7.50696262653218	0.197551648066636	0.926999311376452	0.926999311376452	8	0.0840515566242714	TRUE	"M1"	FALSE	"Vitvi17g00046"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.transcription factor (bHLH); External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception.transcriptional regulator (CIB)"	NA	0	0	-0.220803148941195	-0.0786703240916591	-0.269360175560257	TRUE	0	0	-0.500026837931232	0.048963244360591	0.178436701857349	FALSE
"M10"	"VIT_16s0100g00400"	9	6.45339461472526	0.169826174071717	0.924382390461053	0.924382390461053	12	0.0871914042809155	FALSE	"M7"	TRUE	"Vitvi16g00942"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily.transcription factor (DREB)"	NA	0	0	-0.912478705975783	-0.517824904347107	-0.120369248245642	TRUE	0	0	-0.939800481877255	-0.681929205142795	0.259165976628249	FALSE
"M10"	"VIT_03s0091g00260"	10	6.20683934711603	0.163337877555685	0.907986912746446	0.907986912746446	18	0.075412222981055	FALSE	"M1"	FALSE	"Vitvi03g00582"	"Vitvi05_01chr03g09350"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.transcription factor (C2H2-ZF)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.ZFP transcription factor"	0	0	-0.402666923304704	-0.306344395226061	-0.400383643569868	TRUE	0	0	-0.0697621226832483	0.440677025583866	0.364680923531003	FALSE
"M10"	"VIT_18s0001g15730"	25	2.97440527736147	0.0782738230884597	0.856056048901747	0.856056048901747	26	0.0702952642625288	FALSE	"M7"	TRUE	"Vitvi18g01254"	"Vitvi05_01chr18g18600"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.C2C2 transcription factor superfamily.transcription factor (DOF)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.DOF transcription factor"	0	0	-1.87853675899958	-2.39360591505885	-2.33605149444277	TRUE	0	0	-0.748673681745608	-0.874570449604075	-0.144915824086994	TRUE
"M10"	"VIT_16s0098g01170"	31	1.64670325711813	0.0433342962399508	-0.796989913148376	0.796989913148376	31	0.914024323206387	FALSE	"M7"	TRUE	"Vitvi16g01362"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.Homeobox  transcription factor superfamily.transcription factor (HD-ZIP I/II)"	NA	0	0	-0.189584614664317	-0.376248155493312	-0.286230189271821	TRUE	0	0	-0.274446064003538	-0.220518808450543	-0.139610796789291	TRUE
"M2"	"VIT_19s0014g05360"	1	61.4423469381533	0.288461722714335	0.99490592112654	0.99490592112654	2	0.39694357449574	TRUE	"M2"	TRUE	"Vitvi19g01988"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0.555555555555556	0	-7.04378210825112	-7.0249776868352	-7.3893519338052	TRUE	0.888888888888889	0	-6.92689339834248	-6.63679844869337	-6.8507683533964	TRUE
"M2"	"VIT_16s0039g01920"	2	61.1602932517387	0.287137527003468	0.994987677531149	0.994987677531149	1	0.390201383362218	TRUE	"M2"	TRUE	"Vitvi16g01449"	"Vitvi05_01chr16g02080"	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.MYB  transcription factor superfamily.transcription factor (MYB)"	NA	0.777777777777778	0	-4.14461132804304	-4.15428802121215	-4.37258714708066	TRUE	1	0	-3.87211041935618	-3.81352808762133	-3.58267578691198	TRUE
