"Module"	"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Fraction_kWithin_from_negative_correlations"	"Top_decile_kWithin"	"Beta7_module"	"In_best_matching_beta7_module"	"V3_gene"	"V5_gene"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_TF_label"	"V5_TF_label"	"V3_leaf_terms"	"V5_leaf_terms"	"Veraison_CS_exact_zero_fraction"	"Veraison_PN_exact_zero_fraction"	"Veraison_CS_minus_PN_2012"	"Veraison_CS_minus_PN_2013"	"Veraison_CS_minus_PN_2014"	"Veraison_same_direction_all_years"	"Harvest_CS_exact_zero_fraction"	"Harvest_PN_exact_zero_fraction"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"M10"	"VIT_07s0005g01700"	1	8.93634243978552	0.235166906310145	0.97360499972166	0.97360499972166	1	0.064125071010002	TRUE	"M7"	TRUE	"Vitvi07g02230"	"Vitvi05_01chr07g06780"	TRUE	TRUE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.transcription factor (bHLH)"	"mapman:Cell wall organisation.cell surface reactive oxygen homeostasis.bHLH transcription factor *(UPBEAT)"	0	0	-1.09168267045852	-1.1866919596896	-0.973535665769651	TRUE	0.111111111111111	0	-2.271357472922	-1.47913690319975	-0.465321072734242	TRUE
"M10"	"VIT_17s0000g01930"	2	8.33108627342927	0.219239112458665	0.953132282483091	0.953132282483091	3	0.0516598578262052	TRUE	"M7"	TRUE	"Vitvi17g00162"	"Vitvi05_01chr17g02250"	TRUE	TRUE	FALSE	FALSE	"Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter (HAK/KUP/KT)"	"mapman:Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter *(HAK/KUP/KT)"	0	0	0.0956130038322502	0.78474449301071	0.39595347157378	TRUE	0	0	-1.04877894807843	-0.169866939581125	0.89680121069645	FALSE
"M10"	"VIT_17s0000g05580"	3	8.3017409353631	0.218466866720082	0.95536294078852	0.95536294078852	2	0.0894965671265537	TRUE	"M7"	TRUE	NA	NA	FALSE	FALSE	FALSE	FALSE	NA	NA	0	0	-0.447497631477435	0.226842008140403	-0.117037446652672	FALSE	0	0	-0.455242494467597	-0.426642029939502	-0.775642080652746	TRUE
"M10"	"VIT_17s0000g00430"	4	7.50696262653218	0.197551648066636	0.926999311376452	0.926999311376452	8	0.0840515566242714	TRUE	"M1"	FALSE	"Vitvi17g00046"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.transcription factor (bHLH); External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception.transcriptional regulator (CIB)"	NA	0	0	-0.220803148941195	-0.0786703240916591	-0.269360175560257	TRUE	0	0	-0.500026837931232	0.048963244360591	0.178436701857349	FALSE
"M10"	"VIT_02s0025g01610"	5	7.17805586265227	0.188896206911902	0.933484779233269	0.933484779233269	5	0.0825451473522261	FALSE	"M7"	TRUE	"Vitvi02g00149"	"Vitvi05_01chr02g01860"	TRUE	TRUE	FALSE	FALSE	"Multi-process regulation.phosphoinositide lipid regulatory system.phosphatidylinositol 4/5-phosphate.phosphatidylinositol 4-kinase (PI4K-gamma)"	"mapman:Multi-process regulation.phosphoinositide signalling.phosphoinositide homeostasis.phosphatidylinositol 4-kinase *(PI4K-gamma)"	0	0	0.104185426055463	-0.148499797678689	-0.157264027259997	FALSE	0	0	0.215603737946831	0.619028178531381	0.822153283015471	TRUE
"M10"	"VIT_05s0102g00710"	6	6.9697262825646	0.183413849541174	-0.934429976018736	0.934429976018736	4	0.974490961623676	FALSE	"M7"	TRUE	"Vitvi05g01516"	"Vitvi05_01chr05g23320"	TRUE	TRUE	FALSE	FALSE	"Carbohydrate metabolism.sucrose metabolism.degradation.fructose kinase"	"mapman:Carbohydrate metabolism.sucrose metabolism.degradation.fructose kinase; mapman:Enzyme classification.EC_2 transferases.EC_2-7 transferase transferring phosphorus-containing group"	0	0	0.818775250813252	1.20478795140565	0.684571044469167	TRUE	0	0	0.52279700734077	0.110832915665241	0.474386503076916	TRUE
"M10"	"VIT_19s0015g01300"	7	6.69505015649454	0.176185530434067	0.930935677666457	0.930935677666457	6	0.047110802514241	FALSE	"M1"	FALSE	"Vitvi19g00760"	NA	TRUE	FALSE	FALSE	FALSE	"Solute transport.carrier-mediated transport.APC superfamily.AAAP family.amino acid transporter (AAP)"	NA	0	0	-1.14737533420095	-1.16467237447048	-1.13652053511959	TRUE	0	0	-2.40157538166163	-1.36842811473495	-0.600878036678367	TRUE
"M10"	"VIT_16s0098g00790"	8	6.64093979490214	0.174761573550056	0.925815266606467	0.925815266606467	10	0.0646125375990457	FALSE	"M7"	TRUE	"Vitvi16g02059"	NA	TRUE	FALSE	FALSE	FALSE	"not assigned.annotated"	NA	0	0	0.308337811868117	0.2516132814778	0.713897823132275	TRUE	0	0	0.232971933767066	0.128804883100036	0.709763139912784	TRUE
"M10"	"VIT_16s0100g00400"	9	6.45339461472526	0.169826174071717	0.924382390461053	0.924382390461053	12	0.0871914042809155	FALSE	"M7"	TRUE	"Vitvi16g00942"	NA	TRUE	FALSE	TRUE	FALSE	"RNA biosynthesis.transcriptional regulation.AP2/ERF  transcription factor superfamily.transcription factor (DREB)"	NA	0	0	-0.912478705975783	-0.517824904347107	-0.120369248245642	TRUE	0	0	-0.939800481877255	-0.681929205142795	0.259165976628249	FALSE
"M10"	"VIT_03s0091g00260"	10	6.20683934711603	0.163337877555685	0.907986912746446	0.907986912746446	18	0.075412222981055	FALSE	"M1"	FALSE	"Vitvi03g00582"	"Vitvi05_01chr03g09350"	TRUE	TRUE	TRUE	TRUE	"RNA biosynthesis.transcriptional regulation.transcription factor (C2H2-ZF)"	"mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.ZFP transcription factor"	0	0	-0.402666923304704	-0.306344395226061	-0.400383643569868	TRUE	0	0	-0.0697621226832483	0.440677025583866	0.364680923531003	FALSE
