"Module"	"Metric"	"Value"
"M10"	"Module_genes"	39
"M10"	"All_intramodular_pairs"	741
"M10"	"Frozen_adjacency_max_abs_error"	2.94209101525666e-15
"M10"	"V3_mapped"	37
"M10"	"V5_mapped"	21
"M10"	"V3_MapMan_annotated"	36
"M10"	"V5_MapMan_annotated"	10
"M10"	"V3_TF_labeled"	6
"M10"	"V5_TF_labeled"	2
"M10"	"Top_decile_genes"	4
"M10"	"Genes_in_best_matching_beta7_module"	34
"M10"	"Top_decile_in_best_matching_beta7_module"	3
"M10"	"Spearman_without_2012"	0.955870445344129
"M10"	"Top_decile_overlap_without_2012"	4
"M10"	"Spearman_without_2013"	0.933198380566802
"M10"	"Top_decile_overlap_without_2013"	4
"M10"	"Spearman_without_2014"	0.851214574898785
"M10"	"Top_decile_overlap_without_2014"	2
"M2"	"Module_genes"	214
"M2"	"All_intramodular_pairs"	22791
"M2"	"Frozen_adjacency_max_abs_error"	1.33226762955019e-14
"M2"	"V3_mapped"	158
"M2"	"V5_mapped"	81
"M2"	"V3_MapMan_annotated"	158
"M2"	"V5_MapMan_annotated"	40
"M2"	"V3_TF_labeled"	5
"M2"	"V5_TF_labeled"	3
"M2"	"Top_decile_genes"	22
"M2"	"Genes_in_best_matching_beta7_module"	203
"M2"	"Top_decile_in_best_matching_beta7_module"	22
"M2"	"Spearman_without_2012"	0.980305567375127
"M2"	"Top_decile_overlap_without_2012"	21
"M2"	"Spearman_without_2013"	0.983822255419061
"M2"	"Top_decile_overlap_without_2013"	20
"M2"	"Spearman_without_2014"	0.972320775336654
"M2"	"Top_decile_overlap_without_2014"	19
