"Module"	"Gene"	"Rank_primary"	"Rank_without_2012"	"Rank_without_2013"	"Rank_without_2014"
"M10"	"VIT_07s0005g01700"	1	1	3	1
"M10"	"VIT_17s0000g01930"	2	3	1	2
"M10"	"VIT_17s0000g05580"	3	2	2	5
"M10"	"VIT_17s0000g00430"	4	4	4	7
"M10"	"VIT_02s0025g01610"	5	5	5	12
"M10"	"VIT_05s0102g00710"	6	8	14	4
"M10"	"VIT_19s0015g01300"	7	11	7	13
"M10"	"VIT_16s0098g00790"	8	9	9	9
"M10"	"VIT_16s0100g00400"	9	6	15	11
"M10"	"VIT_03s0091g00260"	10	13	8	17
"M10"	"VIT_04s0023g03550"	11	12	6	20
"M10"	"VIT_00s0271g00110"	12	17	16	6
"M10"	"VIT_00s0274g00090"	13	7	17	16
"M10"	"VIT_15s0048g00740"	14	18	22	3
"M10"	"VIT_08s0040g02610"	15	15	12	8
"M10"	"VIT_02s0033g01120"	16	14	11	18
"M10"	"VIT_04s0023g03540"	17	10	18	19
"M10"	"VIT_12s0035g02080"	18	16	10	22
"M10"	"VIT_05s0049g00770"	19	21	13	25
"M10"	"VIT_18s0001g12830"	20	22	20	23
"M10"	"VIT_12s0059g00490"	21	19	24	21
"M10"	"VIT_13s0067g00700"	22	24	19	26
"M10"	"VIT_12s0142g00160"	23	20	25	24
"M10"	"VIT_05s0020g00840"	24	31	29	15
"M10"	"VIT_18s0001g15730"	25	27	27	27
"M10"	"VIT_08s0040g01890"	26	30	23	30
"M10"	"VIT_00s0274g00080"	27	28	30	14
"M10"	"VIT_05s0049g00840"	28	29	21	32
"M10"	"VIT_04s0023g02280"	29	23	32	31
"M10"	"VIT_17s0000g07470"	30	25	31	28
"M10"	"VIT_16s0098g01170"	31	26	33	33
"M10"	"VIT_08s0007g08010"	32	36	36	29
"M10"	"VIT_13s0019g02180"	33	33	26	38
"M10"	"VIT_14s0068g02190"	34	38	38	10
"M10"	"VIT_05s0049g00800"	35	35	28	37
"M10"	"VIT_11s0037g00890"	36	37	35	35
"M10"	"VIT_19s0014g00540"	37	34	39	34
"M10"	"VIT_09s0002g06400"	38	32	37	39
"M10"	"VIT_14s0030g02310"	39	39	34	36
"M2"	"VIT_19s0014g05360"	1	1	1	2
"M2"	"VIT_16s0039g01920"	2	2	2	3
"M2"	"VIT_19s0014g03420"	3	4	4	1
"M2"	"VIT_19s0014g05370"	4	3	5	5
"M2"	"VIT_19s0014g05380"	5	6	3	4
"M2"	"VIT_13s0067g02040"	6	5	11	6
"M2"	"VIT_14s0006g00070"	7	7	7	7
"M2"	"VIT_18s0117g00140"	8	9	8	9
"M2"	"VIT_19s0085g00660"	9	12	6	8
"M2"	"VIT_19s0085g00460"	10	11	12	10
"M2"	"VIT_09s0054g00030"	11	13	10	14
"M2"	"VIT_07s0005g00540"	12	18	13	11
"M2"	"VIT_07s0005g06200"	13	17	9	15
"M2"	"VIT_06s0004g06490"	14	8	17	12
"M2"	"VIT_00s0160g00160"	15	20	16	13
"M2"	"VIT_17s0000g00060"	16	22	14	17
"M2"	"VIT_19s0014g05330"	17	10	24	24
"M2"	"VIT_00s0160g00280"	18	14	22	20
"M2"	"VIT_07s0005g00530"	19	19	21	19
"M2"	"VIT_05s0165g00230"	20	16	23	27
"M2"	"VIT_14s0066g00170"	21	25	18	18
"M2"	"VIT_05s0051g00120"	22	21	19	31
"M2"	"VIT_16s0115g00470"	23	15	30	26
"M2"	"VIT_01s0010g04010"	24	26	15	28
"M2"	"VIT_00s0160g00130"	25	24	29	22
"M2"	"VIT_18s0086g00440"	26	28	28	21
"M2"	"VIT_18s0089g00660"	27	23	33	43
"M2"	"VIT_00s0238g00090"	28	29	25	35
"M2"	"VIT_00s0238g00060"	29	36	20	34
"M2"	"VIT_17s0053g00970"	30	33	32	30
"M2"	"VIT_12s0035g00730"	31	27	27	40
"M2"	"VIT_12s0028g00480"	32	34	35	25
"M2"	"VIT_12s0055g00160"	33	46	26	45
"M2"	"VIT_18s0117g00060"	34	49	36	42
"M2"	"VIT_13s0019g00110"	35	30	43	38
"M2"	"VIT_00s0841g00010"	36	32	40	29
