"Gene1"	"Gene2"	"Pearson_r"	"Beta10_unsigned_adjacency"	"Pair_group"
"VIT_05s0077g01580"	"VIT_03s0038g03860"	-0.778154741403586	0.0814066119200195	"other_other"
"VIT_05s0077g01580"	"VIT_09s0002g01000"	-0.711488944424659	0.0332415725954318	"other_other"
"VIT_03s0038g03860"	"VIT_09s0002g01000"	0.81161216535204	0.124018216366833	"other_other"
"VIT_05s0077g01580"	"VIT_00s1206g00010"	-0.74542893164726	0.0529739608414213	"other_other"
"VIT_03s0038g03860"	"VIT_00s1206g00010"	0.887137279774454	0.301931411939656	"other_other"
"VIT_09s0002g01000"	"VIT_00s1206g00010"	0.919178178280115	0.43052369054122	"other_other"
"VIT_05s0077g01580"	"VIT_14s0030g00340"	-0.41619179737999	0.000155931969967421	"other_other"
"VIT_03s0038g03860"	"VIT_14s0030g00340"	0.663659758413279	0.0165750499619679	"other_other"
"VIT_09s0002g01000"	"VIT_14s0030g00340"	0.781345935031616	0.0848073651900388	"other_other"
"VIT_00s1206g00010"	"VIT_14s0030g00340"	0.689796895384852	0.0243900310824159	"other_other"
"VIT_05s0077g01580"	"VIT_02s0025g03260"	-0.841928221747931	0.178957817553528	"other_other"
"VIT_03s0038g03860"	"VIT_02s0025g03260"	0.859476844965181	0.219959036775657	"other_other"
"VIT_09s0002g01000"	"VIT_02s0025g03260"	0.850006512811792	0.196889489636639	"other_other"
"VIT_00s1206g00010"	"VIT_02s0025g03260"	0.868780685361136	0.244963608922725	"other_other"
"VIT_14s0030g00340"	"VIT_02s0025g03260"	0.644800366741155	0.0124237515586372	"other_other"
"VIT_05s0077g01580"	"VIT_10s0116g00530"	-0.728082538378955	0.0418606680400586	"other_other"
"VIT_03s0038g03860"	"VIT_10s0116g00530"	0.834037541973076	0.162875588099384	"other_other"
"VIT_09s0002g01000"	"VIT_10s0116g00530"	0.892057835228768	0.319102437187272	"other_other"
"VIT_00s1206g00010"	"VIT_10s0116g00530"	0.876128231380056	0.266487441837571	"other_other"
"VIT_14s0030g00340"	"VIT_10s0116g00530"	0.803265813817953	0.111838888497681	"other_other"
"VIT_02s0025g03260"	"VIT_10s0116g00530"	0.841716589433703	0.178508486547085	"other_other"
"VIT_05s0077g01580"	"VIT_08s0007g01560"	0.530032165284884	0.00174993637192583	"other_other"
"VIT_03s0038g03860"	"VIT_08s0007g01560"	-0.693650869983241	0.0257875066565207	"other_other"
"VIT_09s0002g01000"	"VIT_08s0007g01560"	-0.645155750602173	0.0124923955556337	"other_other"
"VIT_00s1206g00010"	"VIT_08s0007g01560"	-0.649977961422629	0.0134581794300745	"other_other"
"VIT_14s0030g00340"	"VIT_08s0007g01560"	-0.811740234357313	0.124214050943646	"other_other"
"VIT_02s0025g03260"	"VIT_08s0007g01560"	-0.617487277952938	0.0080589812037239	"other_other"
"VIT_10s0116g00530"	"VIT_08s0007g01560"	-0.73925106061166	0.0487438201671991	"other_other"
"VIT_05s0077g01580"	"VIT_02s0012g01660"	-0.734100297691967	0.0454521050609615	"other_other"
"VIT_03s0038g03860"	"VIT_02s0012g01660"	0.761345258633654	0.065435959450927	"other_other"
"VIT_09s0002g01000"	"VIT_02s0012g01660"	0.830066785220769	0.155285305550145	"other_other"
"VIT_00s1206g00010"	"VIT_02s0012g01660"	0.839902557802953	0.174698444644227	"other_other"
"VIT_14s0030g00340"	"VIT_02s0012g01660"	0.631907258108247	0.010151575224257	"other_other"
"VIT_02s0025g03260"	"VIT_02s0012g01660"	0.907855755082234	0.380336941712702	"other_other"
"VIT_10s0116g00530"	"VIT_02s0012g01660"	0.758462981426686	0.0630004844087384	"other_other"
"VIT_08s0007g01560"	"VIT_02s0012g01660"	-0.536357812804225	0.0019703623989497	"other_other"
"VIT_05s0077g01580"	"VIT_05s0062g00610"	-0.41378450829497	0.000147143902662633	"other_other"
"VIT_03s0038g03860"	"VIT_05s0062g00610"	0.709152884884186	0.0321661245883209	"other_other"
"VIT_09s0002g01000"	"VIT_05s0062g00610"	0.617026205682754	0.00799900730120081	"other_other"
"VIT_00s1206g00010"	"VIT_05s0062g00610"	0.54515230677765	0.00231834754113678	"other_other"
"VIT_14s0030g00340"	"VIT_05s0062g00610"	0.755042700752878	0.0602164480575756	"other_other"
"VIT_02s0025g03260"	"VIT_05s0062g00610"	0.538054763536941	0.00203359659805572	"other_other"
"VIT_10s0116g00530"	"VIT_05s0062g00610"	0.695769108083535	0.0265859034420464	"other_other"
"VIT_08s0007g01560"	"VIT_05s0062g00610"	-0.677860586085937	0.0204834840372126	"other_other"
"VIT_02s0012g01660"	"VIT_05s0062g00610"	0.391005521354213	8.35273880023519e-05	"other_other"
"VIT_05s0077g01580"	"VIT_04s0044g00040"	0.83540097953571	0.165557859033937	"other_other"
"VIT_03s0038g03860"	"VIT_04s0044g00040"	-0.818492401018497	0.134941805685567	"other_other"
