"SampleName"	"Cultivar"	"Stage"	"Year"	"M5_original_PC1"	"M5_without_v3_stilbenoid_genes_PC1"
"GSM2627691"	"Cabernet Sauvignon"	"FruitSet"	2012	-5.17340835894435	-4.42882511528038
"GSM2627692"	"Cabernet Sauvignon"	"FruitSet"	2012	2.20251596029912	1.2626091421803
"GSM2627693"	"Cabernet Sauvignon"	"FruitSet"	2012	-4.70918350407178	-4.01862784764726
"GSM2627709"	"Cabernet Sauvignon"	"Veraison"	2012	-6.97363896078825	-6.42137715356721
"GSM2627711"	"Cabernet Sauvignon"	"Veraison"	2012	-6.45082037472734	-6.0400125303425
"GSM2627713"	"Cabernet Sauvignon"	"Veraison"	2012	-7.15762199814107	-6.68244631112238
"GSM2627739"	"Cabernet Sauvignon"	"Harvest"	2012	-2.91180051006465	-2.70421763320175
"GSM2627740"	"Cabernet Sauvignon"	"Harvest"	2012	-4.24362542890255	-3.94119190644147
"GSM2627741"	"Cabernet Sauvignon"	"Harvest"	2012	-0.129690255584347	-0.771703765434862
"GSM2627742"	"Cabernet Sauvignon"	"FruitSet"	2013	-3.70894896898065	-3.12536272814143
"GSM2627743"	"Cabernet Sauvignon"	"FruitSet"	2013	-2.25617769261933	-2.0526678154626
"GSM2627744"	"Cabernet Sauvignon"	"FruitSet"	2013	-0.971514650083735	-0.209140049582934
"GSM2627754"	"Cabernet Sauvignon"	"Veraison"	2013	-4.8882075738414	-4.49570854732919
"GSM2627755"	"Cabernet Sauvignon"	"Veraison"	2013	-6.38135276512267	-5.86005079988361
"GSM2627756"	"Cabernet Sauvignon"	"Veraison"	2013	-4.80945060571116	-4.48060998131404
"GSM2627781"	"Cabernet Sauvignon"	"Harvest"	2013	-1.05400395531243	-1.18702320620287
"GSM2627782"	"Cabernet Sauvignon"	"Harvest"	2013	-0.0939422218686623	-0.409178791958918
"GSM2627783"	"Cabernet Sauvignon"	"Harvest"	2013	-1.61247656953552	-1.46843672272641
"GSM2627784"	"Cabernet Sauvignon"	"FruitSet"	2014	-6.0233439424515	-5.38765841630854
"GSM2627785"	"Cabernet Sauvignon"	"FruitSet"	2014	-6.35400816752884	-5.70161696694799
"GSM2627786"	"Cabernet Sauvignon"	"FruitSet"	2014	-5.94186860090651	-5.22445538991263
"GSM2627793"	"Cabernet Sauvignon"	"Veraison"	2014	-5.79645596040762	-5.21348057392337
"GSM2627794"	"Cabernet Sauvignon"	"Veraison"	2014	-6.64434016790001	-6.05012475029297
"GSM2627795"	"Cabernet Sauvignon"	"Veraison"	2014	-5.97687931508704	-5.37051766109952
"GSM2627820"	"Cabernet Sauvignon"	"Harvest"	2014	-3.93970576578713	-3.24222836843864
"GSM2627821"	"Cabernet Sauvignon"	"Harvest"	2014	-3.53973368443312	-2.95974682840505
"GSM2627822"	"Cabernet Sauvignon"	"Harvest"	2014	-3.23408476929745	-2.69403839813867
"GSM2627823"	"Pinot noir"	"FruitSet"	2012	0.399004495660182	-0.54184532721869
"GSM2627824"	"Pinot noir"	"FruitSet"	2012	-3.81734704811592	-3.25749328256643
"GSM2627825"	"Pinot noir"	"FruitSet"	2012	-3.65237987261136	-3.27512257202124
"GSM2627835"	"Pinot noir"	"Veraison"	2012	-4.47248713216939	-3.92208382558338
"GSM2627836"	"Pinot noir"	"Veraison"	2012	-5.15700236630741	-4.73935739729515
"GSM2627837"	"Pinot noir"	"Veraison"	2012	3.5305364073844	3.35956492060674
"GSM2627850"	"Pinot noir"	"Harvest"	2012	22.3643273061345	19.8100712219207
"GSM2627851"	"Pinot noir"	"Harvest"	2012	23.659599473007	20.6357574044326
"GSM2627852"	"Pinot noir"	"Harvest"	2012	21.7784370822934	18.911781718636
"GSM2627853"	"Pinot noir"	"FruitSet"	2013	-4.06368250394309	-3.50775608950797
"GSM2627854"	"Pinot noir"	"FruitSet"	2013	-4.61359340609963	-3.89566256238452
"GSM2627855"	"Pinot noir"	"FruitSet"	2013	-3.89986936066777	-3.51096845538515
"GSM2627862"	"Pinot noir"	"Veraison"	2013	-5.20569291575624	-4.62724056785348
"GSM2627863"	"Pinot noir"	"Veraison"	2013	-4.0358497559624	-3.47529147157976
"GSM2627864"	"Pinot noir"	"Veraison"	2013	-3.98125708159714	-3.74336780107152
"GSM2627883"	"Pinot noir"	"Harvest"	2013	18.6406967132022	16.705923441824
"GSM2627884"	"Pinot noir"	"Harvest"	2013	20.3494568586327	18.3987287546331
"GSM2627885"	"Pinot noir"	"Harvest"	2013	21.0190766996542	18.6843749925813
"GSM2627886"	"Pinot noir"	"FruitSet"	2014	-6.44579370430383	-5.80979411281978
"GSM2627887"	"Pinot noir"	"FruitSet"	2014	-5.76671530561685	-5.00438056624815
"GSM2627888"	"Pinot noir"	"FruitSet"	2014	-6.16450270533301	-5.47829082505842
"GSM2627895"	"Pinot noir"	"Veraison"	2014	-4.52742581001281	-4.23405361010966
"GSM2627896"	"Pinot noir"	"Veraison"	2014	-4.45665668962371	-4.06421688109585
"GSM2627897"	"Pinot noir"	"Veraison"	2014	-4.65084905092883	-3.96628966042206
"GSM2627919"	"Pinot noir"	"Harvest"	2014	16.2273136419211	15.6122684513275
"GSM2627920"	"Pinot noir"	"Harvest"	2014	18.2676016819511	17.2210380176614
"GSM2627921"	"Pinot noir"	"Harvest"	2014	17.4488231570088	16.5915452015248
