"Metric"	"Value"
"M5_genes"	108
"Frozen_adjacency_max_abs_error_vs_abs_cor_power10"	7.7715611723761e-15
"V3_stilbenoid_labeled_genes"	18
"V5_CHS_labeled_genes"	16
"V3_STS_and_V5_CHS_overlap"	16
"V3_PAL_labeled_genes"	7
"V5_PAL_labeled_genes"	6
"V3_TF_labeled_genes"	4
"V5_TF_labeled_genes"	4
"Top_decile_genes"	11
"Top_decile_v3_stilbenoid_labeled"	8
"V5_CHS_cluster_min_start_chr16"	21022017
"V5_CHS_cluster_max_end_chr16"	21516175
"V5_CHS_cluster_span_bp"	494159
"Mean_adjacency_family_family"	0.606286311840767
"Mean_adjacency_family_other"	0.266605761569427
"Mean_adjacency_other_other"	0.177368551060944
"Original_vs_without_family_PC1_r"	0.999096645758239
"Spearman_without_2012"	0.924881153124315
"Spearman_without_2013"	0.938952242133242
"Spearman_without_2014"	0.930911619842427
"Spearman_without_GSM2627837"	0.996722779540236
"Top11_overlap_without_2012"	8
"Top11_overlap_without_2013"	6
"Top11_overlap_without_2014"	7
"Top11_overlap_without_GSM2627837"	10
