"Gene"	"Rank_primary"	"Rank_without_2012"	"Rank_without_2013"	"Rank_without_2014"	"Rank_without_GSM2627837"
"VIT_16s0100g00780"	1	6	1	1	1
"VIT_16s0100g00750"	2	5	3	5	2
"VIT_16s0100g00770"	3	13	2	10	5
"VIT_16s0100g01100"	4	1	4	8	4
"VIT_05s0020g03280"	5	2	5	12	7
"VIT_16s0100g00910"	6	8	13	3	9
"VIT_12s0028g00860"	7	3	7	14	6
"VIT_16s0100g01140"	8	10	18	4	3
"VIT_06s0004g02010"	9	7	14	16	10
"VIT_16s0100g01150"	10	17	16	13	11
"VIT_16s0100g01070"	11	19	22	2	13
"VIT_03s0088g00690"	12	14	9	20	12
"VIT_16s0100g01200"	13	18	24	11	14
"VIT_05s0077g01530"	14	11	15	30	8
"VIT_06s0004g01990"	15	9	17	27	15
"VIT_03s0088g00700"	16	26	12	18	16
"VIT_01s0146g00320"	17	35	6	26	17
"VIT_13s0019g05070"	18	28	21	25	18
"VIT_16s0100g00830"	19	27	28	17	23
"VIT_06s0004g01030"	20	30	10	33	22
"VIT_11s0016g05540"	21	25	8	34	21
"VIT_00s0324g00050"	22	20	25	31	20
"VIT_18s0117g00550"	23	12	27	32	19
"VIT_12s0028g02530"	24	37	19	38	27
"VIT_12s0028g02970"	25	4	33	37	24
"VIT_06s0004g01020"	26	29	26	43	29
"VIT_16s0100g01160"	27	44	42	9	32
"VIT_16s0039g01240"	28	40	43	19	31
"VIT_12s0035g01000"	29	16	32	42	28
"VIT_16s0039g01170"	30	39	44	24	34
"VIT_02s0025g04250"	31	24	31	49	25
"VIT_16s0100g01130"	32	53	46	7	37
"VIT_16s0039g01320"	33	38	48	29	33
"VIT_15s0046g01570"	34	34	36	41	30
"VIT_17s0000g00680"	35	33	39	36	26
"VIT_16s0039g01120"	36	52	37	28	38
"VIT_03s0088g00710"	37	48	20	51	36
"VIT_16s0100g01010"	38	15	55	40	40
"VIT_16s0100g00990"	39	23	56	35	41
"VIT_14s0006g03050"	40	43	40	39	39
"VIT_05s0077g01540"	41	32	34	56	35
"VIT_00s0270g00120"	42	31	38	53	42
"VIT_02s0025g03260"	43	59	23	45	45
"VIT_16s0100g01000"	44	22	49	47	46
"VIT_02s0033g00700"	45	61	35	21	44
"VIT_03s0038g03400"	46	42	47	50	43
"VIT_16s0039g01280"	47	54	61	22	47
"VIT_16s0100g01020"	48	21	51	54	49
"VIT_16s0100g01030"	49	58	29	59	51
"VIT_01s0026g02400"	50	36	58	44	48
"VIT_16s0039g01300"	51	62	65	15	52
"VIT_05s0020g05000"	52	45	54	46	50
"VIT_02s0025g04260"	53	65	30	60	53
"VIT_14s0030g01890"	54	55	59	55	54
"VIT_16s0100g00950"	55	41	66	62	57
"VIT_16s0039g01100"	56	72	57	48	58
"VIT_06s0004g01010"	57	60	45	66	56
"VIT_05s0020g03140"	58	64	63	58	55
"VIT_07s0151g01070"	59	81	11	64	60
"VIT_16s0100g01190"	60	83	79	6	63
"VIT_11s0016g03190"	61	71	68	52	61
"VIT_16s0100g00900"	62	46	71	63	66
"VIT_05s0077g01570"	63	75	41	72	59
"VIT_10s0116g00530"	64	49	73	68	64
"VIT_16s0100g00880"	65	50	69	61	67
"VIT_09s0002g01000"	66	57	72	67	62
"VIT_00s1206g00010"	67	63	60	69	69
"VIT_12s0059g01720"	68	70	70	65	70
"VIT_13s0019g00480"	69	77	53	74	65
"VIT_01s0011g01810"	70	79	50	73	72
"VIT_05s0077g01560"	71	82	52	78	68
"VIT_00s2849g00010"	72	93	85	23	74
"VIT_06s0061g01210"	73	74	77	75	76
"VIT_05s0077g01550"	74	85	64	77	73
"VIT_08s0007g01810"	75	76	82	76	75
"VIT_18s0001g08760"	76	51	86	84	77
"VIT_18s0001g15220"	77	73	80	81	79
"VIT_11s0065g00350"	78	68	83	80	81
"VIT_02s0025g04270"	79	84	67	86	71
"VIT_03s0038g03860"	80	69	90	70	80
"VIT_15s0048g00510"	81	67	93	79	78
"VIT_02s0012g01660"	82	90	84	71	84
"VIT_12s0028g00920"	83	80	89	83	82
"VIT_18s0001g02760"	84	87	75	87	83
"VIT_08s0040g01710"	85	56	94	90	85
"VIT_05s0077g01580"	86	66	81	91	86
"VIT_04s0044g00040"	87	88	87	82	89
"VIT_18s0001g15130"	88	94	76	85	87
"VIT_16s0100g00960"	89	95	95	57	90
"VIT_06s0004g07550"	90	92	78	88	88
"VIT_07s0005g03340"	91	91	88	89	92
"VIT_02s0025g04230"	92	98	74	93	91
"VIT_07s0031g01710"	93	101	62	94	93
"VIT_12s0059g00310"	94	86	96	96	94
"VIT_05s0049g01550"	95	96	91	95	95
"VIT_03s0091g00160"	96	78	97	97	96
"VIT_14s0030g00340"	97	47	105	99	99
"VIT_08s0007g01560"	98	89	101	98	98
"VIT_18s0001g13670"	99	100	103	92	97
"VIT_02s0033g01380"	100	97	100	100	100
"VIT_08s0007g06060"	101	103	92	102	101
"VIT_12s0059g00370"	102	99	104	103	104
"VIT_18s0166g00060"	103	105	99	101	103
"VIT_08s0040g00920"	104	104	98	106	102
"VIT_16s0039g02610"	105	106	106	104	105
"VIT_10s0042g00400"	106	107	107	105	106
"VIT_05s0062g00610"	107	102	108	107	107
"VIT_16s0050g00400"	108	108	102	108	108
