Stage	contrast	estimate	SE	df	t.ratio	p.value	Module	FDR_global	FDR_within_stage
FruitSet	Cabernet Sauvignon - Pinot noir	3.62116394547799	2.32247650891976	46	1.55918216247633	0.125807481081737	M1	0.290324956342469	0.419358270272456
Veraison	Cabernet Sauvignon - Pinot noir	4.21327815506082	2.32247650891976	46	1.81413165596259	0.0761827967190956	M1	0.190456991797739	0.152365593438191
Harvest	Cabernet Sauvignon - Pinot noir	-4.38398449722518	2.32247650891976	46	-1.88763351551154	0.0653932097179108	M1	0.178345117412484	0.130786419435822
FruitSet	Cabernet Sauvignon - Pinot noir	0.0942854542497951	0.546594234350858	46	0.172496247352059	0.863804133525899	M10	0.893590482957827	0.959018799821578
Veraison	Cabernet Sauvignon - Pinot noir	-2.12795776170213	0.546594234350858	46	-3.89312149300169	0.00031783655655858	M10	0.00136215667096534	0.0015891827827929
Harvest	Cabernet Sauvignon - Pinot noir	-3.35570396732055	0.546594234350858	46	-6.13929631238396	1.78980086629791e-07	M10	1.07388051977875e-06	5.9660028876597e-07
FruitSet	Cabernet Sauvignon - Pinot noir	-15.558314518457	2.10624651669351	46	-7.3867490795338	2.40371504935292e-09	M2	1.80278628701469e-08	2.40371504935292e-08
Veraison	Cabernet Sauvignon - Pinot noir	-25.3672106045273	2.10624651669351	46	-12.0437994334823	7.98132402911435e-16	M2	1.19719860436715e-14	7.98132402911435e-15
Harvest	Cabernet Sauvignon - Pinot noir	-21.8322539629782	2.10624651669351	46	-10.3654789645666	1.28359518659909e-13	M2	1.28359518659909e-12	6.41797593299545e-13
FruitSet	Cabernet Sauvignon - Pinot noir	-0.0831058007900158	1.60853028615736	46	-0.0516656736308948	0.959018799821578	M3	0.959018799821578	0.959018799821578
Veraison	Cabernet Sauvignon - Pinot noir	-1.05103581447148	1.60853028615736	46	-0.653413755100825	0.516742545687445	M3	0.760084074647408	0.574158384097161
Harvest	Cabernet Sauvignon - Pinot noir	-6.98856550680425	1.60853028615736	46	-4.34469003595782	7.61864201088991e-05	M3	0.000380932100544496	0.000190466050272248
FruitSet	Cabernet Sauvignon - Pinot noir	1.19222338752057	1.01779795080698	46	1.17137530742255	0.247479860547363	M4	0.436729165671818	0.618699651368408
Veraison	Cabernet Sauvignon - Pinot noir	1.3301010591885	1.01779795080698	46	1.30684195044203	0.197762124632702	M4	0.42377598135579	0.329603541054503
Harvest	Cabernet Sauvignon - Pinot noir	0.424496674679493	1.01779795080698	46	0.417073618926942	0.678564640278604	M4	0.814277568334325	0.753960711420671
FruitSet	Cabernet Sauvignon - Pinot noir	0.565437942860406	0.898063729519484	46	0.629618950498032	0.532058852253185	M5	0.760084074647408	0.886764753755309
Veraison	Cabernet Sauvignon - Pinot noir	-2.45800925852811	0.898063729519485	46	-2.73700983319222	0.00878398297347881	M5	0.0292799432449294	0.0292799432449294
Harvest	Cabernet Sauvignon - Pinot noir	-22.2793773082878	0.898063729519484	46	-24.8082364045685	2.85232703663658e-28	M5	8.55698110990973e-27	2.85232703663658e-27
FruitSet	Cabernet Sauvignon - Pinot noir	6.14610615823452	1.91248996323887	46	3.2136671440753	0.00239643563853233	M6	0.00898663364449625	0.0119821781926617
Veraison	Cabernet Sauvignon - Pinot noir	2.26392183888608	1.91248996323887	46	1.18375619344535	0.242590823223999	M6	0.436729165671818	0.346558318891428
Harvest	Cabernet Sauvignon - Pinot noir	-0.430583263393571	1.91248996323887	46	-0.225142757175239	0.822865437911229	M6	0.893590482957827	0.822865437911229
FruitSet	Cabernet Sauvignon - Pinot noir	-0.368397893087594	1.99883222926012	46	-0.184306560448027	0.854583093372854	M7	0.893590482957827	0.959018799821578
Veraison	Cabernet Sauvignon - Pinot noir	-4.34916294825365	1.99883222926012	46	-2.17585192223137	0.0347398946552345	M7	0.104219683965704	0.0868497366380863
Harvest	Cabernet Sauvignon - Pinot noir	-2.45469398977727	1.99883222926012	46	-1.22806404351699	0.225669716586154	M7	0.436729165671818	0.376116194310257
FruitSet	Cabernet Sauvignon - Pinot noir	-0.4685469938963	2.15082883455954	46	-0.217844854210471	0.828513483290012	M8	0.893590482957827	0.959018799821578
Veraison	Cabernet Sauvignon - Pinot noir	-1.12398413513594	2.15082883455954	46	-0.522581861036896	0.603773198940366	M8	0.787530259487434	0.603773198940366
Harvest	Cabernet Sauvignon - Pinot noir	-1.04035691833516	2.15082883455954	46	-0.483700470078651	0.630893175813974	M8	0.788616469767467	0.753960711420671
FruitSet	Cabernet Sauvignon - Pinot noir	-1.80908128178672	2.38552553322327	46	-0.758357542852339	0.452105072097622	M9	0.713850113838351	0.886764753755309
Veraison	Cabernet Sauvignon - Pinot noir	2.27700181857419	2.38552553322327	46	0.95450741853832	0.34481617733276	M9	0.574693628887934	0.431020221665951
Harvest	Cabernet Sauvignon - Pinot noir	1.32870030008017	2.38552553322327	46	0.556984312921966	0.580238237811316	M9	0.787530259487434	0.753960711420671
