Module	N	R_squared	Adjusted_R_squared	Residual_SD	Max_abs_standardized_residual
M1	54	0.986701174001657	0.984677439610605	4.58985079471023	2.54746714690222
M10	54	0.960335210965526	0.954299264808106	1.08022017500888	2.13914563961431
M2	54	0.88094298640377	0.862825614769561	4.16252100349461	3.30873427805504
M3	54	0.884462882419291	0.86688114713527	3.17889717458059	3.08412751603496
M4	54	0.951119224171044	0.94368084524055	2.01144800191702	2.08519462701152
M5	54	0.963787375047484	0.958276758206884	1.77482032942183	3.48749046048807
M6	54	0.718271955549631	0.675400296611532	3.7796048932827	2.36359538185704
M7	54	0.624351864013414	0.567188017232847	3.95024090048996	2.28655500021778
M8	54	0.471766305607896	0.391382917330836	4.25062789555639	2.83430739833475
M9	54	0.254998381252336	0.141628569703778	4.71445296536459	3.97701015523591
