Module	Stage	Estimate	SE	df	p_value	FDR_global_reported	FDR_within_stage_reported	FDR_global_recomputed	FDR_within_stage_recomputed
M1	FruitSet	3.62116394547796	2.32247650891975	46	0.125807481081739	0.290324956342469	0.419358270272456	0.290324956342474	0.419358270272462
M1	Veraison	4.21327815506084	2.32247650891975	46	0.0761827967190932	0.190456991797739	0.152365593438191	0.190456991797733	0.152365593438186
M1	Harvest	-4.38398449722519	2.32247650891975	46	0.0653932097179097	0.178345117412484	0.130786419435822	0.178345117412481	0.130786419435819
M10	FruitSet	0.0942854542497948	0.546594234350857	46	0.863804133525899	0.893590482957827	0.959018799821578	0.893590482957827	0.959018799821576
M10	Veraison	-2.12795776170213	0.546594234350858	46	0.000317836556558577	0.00136215667096534	0.0015891827827929	0.00136215667096533	0.00158918278279289
M10	Harvest	-3.35570396732055	0.546594234350858	46	1.78980086629789e-07	1.07388051977875e-06	5.9660028876597e-07	1.07388051977873e-06	5.96600288765963e-07
M2	FruitSet	-15.5583145184571	2.1062465166935	46	2.40371504935272e-09	1.80278628701469e-08	2.40371504935292e-08	1.80278628701454e-08	2.40371504935272e-08
M2	Veraison	-25.3672106045272	2.1062465166935	46	7.98132402911418e-16	1.19719860436715e-14	7.98132402911435e-15	1.19719860436713e-14	7.98132402911418e-15
M2	Harvest	-21.8322539629782	2.1062465166935	46	1.28359518659903e-13	1.28359518659909e-12	6.41797593299545e-13	1.28359518659903e-12	6.41797593299515e-13
M3	FruitSet	-0.08310580079002	1.60853028615736	46	0.959018799821576	0.959018799821578	0.959018799821578	0.959018799821576	0.959018799821576
M3	Veraison	-1.0510358144715	1.60853028615736	46	0.516742545687437	0.760084074647408	0.574158384097161	0.760084074647404	0.574158384097152
M3	Harvest	-6.98856550680428	1.60853028615736	46	7.6186420108896e-05	0.000380932100544496	0.000190466050272248	0.00038093210054448	0.00019046605027224
M4	FruitSet	1.19222338752056	1.01779795080698	46	0.247479860547365	0.436729165671818	0.618699651368408	0.436729165671821	0.618699651368413
M4	Veraison	1.33010105918852	1.01779795080698	46	0.197762124632697	0.42377598135579	0.329603541054503	0.42377598135578	0.329603541054495
M4	Harvest	0.424496674679495	1.01779795080698	46	0.678564640278603	0.814277568334325	0.753960711420671	0.814277568334324	0.75396071142067
M5	FruitSet	0.565437942860409	0.898063729519483	46	0.532058852253183	0.760084074647408	0.886764753755309	0.760084074647404	0.886764753755305
M5	Veraison	-2.45800925852813	0.898063729519484	46	0.00878398297347816	0.0292799432449294	0.0292799432449294	0.0292799432449272	0.0292799432449272
M5	Harvest	-22.2793773082879	0.898063729519484	46	2.85232703663633e-28	8.55698110990973e-27	2.85232703663658e-27	8.55698110990899e-27	2.85232703663633e-27
M6	FruitSet	6.14610615823452	1.91248996323887	46	0.00239643563853233	0.00898663364449625	0.0119821781926617	0.00898663364449625	0.0119821781926617
M6	Veraison	2.26392183888608	1.91248996323887	46	0.242590823224001	0.436729165671818	0.346558318891428	0.436729165671821	0.34655831889143
M6	Harvest	-0.430583263393577	1.91248996323887	46	0.822865437911227	0.893590482957827	0.822865437911229	0.893590482957827	0.822865437911227
M7	FruitSet	-0.36839789308759	1.99883222926012	46	0.854583093372856	0.893590482957827	0.959018799821578	0.893590482957827	0.959018799821576
M7	Veraison	-4.34916294825365	1.99883222926012	46	0.0347398946552347	0.104219683965704	0.0868497366380863	0.104219683965704	0.0868497366380867
M7	Harvest	-2.45469398977728	1.99883222926012	46	0.225669716586154	0.436729165671818	0.376116194310257	0.436729165671821	0.376116194310256
M8	FruitSet	-0.4685469938963	2.15082883455953	46	0.828513483290012	0.893590482957827	0.959018799821578	0.893590482957827	0.959018799821576
M8	Veraison	-1.12398413513595	2.15082883455953	46	0.603773198940362	0.787530259487434	0.603773198940366	0.787530259487428	0.603773198940362
M8	Harvest	-1.04035691833517	2.15082883455953	46	0.630893175813972	0.788616469767467	0.753960711420671	0.788616469767465	0.75396071142067
M9	FruitSet	-1.80908128178671	2.38552553322327	46	0.452105072097624	0.713850113838351	0.886764753755309	0.713850113838354	0.886764753755305
M9	Veraison	2.2770018185742	2.38552553322327	46	0.344816177332759	0.574693628887934	0.431020221665951	0.574693628887932	0.431020221665949
M9	Harvest	1.32870030008017	2.38552553322327	46	0.580238237811316	0.787530259487434	0.753960711420671	0.787530259487428	0.75396071142067
