Module	Genes_used_for_PCA	PC1_variance_percent	Correlation_PC1_with_module_mean	R_squared	Adjusted_R_squared	Shapiro_W	Shapiro_p	Max_abs_standardized_residual	N_abs_standardized_residual_over_3	Max_Cooks_D	N_Cooks_D_over_4_per_N	Shapiro_FDR
M1	2167	73.101	0.994660065171568	0.986701174001657	0.984677439610605	0.983530796555306	0.661672086922343	2.54746714690222	0	0.141078018794482	5	0.661672086922343
M10	39	75.432	0.996285757812133	0.960335210965526	0.954299264808106	0.980561821821721	0.524699654020837	2.13914563961431	0	0.0994770449452371	3	0.582999615578708
M2	214	68.006	0.778190982862904	0.88094298640377	0.862825614769561	0.820049062928668	1.26558336513496e-06	3.30873427805504	2	0.237993967886443	3	6.32791682567481e-06
M3	131	66.767	0.999257909074947	0.884462882419291	0.86688114713527	0.880214151101815	6.31059439407742e-05	3.08412751603496	3	0.206779185547043	3	0.000210353146469247
M4	122	67.845	0.995535830824272	0.951119224171044	0.94368084524055	0.966283919988095	0.131808067357764	2.08519462701152	0	0.0945225354895154	2	0.179769432509961
M5	108	80.542	0.998901017293474	0.963787375047484	0.958276758206884	0.934806632831744	0.00569539083224192	3.48749046048808	1	0.264404124173812	3	0.0142384770806048
M6	68	74.568	0.992838524709477	0.718271955549631	0.675400296611532	0.967131640938758	0.143815546007969	2.36359538185704	0	0.121447459329042	5	0.179769432509961
M7	54	76.926	0.994862816242037	0.624351864013414	0.567188017232847	0.963982439219997	0.103953001956486	2.28655500021778	0	0.113659429761325	4	0.17325500326081
M8	48	71.259	0.998729094073713	0.471766305607895	0.391382917330836	0.939072318346491	0.00852779961055733	2.83430739833475	0	0.174636922353372	3	0.0170555992211147
M9	42	71.032	0.998517388815306	0.254998381252336	0.141628569703778	0.798128834977097	3.67556614868142e-07	3.97701015523591	2	0.343839342931512	4	3.67556614868142e-06
