Module	Stage	Year	contrast	estimate	SE	df	t.ratio	p.value	CI_low_unadjusted	CI_high_unadjusted	FDR_global_90	FDR_within_stage_year_10	FDR_within_module_9
M1	FruitSet	2012	Cabernet Sauvignon - Pinot noir	2.47165486611854	2.40955186914958	36	1.02577367093196	0.311841764358623	-2.41514282475497	7.35845255699204	0.47569082698773	0.519736273931038	0.467762646537935
M1	Veraison	2012	Cabernet Sauvignon - Pinot noir	4.89875770337708	2.40955186914958	36	2.0330575847309	0.049470955940299	0.0119600125035717	9.78555539425058	0.120334757692619	0.0824515932338316	0.111309650865673
M1	Harvest	2012	Cabernet Sauvignon - Pinot noir	-7.23391443454877	2.40955186914958	36	-3.00218249176013	0.00484931754616829	-12.1207121254223	-2.34711674367526	0.0140786638437144	0.00969863509233657	0.0218219289577573
M1	FruitSet	2013	Cabernet Sauvignon - Pinot noir	9.34644035086033	2.40955186914958	36	3.87891228677265	0.000428606618724846	4.45964265998683	14.2332380417338	0.00160727482021817	0.00142868872908282	0.00385745956852361
M1	Veraison	2013	Cabernet Sauvignon - Pinot noir	1.60870899059989	2.40955186914958	36	0.667638248919563	0.508622173966363	-3.27808870027361	6.49550668147339	0.704246087030348	0.579817020579932	0.572199945712158
M1	Harvest	2013	Cabernet Sauvignon - Pinot noir	-3.89047779386722	2.40955186914958	36	-1.61460636879351	0.115128082228505	-8.77727548474073	0.996319897006281	0.23548925910376	0.23025616445701	0.207230548011309
M1	FruitSet	2014	Cabernet Sauvignon - Pinot noir	-0.954603380544931	2.40955186914958	36	-0.396174655033197	0.694314673428048	-5.84140107141843	3.93219431032857	0.86789334178506	0.989629921095773	0.694314673428048
M1	Veraison	2014	Cabernet Sauvignon - Pinot noir	6.13236777120553	2.40955186914958	36	2.54502418052111	0.0153564916285846	1.24557008033203	11.019165462079	0.0406495366639005	0.0307129832571693	0.0460694748857539
M1	Harvest	2014	Cabernet Sauvignon - Pinot noir	-2.02756126325953	2.40955186914958	36	-0.841468195484471	0.405640763564697	-6.91435895413304	2.85923642761397	0.588833366464882	0.45071195951633	0.521538124583181
M2	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-22.7545308566308	0.419297435997649	36	-54.2682327701102	3.96363509299778e-36	-23.6049054712041	-21.9041562420575	5.14816535781441e-35	3.96363509299778e-35	6.00619291745015e-36
M2	Veraison	2012	Cabernet Sauvignon - Pinot noir	-25.3676948024611	0.419297435997649	36	-60.5004768085519	8.24907228305473e-38	-26.2180694170344	-24.5173201878877	3.22620346619943e-36	8.24907228305473e-37	3.22620346619943e-37
M2	Harvest	2012	Cabernet Sauvignon - Pinot noir	-22.7480306881403	0.419297435997649	36	-54.252730246287	4.00412861163343e-36	-23.5984053027136	-21.8976560735669	5.14816535781441e-35	4.00412861163343e-35	6.00619291745015e-36
M2	FruitSet	2013	Cabernet Sauvignon - Pinot noir	-24.0658986922077	0.419297435997649	36	-57.3957687934506	5.3927904334407e-37	-24.9162733067811	-23.2155240776344	1.21337784752416e-35	5.3927904334407e-36	1.21337784752416e-36
M2	Veraison	2013	Cabernet Sauvignon - Pinot noir	-25.5542046962845	0.419297435997649	36	-60.9452920585658	6.35263979792397e-38	-26.4045793108578	-24.7038300817112	3.22620346619943e-36	6.35263979792397e-37	3.22620346619943e-37
M2	Harvest	2013	Cabernet Sauvignon - Pinot noir	-20.693220786718	0.419297435997649	36	-49.3521281318639	1.1575113693123e-34	-21.5435954012913	-19.8428461721447	1.1575113693123e-33	5.78755684656151e-34	1.30220029047634e-34
M2	FruitSet	2014	Cabernet Sauvignon - Pinot noir	0.145485993467376	0.419297435997649	36	0.346975633469392	0.730629823590445	-0.70488862110594	0.995860608040693	0.888603839501892	0.989629921095773	0.730629823590445
M2	Veraison	2014	Cabernet Sauvignon - Pinot noir	-25.1797323148361	0.419297435997649	36	-60.0521972067992	1.07540115539981e-37	-26.0301069294094	-24.3293577002628	3.22620346619943e-36	1.07540115539981e-36	3.22620346619943e-37
M2	Harvest	2014	Cabernet Sauvignon - Pinot noir	-22.0555104140765	0.419297435997649	36	-52.6011096671723	1.20227773358172e-35	-22.9058850286498	-21.2051357995032	1.35256245027943e-34	1.20227773358172e-34	1.54578565746221e-35
M3	FruitSet	2012	Cabernet Sauvignon - Pinot noir	-0.491602108110055	0.3373303009599	36	-1.45733160261963	0.153693304862745	-1.17573966783576	0.192535451615649	0.288174946617646	0.30738660972549	0.230539957294117
M3	Veraison	2012	Cabernet Sauvignon - Pinot noir	-1.67992063644015	0.3373303009599	36	-4.98004665356122	1.59682939111946e-05	-2.36405819616585	-0.995783076714446	7.18573226003759e-05	7.98414695559732e-05	4.79048817335839e-05
