Module	Cultivar	Stage	Year	Mean	SD	N	SE
M1	Pinot noir	FruitSet	2012	46.7608115390766	2.4224249828201	3	1.39858771592286
M1	Cabernet Sauvignon	FruitSet	2012	49.2324664051951	1.69576532321017	3	0.979050565837824
M1	Pinot noir	Veraison	2012	-0.0679508246511164	5.51901631415334	3	3.18640555463837
M1	Cabernet Sauvignon	Veraison	2012	4.83080687872596	2.24505303738768	3	1.29618197548076
M1	Pinot noir	Harvest	2012	-47.103290550517	2.37811772237676	3	1.37300690717884
M1	Cabernet Sauvignon	Harvest	2012	-54.3372049850657	3.80902020246545	3	2.19913883924215
M1	Pinot noir	FruitSet	2013	38.0693991707003	1.49514846364393	3	0.86322436796328
M1	Cabernet Sauvignon	FruitSet	2013	47.4158395215606	0.785112428738596	3	0.453284872076349
M1	Pinot noir	Veraison	2013	1.57764853522391	1.67462059170884	3	0.966842649413589
M1	Cabernet Sauvignon	Veraison	2013	3.1863575258238	6.6655071526844	3	3.84833234888771
M1	Pinot noir	Harvest	2013	-52.3589323544661	1.81608059958202	3	1.04851462303873
M1	Cabernet Sauvignon	Harvest	2013	-56.2494101483333	0.296490288610004	3	0.171178747941096
M1	Pinot noir	FruitSet	2014	41.6132385820417	2.27036972482961	3	1.31079857179035
M1	Cabernet Sauvignon	FruitSet	2014	40.6586352014967	0.173728282087302	3	0.100302070428955
M1	Pinot noir	Veraison	2014	12.9684992930405	3.68957402998623	3	2.1301765594076
M1	Cabernet Sauvignon	Veraison	2014	19.100867064246	4.1494800663146	3	2.39570343328372
M1	Pinot noir	Harvest	2014	-46.6351097954191	1.34066104347575	3	0.774031014342771
M1	Cabernet Sauvignon	Harvest	2014	-48.6626710586787	1.03353801336942	3	0.596713450236548
M2	Pinot noir	FruitSet	2012	11.1966786368974	0.283383098521735	3	0.163611308215314
M2	Cabernet Sauvignon	FruitSet	2012	-11.5578522197334	0.632231739946714	3	0.365019165248461
M2	Pinot noir	Veraison	2012	10.9059320745345	0.358511933641792	3	0.206986961395782
M2	Cabernet Sauvignon	Veraison	2012	-14.4617627279266	0.537371022234831	3	0.310251304341984
M2	Pinot noir	Harvest	2012	8.85491738981447	0.299718453808625	3	0.173042529987508
M2	Cabernet Sauvignon	Harvest	2012	-13.8931132983258	0.140472826802613	3	0.0811020243683161
M2	Pinot noir	FruitSet	2013	11.7950189435027	0.492534012204448	3	0.284364644531284
M2	Cabernet Sauvignon	FruitSet	2013	-12.270879748705	0.376160862962208	3	0.217176575489833
M2	Pinot noir	Veraison	2013	11.0090515691859	0.464866841243549	3	0.268390995929294
M2	Cabernet Sauvignon	Veraison	2013	-14.5451531270986	0.338703412864759	3	0.195550506592914
M2	Pinot noir	Harvest	2013	7.63570422658868	0.322196625384916	3	0.18602030839797
M2	Cabernet Sauvignon	Harvest	2013	-13.0575165601293	0.218337451484058	3	0.126057186388498
M2	Pinot noir	FruitSet	2014	11.942598456485	1.09038214092808	3	0.629532422584388
M2	Cabernet Sauvignon	FruitSet	2014	12.0880844499523	1.14962186075701	3	0.663734490774336
M2	Pinot noir	Veraison	2014	11.7362684227745	0.352153532715459	3	0.203315936909348
M2	Cabernet Sauvignon	Veraison	2014	-13.4434638920616	0.4423548712425	3	0.2553937039892
M2	Pinot noir	Harvest	2014	9.06049890916074	0.0967385217939756	3	0.0558520115987583
M2	Cabernet Sauvignon	Harvest	2014	-12.9950115049158	0.184369940251116	3	0.106446034634457
M3	Pinot noir	FruitSet	2012	9.34208053616224	0.59877498515189	3	0.345702898861458
M3	Cabernet Sauvignon	FruitSet	2012	8.85047842805219	0.498514552057022	3	0.287817510825067
M3	Pinot noir	Veraison	2012	8.53616221931315	0.710659490893696	3	0.410299448369638
M3	Cabernet Sauvignon	Veraison	2012	6.856241582873	0.838493700468901	3	0.484104563679526
M3	Pinot noir	Harvest	2012	6.98307674230124	0.219732518588482	3	0.126862628756774
M3	Cabernet Sauvignon	Harvest	2012	6.3689097697217	0.684121853789011	3	0.394977936443591
M3	Pinot noir	FruitSet	2013	5.91270816924258	0.316838875293755	3	0.182927009940588
M3	Cabernet Sauvignon	FruitSet	2013	6.34373388557389	0.24535302957484	3	0.141654637671524
M3	Pinot noir	Veraison	2013	7.05371780043772	0.437601969032172	3	0.252649614618635
M3	Cabernet Sauvignon	Veraison	2013	7.45176496311475	0.160018415434674	3	0.0923866752265062
M3	Pinot noir	Harvest	2013	7.10344227227889	0.313643245332968	3	0.181082012122497
M3	Cabernet Sauvignon	Harvest	2013	-11.6058136268514	0.130772677964927	3	0.075501640825699
M3	Pinot noir	FruitSet	2014	-12.1439959942316	0.226792356056588	3	0.130938627819421
M3	Cabernet Sauvignon	FruitSet	2014	-12.3327370048229	0.179521381472073	3	0.103646717918195
M3	Pinot noir	Veraison	2014	-10.3796235528216	0.182303901878035	3	0.105253206823602
M3	Cabernet Sauvignon	Veraison	2014	-12.2508575224729	0.201888421687244	3	0.116560334607399
M3	Pinot noir	Harvest	2014	-10.223507509584	0.258598890861363	3	0.149302139250947
M3	Cabernet Sauvignon	Harvest	2014	-11.8657811582869	0.152398039937358	3	0.0879870493818053
M4	Pinot noir	FruitSet	2012	-6.31047024051041	2.01496640358653	3	1.16334139551874
M4	Cabernet Sauvignon	FruitSet	2012	-4.69815583629544	0.567316178172632	3	0.327540148183599
M4	Pinot noir	Veraison	2012	11.9102743414568	1.0055030547344	3	0.580527459321899
M4	Cabernet Sauvignon	Veraison	2012	13.5816544197663	0.292037101498342	3	0.168607699163426
M4	Pinot noir	Harvest	2012	-7.57625895718396	1.68018238362113	3	0.970053751471327
