Module	Effect	Sum_Sq	Df	F_value	p_value	FDR_by_effect
M1	Cultivar	17.8584865083973	1	2.05059942772201	0.160772164324775	0.178635738138639
M1	Stage	82265.5361694691	2	4723.06713424553	2.6861805561278e-44	2.6861805561278e-43
M1	Year	350.089081247118	2	20.0994767759154	1.3751905672594e-06	2.29198427876567e-06
M1	Cultivar:Stage	207.518888908942	2	11.9141707400033	0.000106934948710055	0.000178224914516758
M1	Cultivar:Year	12.0675112716534	2	0.692825556523102	0.50670587048669	0.563006522762989
M1	Stage:Year	683.176802491574	4	19.6114317913144	1.21266508914703e-08	1.73237869878147e-08
M1	Cultivar:Stage:Year	107.771621728382	4	3.09371717666244	0.0274684653269286	0.0593011531752688
M2	Cultivar	5907.80825370372	1	22402.2025070693	6.55787973773778e-52	6.55787973773778e-51
M2	Stage	411.286104842223	2	779.791270581857	2.29560970771051e-30	4.59121941542102e-30
M2	Year	253.673055188532	2	480.959681566999	1.07084576148318e-26	4.74559124948347e-26
M2	Cultivar:Stage	222.10901555771	2	421.114813776347	1.06782355985397e-25	1.06782355985397e-24
M2	Cultivar:Year	184.192736643291	2	349.226211262646	2.66746663618532e-24	2.66746663618532e-23
M2	Stage:Year	349.270234077139	4	331.105131441186	7.4998925385385e-28	3.74994626926925e-27
M2	Cultivar:Stage:Year	375.352069468813	4	355.830483598393	2.12426363619243e-28	1.06213181809622e-27
M3	Cultivar	98.9675564862873	1	579.816915189796	8.63898464908011e-24	4.31949232454006e-23
M3	Stage	131.88606126375	2	386.3375631037	4.71532339955985e-25	7.85887233259975e-25
M3	Year	3743.36045986349	2	10965.5314900204	7.27024591223964e-51	7.27024591223964e-50
M3	Cultivar:Stage	125.814781665158	2	368.552792351085	1.05961091844508e-24	5.29805459222541e-24
M3	Cultivar:Year	71.6162719855679	2	209.78756763495	1.44332715799395e-20	7.21663578996973e-20
M3	Stage:Year	214.139572892689	4	313.642548585867	1.9341849501929e-27	6.44728316730968e-27
M3	Cultivar:Stage:Year	243.684925664168	4	356.916566633707	2.01373397736079e-28	1.06213181809622e-27
M4	Cultivar	13.0256320821927	1	10.5270152640348	0.00254230575039267	0.00363186535770381
M4	Stage	4153.99530758687	2	1678.58157415171	2.90107972436716e-36	9.67026574789053e-36
M4	Year	3.27874769068872	2	1.32490411094848	0.27847924582702	0.27847924582702
M4	Cultivar:Stage	2.14280078879442	2	0.865881074679775	0.429257041442259	0.476952268269177
M4	Cultivar:Year	0.795430225323123	2	0.321424176217083	0.727175033058453	0.727175033058453
M4	Stage:Year	154.099535848286	4	31.1349222022268	3.07608290068639e-11	6.15216580137278e-11
M4	Cultivar:Stage:Year	14.9942546184789	4	3.02950264228139	0.0298453246532289	0.0593011531752688
M5	Cultivar	876.424650418722	1	269.703093140217	2.65775608500995e-18	6.64439021252488e-18
M5	Stage	2114.74956257818	2	325.387070053178	8.92882282341002e-24	1.27554611763e-23
M5	Year	66.2581571170015	2	10.1948467056969	0.000310348616343733	0.000443355166205333
M5	Cultivar:Stage	1385.87017230408	2	213.237653677701	1.10116175526992e-20	3.67053918423306e-20
M5	Cultivar:Year	27.5215678039249	2	4.23462071795933	0.0223033464963459	0.0446066929926917
M5	Stage:Year	16.0796989464144	4	1.23705572993056	0.312591008774924	0.312591008774924
M5	Cultivar:Stage:Year	6.36279145130739	4	0.489507151186319	0.74336457162941	0.825960635143789
M6	Cultivar	95.5073073879063	1	371.065778503446	1.51098524856727e-20	5.03661749522425e-20
M6	Stage	1492.87470192629	2	2900.06455332507	1.67184873088289e-40	8.35924365441446e-40
M6	Year	243.553127082511	2	473.127309205579	1.42367737484504e-26	4.74559124948347e-26
M6	Cultivar:Stage	98.3768348762414	2	191.107245185931	6.73382213967169e-20	1.68345553491792e-19
M6	Cultivar:Year	27.3925530546947	2	53.21288654466	1.77357874296748e-11	5.91192914322494e-11
M6	Stage:Year	649.318068658328	4	630.683979144316	8.74807756642066e-33	8.74807756642066e-32
M6	Cultivar:Stage:Year	71.1503626187998	4	69.1084939415079	2.16945064629608e-16	7.23150215432028e-16
M7	Cultivar	77.1618590437543	1	16.1848671162461	0.000281859988621194	0.000469766647701989
M7	Stage	911.066416215013	2	95.5490773761243	3.99576663121127e-15	4.43974070134586e-15
M7	Year	350.67327713799	2	36.7772398308768	1.9957332143263e-09	3.9914664286526e-09
M7	Cultivar:Stage	35.6822016931868	2	3.74220955778064	0.0333763545924025	0.047680506560575
M7	Cultivar:Year	20.1719365452698	2	2.11555369782765	0.135309798305025	0.193299711864321
M7	Stage:Year	580.041198306887	4	30.4162245210479	4.23750240199011e-11	7.06250400331686e-11
M7	Cultivar:Stage:Year	55.1891098380988	4	2.89400884084143	0.0355806919051612	0.0593011531752688
M8	Cultivar	10.3981492049553	1	5.44318131338938	0.0253491032774457	0.0316863790968072
M8	Stage	384.571524315628	2	100.656977196429	1.80978108209222e-15	2.26222635261527e-15
M8	Year	459.11486827737	2	120.16780209865	1.16837379495892e-16	2.9209344873973e-16
M8	Cultivar:Stage	1.14533692078952	2	0.299778181765534	0.742814260094912	0.742814260094912
M8	Cultivar:Year	21.3384748364596	2	5.58508948066909	0.00771666386361099	0.0192916596590275
M8	Stage:Year	850.038857106708	4	111.243730289356	9.59518322034399e-20	2.398795805086e-19
M8	Cultivar:Stage:Year	17.4469917328948	4	2.28327026049249	0.0793018909326049	0.113288415618007
M9	Cultivar	4.84176964720052	1	0.237650642024704	0.628863734631344	0.628863734631344
M9	Stage	126.679037398997	2	3.1089205768339	0.0568220145010653	0.0568220145010653
M9	Year	230.515955775553	2	5.65725642469104	0.00730375675025859	0.00811528527806511
M9	Cultivar:Stage	41.1615361928041	2	1.01017460719129	0.374244293196356	0.467805366495445
M9	Cultivar:Year	43.6309813800522	2	1.07077902220447	0.3534054817121	0.441756852140125
M9	Stage:Year	375.518732998619	4	4.60793648253301	0.00415975564712567	0.00462195071902852
M9	Cultivar:Stage:Year	25.3866887187734	4	0.311516414064955	0.868383488404779	0.868383488404779
M10	Cultivar	43.5680649466273	1	78.8643823398929	1.34108597452136e-10	2.68217194904272e-10
M10	Stage	1419.87168003283	2	1285.08465070542	3.35272371773967e-34	8.38180929434917e-34
M10	Year	6.37014969279563	2	5.76543761526269	0.00672791363552981	0.00811528527806511
M10	Cultivar:Stage	27.5222289978032	2	24.9095707278694	1.61781938545692e-07	3.23563877091384e-07
M10	Cultivar:Year	3.49840286564708	2	3.16630290458569	0.0541121721785793	0.0901869536309656
M10	Stage:Year	35.0970376451766	4	15.8826551009187	1.40206195665018e-07	1.75257744581273e-07
M10	Cultivar:Stage:Year	3.36102472679113	4	1.52098296901759	0.216730073669102	0.270912592086378
