Module	Stage	Estimate_2012	Estimate_2013	Estimate_2014	Global_FDR_hits	Same_direction_all_years	Sign_reversal	Single_year_dominant	Dominant_year	Magnitude_dominated_by_one_year	Magnitude_dominant_year
M1	FruitSet	2.47165486611854	9.34644035086033	-0.954603380544931	1	FALSE	TRUE	TRUE	2013	TRUE	2013
M1	Veraison	4.89875770337708	1.60870899059989	6.13236777120553	1	TRUE	FALSE	FALSE	NA	FALSE	NA
M1	Harvest	-7.23391443454877	-3.89047779386722	-2.02756126325953	1	TRUE	FALSE	FALSE	NA	FALSE	NA
M2	FruitSet	-22.7545308566308	-24.0658986922077	0.145485993467376	2	FALSE	TRUE	FALSE	NA	FALSE	NA
M2	Veraison	-25.3676948024611	-25.5542046962845	-25.1797323148361	3	TRUE	FALSE	FALSE	NA	FALSE	NA
M2	Harvest	-22.7480306881403	-20.693220786718	-22.0555104140765	3	TRUE	FALSE	FALSE	NA	FALSE	NA
M3	FruitSet	-0.491602108110055	0.43102571633132	-0.188741010591299	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M3	Veraison	-1.67992063644015	0.398047162677036	-1.87123396965136	2	FALSE	TRUE	FALSE	NA	FALSE	NA
M3	Harvest	-0.614166972579543	-18.7092558991303	-1.64227364870296	2	TRUE	FALSE	FALSE	NA	TRUE	2013
M4	FruitSet	1.61231440421497	2.13144093286704	-0.16708517452032	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M4	Veraison	1.67138007830956	0.991764969045499	1.32715813021048	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M4	Harvest	-1.34613271205735	0.150827597988466	2.46879513810737	1	FALSE	TRUE	FALSE	NA	FALSE	NA
M5	FruitSet	-0.203117825883305	1.88016798634225	0.0192636681222754	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M5	Veraison	-4.82770941418808	-0.952070397119813	-1.59424796427643	1	TRUE	FALSE	TRUE	2012	TRUE	2012
M5	Harvest	-25.0291600186621	-20.9232176727352	-20.8857542334662	3	TRUE	FALSE	FALSE	NA	FALSE	NA
M6	FruitSet	8.23337919885445	10.4352360711614	-0.230296795312278	2	FALSE	TRUE	FALSE	NA	FALSE	NA
M6	Veraison	1.22999679814728	2.34122414203748	3.22054457647351	3	TRUE	FALSE	FALSE	NA	FALSE	NA
M6	Harvest	-0.0470396166955307	-0.431755975769301	-0.81295419771588	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M7	FruitSet	-0.640433277584296	-0.081797283206033	-0.382963118472437	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M7	Veraison	-2.56675841955926	-8.749173486173	-1.73155693902871	1	TRUE	FALSE	TRUE	2013	TRUE	2013
M7	Harvest	-6.06744229695389	-1.39581462860082	0.0991749562228985	1	FALSE	TRUE	TRUE	2012	TRUE	2012
M8	FruitSet	2.15702821586867	-2.35870527097995	-1.20396392657763	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M8	Veraison	0.250133465791158	-4.16895033307134	0.546864461872364	1	FALSE	TRUE	TRUE	2013	TRUE	2013
M8	Harvest	-0.513916972754446	-0.812489186564341	-1.79466459568671	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M9	FruitSet	-0.032949108450716	-5.17971102699782	-0.214583709911587	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M9	Veraison	-0.201246244685798	0.80211392512675	6.23013777528163	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M9	Harvest	0.141114477680848	0.719635073165004	3.12535134939465	0	TRUE	FALSE	FALSE	NA	FALSE	NA
M10	FruitSet	-0.285071443205743	0.694074980720242	-0.126147174765108	0	FALSE	TRUE	FALSE	NA	FALSE	NA
M10	Veraison	-2.42197619633465	-1.93498019975553	-2.02691688901621	3	TRUE	FALSE	FALSE	NA	FALSE	NA
M10	Harvest	-4.83992596525274	-3.15323785467163	-2.0739480820373	3	TRUE	FALSE	FALSE	NA	FALSE	NA
