V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_00s0125g00190	Vitvi05_01chr10g21280	89.4
VIT_00s0125g00280	Vitvi05_01chr10g21500	53.2
VIT_00s0160g00020	Vitvi05_01chr07g16660	62.6
VIT_00s0160g00110	Vitvi05_01chr07g16750	55.2
VIT_00s0160g00130	Vitvi05_01chr07g16760	73.6
VIT_00s0179g00320	Vitvi05_01chr07g01010	77.9
VIT_00s0187g00050	Vitvi05_01chr10g03180	83.9
VIT_00s0187g00090	Vitvi05_01chr10g03120	55.5
VIT_00s0187g00120	Vitvi05_01chr10g03090	90.3
VIT_00s0187g00130	Vitvi05_01chr10g03080	88.3
VIT_00s0187g00170	Vitvi05_01chr10g02990	91
VIT_00s0187g00300	Vitvi05_01chr10g02840	75.9
VIT_00s0189g00050	Vitvi05_01chr07g15990	95.4
VIT_00s0194g00010	Vitvi05_01chr10g03290	60.8
VIT_00s0194g00080	Vitvi05_01chr10g03380	90
VIT_00s0194g00160	Vitvi05_01chr10g03470	85.3
VIT_00s0194g00280	Vitvi05_01chr10g03600	91.9
VIT_00s0203g00160	Vitvi05_01chr10g06670	51.4
VIT_00s0204g00170	Vitvi05_01chr02g09210	81.5
VIT_00s0207g00010	Vitvi05_01chr07g21260	79.9
VIT_00s0207g00250	Vitvi05_01chr07g21520	82.6
VIT_00s0214g00020	Vitvi05_01chr04g15070	74.4
VIT_00s0214g00090	Vitvi05_01chr04g15120	87.3
VIT_00s0225g00010	Vitvi05_01chr01g09940	79.6
VIT_00s0225g00070	Vitvi05_01chr01g10010	82.2
VIT_00s0225g00120	Vitvi05_01chr01g10100	73.4
VIT_00s0225g00230	Vitvi05_01chr01g10290	88.4
VIT_00s0229g00100	Vitvi05_01chr02g08020	90.1
VIT_00s0230g00090	Vitvi05_01chr16g07680	62.1
VIT_00s0233g00020	Vitvi05_01chr02g07170	94.2
VIT_00s0238g00020	Vitvi05_01chr18g33150	54.5
VIT_00s0238g00060	Vitvi05_01chr18g33080	100
VIT_00s0253g00040	Vitvi05_01chr07g21950	83.8
VIT_00s0253g00080	Vitvi05_01chr07g21900	70
VIT_00s0253g00140	Vitvi05_01chr07g21870	70.9
VIT_00s0267g00030	Vitvi05_01chr07g17220	89.3
VIT_00s0270g00120	Vitvi05_01chr04g11600	78.2
VIT_00s0274g00050	Vitvi05_01chr10g05960	75.1
VIT_00s0291g00060	Vitvi05_01chr01g09900	86.5
VIT_00s0301g00090	Vitvi05_01chr10g07360	71.7
VIT_00s0301g00100	Vitvi05_01chr10g07350	90.9
VIT_00s0304g00010	Vitvi05_01chr07g22680	56.7
VIT_00s0304g00070	Vitvi05_01chr07g22590	50.1
VIT_00s0304g00080	Vitvi05_01chr07g22560	58
VIT_00s0323g00050	Vitvi05_01chr02g06940	84.5
VIT_00s0323g00060	Vitvi05_01chr02g06960	85.7
VIT_00s0323g00070	Vitvi05_01chr02g06970	70.7
VIT_00s0323g00100	Vitvi05_01chr02g07050	91.7
VIT_00s0324g00070	Vitvi05_01chr07g23270	58.9
VIT_00s0333g00060	Vitvi05_01chr07g18850	75.2
VIT_00s0361g00040	Vitvi05_01chr10g05520	94.1
VIT_00s0370g00070	Vitvi05_01chr10g07890	92.8
VIT_00s0371g00050	Vitvi05_01chr07g24710	90.4
VIT_00s0371g00100	Vitvi05_01chr07g24740	90.3
VIT_00s0375g00030	Vitvi05_01chr10g07670	87.9
VIT_00s0375g00040	Vitvi05_01chr10g07660	50.6
VIT_00s0389g00030	Vitvi05_01chr02g08410	95.4
VIT_00s0389g00040	Vitvi05_01chr02g08420	61.4
VIT_00s0404g00050	Vitvi05_01chr10g07240	84.7
VIT_00s0414g00030	Vitvi05_01chr10g04120	57.9
VIT_00s0480g00040	Vitvi05_01chr10g07730	93.1
VIT_00s0480g00090	Vitvi05_01chr10g07760	95.8
VIT_00s0487g00050	Vitvi05_01chr07g22070	54.6
VIT_00s0524g00030	Vitvi05_01chr07g18530	64.3
VIT_00s0533g00050	Vitvi05_01chr02g08900	62.7
VIT_00s0583g00030	Vitvi05_01chr10g08050	74.4
VIT_00s0615g00030	Vitvi05_01chr07g24670	59.9
VIT_00s0616g00020	Vitvi05_01chr02g08920	81.4
VIT_00s0665g00030	Vitvi05_01chr07g22830	84.3
VIT_00s0733g00010	Vitvi05_01chr10g19320	78.5
VIT_00s0753g00010	Vitvi05_01chr10g03750	72.1
VIT_00s0802g00010	Vitvi05_01chr07g26200	71.4
VIT_00s0802g00020	Vitvi05_01chr07g26170	79.9
VIT_00s0873g00010	Vitvi05_01chr10g20580	80.6
VIT_00s0929g00020	Vitvi05_01chr07g24440	56.9
