"Gene"	"V3_gene"	"V5_gene"	"V3_MapMan_terms"	"V5_MapMan_terms"	"V3_Pfam"	"V3_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"V5_Pfam"	"V5_PANTHER"	"V5_OtherDomains"
"VIT_05s0077g01580"	"Vitvi05g01756"	NA	"not assigned; not assigned.annotated"	NA	"PF00407 ('Pathogenesis-related protein Bet v 1 family-Bet v I/Major latex protein', '1.5E-21', 'Pfam')"	"PTHR31213 ('OS03G0300400 PROTEIN-RELATED-Plant defense and hormone signaling protein', '3.2E-58', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_03s0038g03860"	"Vitvi03g00242"	"Vitvi05_01chr03g04320"	"not assigned; not assigned.annotated"	NA	"PF04674 ('Phosphate-induced protein 1 conserved region-Protein EXORDIUM-like', '3.9E-100', 'Pfam')"	"PTHR31279 ('PROTEIN EXORDIUM-LIKE 5-Protein EXORDIUM-like', '2.7E-102', 'PANTHER')"	"chr03"	2794499	2796461	"PF04674 ('Phosphate-induced protein 1 conserved region-Protein EXORDIUM-like', '3.9E-100', 'Pfam')"	"PTHR31279 ('PROTEIN EXORDIUM-LIKE 5-Protein EXORDIUM-like', '2.7E-102', 'PANTHER')"	""
"VIT_09s0002g01000"	"Vitvi09g00077"	"Vitvi05_01chr09g01040"	"not assigned; not assigned.not annotated"	NA	"PF07911 ('Protein of unknown function (DUF1677)-Protein of unknown function DUF1677, plant', '3.6E-38', 'Pfam')"	"PTHR33108 ('OS01G0745000 PROTEIN-Protein of unknown function DUF1677, plant', '4.8E-41', 'PANTHER')"	"chr09"	771825	774476	"PF07911 ('Protein of unknown function (DUF1677)-Protein of unknown function DUF1677, plant', '2.0E-38', 'Pfam'); PF07911 ('Protein of unknown function (DUF1677)-Protein of unknown function DUF1677, plant', '2.7E-38', 'Pfam')"	"PTHR33108 ('OS01G0745000 PROTEIN-Protein of unknown function DUF1677, plant', '2.6E-41', 'PANTHER'); PTHR33108 ('OS01G0745000 PROTEIN-Protein of unknown function DUF1677, plant', '3.8E-41', 'PANTHER')"	""
"VIT_00s1206g00010"	"Vitvi10g00294"	NA	"Protein homeostasis; Protein homeostasis.proteolysis; Protein homeostasis.proteolysis.aspartic-type peptidase activities; Protein homeostasis.proteolysis.aspartic-type peptidase activities.A1-class protease (Pepsin)"	NA	"PF14543 ('Xylanase inhibitor N-terminal-Xylanase inhibitor, N-terminal', '4.6E-46', 'Pfam'); PF14541 ('Xylanase inhibitor C-terminal-Xylanase inhibitor, C-terminal', '8.3E-25', 'Pfam')"	"PTHR13683 ('ASPARTYL PROTEASES-Aspartic peptidase A1 family', '8.6E-91', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_14s0030g00340"	"Vitvi14g02586"	"Vitvi05_01chr14g05360"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.MFS superfamily; Solute transport.carrier-mediated transport.MFS superfamily.SP family; Solute transport.carrier-mediated transport.MFS superfamily.SP family.monosaccharide transporter (ERD6)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.MFS superfamily; mapman:Solute transport.carrier-mediated transport.MFS superfamily.sugar transporter SP family; mapman:Solute transport.carrier-mediated transport.MFS superfamily.sugar transporter SP family.monosaccharide transporter *(ERD6)"	"PF00083 ('Sugar (and other) transporter-Major facilitator, sugar transporter-like', '3.3E-79', 'Pfam')"	"PTHR48021 ('Major Facilitator Superfamily Trehalose Transporter', '0.0', 'PANTHER')"	"chr14"	4215917	4223654	"PF00083 ('Sugar (and other) transporter-Major facilitator, sugar transporter-like', '3.9E-88', 'Pfam')"	"PTHR48021 ('Major Facilitator Superfamily Trehalose Transporter', '0.0', 'PANTHER')"	"cd17358 ('MFS_GLUT6_8_Class3_like-Sugar transporter ERD6/Tret1-like', '0.0', 'CDD'); PR00171 ('Sugar transporter signature-Sugar/inositol transporter', '1.9E-17', 'PRINTS'); PS50850 ('Major facilitator superfamily (MFS) profile.-Major facilitator superfamily domain', '43.981487', 'ProSiteProfiles'); TIGR00879 ('sugar porter family MFS transporter-Sugar/inositol transporter', '3.9E-86', 'NCBIfam'); G3DSA:1.20.1250.20:FF:000043 ('sugar transporter ERD6-like 6', '0.0', 'FunFam'); SSF103473 ('MFS general substrate transporter-MFS transporter superfamily', '5.62E-58', 'SUPERFAMILY'); PS00216 ('Sugar transport proteins signature 1.-Sugar transporter, conserved site', '-', 'ProSitePatterns'); G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '9.2E-123', 'Gene3D')"
"VIT_02s0025g03260"	"Vitvi02g00295"	"Vitvi05_01chr02g03820"	"Solute transport; Solute transport.channels; Solute transport.channels.MIP family; Solute transport.channels.MIP family.Nodulin-26-like intrinsic protein (NIP)"	"mapman:Solute transport; mapman:Solute transport.channels; mapman:Solute transport.channels.MIP family; mapman:Solute transport.channels.MIP family.Nodulin-26-like intrinsic protein *(NIP); mapman:Nutrient uptake; mapman:Nutrient uptake.micronutrient uptake systems; mapman:Nutrient uptake.micronutrient uptake systems.boron; mapman:Nutrient uptake.micronutrient uptake systems.boron.boron transporter *(NIP5/6)"	"PF00230 ('Major intrinsic protein-Major intrinsic protein', '4.0E-47', 'Pfam')"	"PTHR45724 ('AQUAPORIN NIP2-1-Aquaporin transporter', '1.8E-91', 'PANTHER')"	"chr02"	2597375	2602904	"PF00230 ('Major intrinsic protein-Major intrinsic protein', '4.0E-47', 'Pfam')"	"PTHR45724 ('AQUAPORIN NIP2-1-Aquaporin transporter', '1.8E-91', 'PANTHER')"	"PR00783 ('Major intrinsic protein family signature-Major intrinsic protein', '9.8E-38', 'PRINTS'); G3DSA:1.20.1080.10:FF:000013 ('Aquaporin NIP2-1', '2.2E-111', 'FunFam'); SSF81338 ('Aquaporin-like-Aquaporin-like', '2.62E-59', 'SUPERFAMILY'); G3DSA:1.20.1080.10 ('Glycerol uptake facilitator protein.-Aquaporin-like', '2.7E-64', 'Gene3D'); PS00221 ('MIP family signature.-Major intrinsic protein, conserved site', '-', 'ProSitePatterns')"
"VIT_10s0116g00530"	"Vitvi10g00027"	"Vitvi05_01chr10g00450"	"Coenzyme metabolism; Coenzyme metabolism.thiamine pyrophosphate biosynthesis; Coenzyme metabolism.thiamine pyrophosphate biosynthesis.thiazole biosynthesis; Coenzyme metabolism.thiamine pyrophosphate biosynthesis.thiazole biosynthesis.biosynthetic protein (Thi4)"	"mapman:Coenzyme metabolism; mapman:Coenzyme metabolism.thiamine pyrophosphate biosynthesis; mapman:Coenzyme metabolism.thiamine pyrophosphate biosynthesis.thiazole moiety; mapman:Coenzyme metabolism.thiamine pyrophosphate biosynthesis.thiazole moiety.thiazole synthase *(Thi1)"	"PF01946 ('Thi4 family', '7.5E-112', 'Pfam')"	"PTHR43422 ('THIAMINE THIAZOLE SYNTHASE', '0.0', 'PANTHER')"	"chr10"	383679	385855	"PF01946 ('Thi4 family', '7.5E-112', 'Pfam')"	"PTHR43422 ('THIAMINE THIAZOLE SYNTHASE', '0.0', 'PANTHER')"	"SSF51905 ('FAD/NAD(P)-binding domain-FAD/NAD(P)-binding domain superfamily', '4.15E-49', 'SUPERFAMILY'); TIGR00292 ('sulfide-dependent adenosine diphosphate thiazole synthase-Thiazole biosynthetic enzyme Thi4 family', '5.5E-80', 'NCBIfam'); G3DSA:3.50.50.60:FF:000070 ('Thiamine thiazole synthase, chloroplastic', '0.0', 'FunFam'); G3DSA:3.50.50.60 ('FAD/NAD(P)-binding domain superfamily', '5.7E-123', 'Gene3D'); MF_03158 ('Thiamine thiazole synthase, chloroplastic [THI4].-Thiamine thiazole synthase', '68.71579', 'Hamap'); G3DSA:6.10.250.2840 ('-', '9.6E-18', 'Gene3D')"
"VIT_08s0007g01560"	"Vitvi08g01300"	"Vitvi05_01chr08g15190"	"not assigned; not assigned.not annotated"	NA	"PF06521 ('PAR1 protein-PAR1', '5.9E-75', 'Pfam')"	"PTHR33649 ('PAR1 PROTEIN-PAR1', '8.1E-81', 'PANTHER')"	"chr08"	16835202	16838697	"PF06521 ('PAR1 protein-PAR1', '5.9E-75', 'Pfam')"	"PTHR33649 ('PAR1 PROTEIN-PAR1', '8.1E-81', 'PANTHER')"	""
"VIT_02s0012g01660"	"Vitvi02g00726"	"Vitvi05_01chr02g12230"	"Solute transport; Solute transport.primary active transport; Solute transport.primary active transport.ABC superfamily; Solute transport.primary active transport.ABC superfamily.ABC1 family; Solute transport.primary active transport.ABC superfamily.ABC1 family.subfamily ABCB transporter"	"mapman:Solute transport; mapman:Solute transport.primary active transport; mapman:Solute transport.primary active transport.ABC superfamily; mapman:Solute transport.primary active transport.ABC superfamily.ABC1 family; mapman:Solute transport.primary active transport.ABC superfamily.ABC1 family.subfamily ABCB transporter"	"PF00664 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain', '6.6E-44', 'Pfam'); PF00664 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain', '7.1E-42', 'Pfam'); PF00005 ('ABC transporter-ABC transporter-like, ATP-binding domain', '3.4E-30', 'Pfam'); PF00005 ('ABC transporter-ABC transporter-like, ATP-binding domain', '6.2E-31', 'Pfam')"	"PTHR24222 ('ABC TRANSPORTER B FAMILY-Type 1 protein exporter', '0.0', 'PANTHER')"	"chr02"	9388529	9398116	"PF00664 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain', '6.6E-44', 'Pfam'); PF00664 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain', '7.1E-42', 'Pfam'); PF00005 ('ABC transporter-ABC transporter-like, ATP-binding domain', '3.4E-30', 'Pfam'); PF00005 ('ABC transporter-ABC transporter-like, ATP-binding domain', '6.2E-31', 'Pfam')"	"PTHR24222 ('ABC TRANSPORTER B FAMILY-Type 1 protein exporter', '0.0', 'PANTHER')"	"SSF52540 ('P-loop containing nucleoside triphosphate hydrolases-P-loop containing nucleoside triphosphate hydrolase', '1.04E-87', 'SUPERFAMILY'); SM00382 ('AAA_5-AAA+ ATPase domain', '3.2E-14', 'SMART'); G3DSA:3.40.50.300 ('P-loop containing nucleoside triphosphate hydrolase', '5.7E-93', 'Gene3D'); G3DSA:3.40.50.300:FF:000205 ('ABC transporter B family member 4', '2.3E-122', 'FunFam'); cd18577 ('ABC_6TM_Pgp_ABCB1_D1_like', '6.83942E-100', 'CDD'); SSF90123 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain superfamily', '6.54E-46', 'SUPERFAMILY'); cd03249 ('ABC_MTABC3_MDL1_MDL2', '3.59726E-126', 'CDD'); PS50893 ('ATP-binding cassette, ABC transporter-type domain profile.-ABC transporter-like, ATP-binding domain', '25.990486', 'ProSiteProfiles'); SM00382 ('AAA_5-AAA+ ATPase domain', '6.0E-17', 'SMART'); SSF90123 ('ABC transporter transmembrane region-ABC transporter type 1, transmembrane domain superfamily', '3.66E-47', 'SUPERFAMILY'); PS00211 ('ABC transporters family signature.-ABC transporter-like, conserved site', '-', 'ProSitePatterns'); PS50893 ('ATP-binding cassette, ABC transporter-type domain profile.-ABC transporter-like, ATP-binding domain', '24.756666', 'ProSiteProfiles'); G3DSA:1.20.1560.10 ('ABC transporter type 1, transmembrane domain-ABC transporter type 1, transmembrane domain superfamily', '0.0', 'Gene3D'); cd18578 ('ABC_6TM_Pgp_ABCB1_D2_like', '4.71128E-100', 'CDD'); cd03249 ('ABC_MTABC3_MDL1_MDL2', '0.0', 'CDD'); SSF52540 ('P-loop containing nucleoside triphosphate hydrolases-P-loop containing nucleoside triphosphate hydrolase', '1.13E-87', 'SUPERFAMILY'); G3DSA:3.40.50.300 ('P-loop containing nucleoside triphosphate hydrolase', '0.0', 'Gene3D'); PS50929 ('ABC transporter integral membrane type-1 fused domain profile.-ABC transporter type 1, transmembrane domain', '37.122936', 'ProSiteProfiles'); PS50929 ('ABC transporter integral membrane type-1 fused domain profile.-ABC transporter type 1, transmembrane domain', '41.309818', 'ProSiteProfiles'); G3DSA:3.40.50.300:FF:000251 ('ABC transporter B family member 19', '6.7E-121', 'FunFam')"
"VIT_05s0062g00610"	"Vitvi05g02111"	"Vitvi05_01chr05g19710"	"Enzyme classification; Enzyme classification.EC_2 transferases; Enzyme classification.EC_2 transferases.EC_2.4 glycosyltransferase"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-4 glycosyltransferase"	"PF06955 ('Xyloglucan endo-transglycosylase (XET) C-terminus-Xyloglucan endo-transglycosylase, C-terminal', '7.1E-17', 'Pfam'); PF00722 ('Glycosyl hydrolases family 16-Glycoside hydrolase family 16', '1.4E-64', 'Pfam')"	"PTHR31062 ('XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 8-RELATED-Beta-glucanase/XTH', '1.2E-124', 'PANTHER')"	"chr05"	20518276	20520484	"PF06955 ('Xyloglucan endo-transglycosylase (XET) C-terminus-Xyloglucan endo-transglycosylase, C-terminal', '7.1E-17', 'Pfam'); PF00722 ('Glycosyl hydrolases family 16-Glycoside hydrolase family 16', '1.4E-64', 'Pfam')"	"PTHR31062 ('XYLOGLUCAN ENDOTRANSGLUCOSYLASE/HYDROLASE PROTEIN 8-RELATED-Beta-glucanase/XTH', '1.2E-124', 'PANTHER')"	"G3DSA:2.60.120.200:FF:000025 ('Xyloglucan endotransglucosylase/hydrolase', '9.8E-125', 'FunFam'); PS51762 ('Glycosyl hydrolases family 16 (GH16) domain profile.-Glycoside hydrolase family 16', '28.812296', 'ProSiteProfiles'); G3DSA:2.60.120.200 ('-', '2.9E-107', 'Gene3D'); cd02176 ('GH16_XET-Xyloglucan endotransglucosylase/hydrolase', '0.0', 'CDD'); SSF49899 ('Concanavalin A-like lectins/glucanases-Concanavalin A-like lectin/glucanase domain superfamily', '1.58E-83', 'SUPERFAMILY'); PIRSF005604 ('EndGlu_transf-Xyloglucan endotransglucosylase/hydrolase', '6.7E-113', 'PIRSF'); PS01034 ('Glycosyl hydrolases family 16 active sites.-Glycoside hydrolase, family 16, active site', '-', 'ProSitePatterns')"
