"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kWithin_to_v3_stilbenoid_group"	"kWithin_to_other_M5"	"Fraction_kWithin_to_v3_stilbenoid_group"	"Fraction_kWithin_from_negative_correlations"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Top_decile_kWithin"	"V3_mapped"	"V5_mapped"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_PAL_label"	"V5_PAL_label"	"V3_stilbenoid_label"	"V5_flavonoid_label"	"V5_CHS_label"	"V3_TF_label"	"V5_TF_label"	"V3_NAC_label"	"V5_NAC_label"	"V5_Pfam_CHS_STS_shared_domain"	"V5_Pfam_NAC_domain"	"V3_V5_STS_CHS_label_conflict"	"V3_gene"	"V5_gene"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"
"VIT_16s0100g00780"	1	43.6586512114924	0.408024777677499	11.1738184473382	32.4848327641542	0.255935951690529	0.050038785383324	0.987516121933569	0.987516121933569	2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01457"	"Vitvi05_01chr16g14030"	"chr16"	21059415	21061300	-4.21872004669093	-3.4688390976237	-3.26541103850353	TRUE
"VIT_16s0100g00750"	2	42.2220975125553	0.394599042173414	11.6411249792654	30.5809725332899	0.275711669127849	0.0500579304684898	0.987586698718979	0.987586698718979	1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01485"	"Vitvi05_01chr16g14000"	"chr16"	21022017	21023894	-4.93591031493343	-3.80327007597137	-4.55130180860864	TRUE
"VIT_16s0100g00770"	3	41.8380469864668	0.39100978492025	11.5004235348109	30.3376234516559	0.274879550150391	0.048669471429042	0.98457310887757	0.98457310887757	3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01486"	"Vitvi05_01chr16g14020"	"chr16"	21051431	21054782	-4.63288029136585	-2.92592278272645	-3.55531879910094	TRUE
"VIT_16s0100g01100"	4	41.4882420312721	0.387740579731515	8.19291251556168	33.2953295157104	0.197475528352978	0.055063983166071	0.977525494877239	0.977525494877239	8	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01475"	"Vitvi05_01chr16g14430"	"chr16"	21384680	21386959	-5.74302785101313	-5.28832947565818	-6.06983754461784	TRUE
"VIT_05s0020g03280"	5	40.8387868824336	0.381670905443305	8.63305334093909	32.2057335414945	0.211393481539789	0.049737000551302	0.978868779673325	0.978868779673325	7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi05g00483"	"Vitvi05_01chr05g07310"	"chr05"	5259229	5263083	-4.13600221214014	-3.85789552598609	-3.94733285881482	TRUE
"VIT_16s0100g00910"	6	40.7704754731407	0.381032481057389	12.6569032422377	28.113572230903	0.310442865709917	0.0416495817260119	0.982767929509309	0.982767929509309	4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01464"	"Vitvi05_01chr16g14090"	"chr16"	21119047	21122355	-5.01010335595213	-3.89934024334322	-3.48908466024534	TRUE
"VIT_12s0028g00860"	7	40.2816754679965	0.376464256710248	9.36831287258909	30.9133625954074	0.232570089594018	0.0509757670076656	0.976819815666351	0.976819815666351	9	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	"Vitvi12g00076"	"Vitvi05_01chr12g01380"	"chr12"	1411171	1414878	-3.33473235995865	-3.56848510573485	-3.77095615266085	TRUE
"VIT_16s0100g01140"	8	40.1973956212515	0.375676594591136	11.32094934945	28.8764462718016	0.281633901263614	0.0400347598150367	0.979165689989047	0.979165689989047	6	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01479"	"Vitvi05_01chr16g14500"	"chr16"	21452008	21453890	-3.7173882621219	-3.01346812406395	-2.415370072006	TRUE
"VIT_06s0004g02010"	9	39.3203342374249	0.36747975922827	8.13889308691097	31.181441150514	0.206989417683139	0.0564450654745175	0.972312547859165	0.972312547859165	12	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi06g01630"	NA	NA	NA	NA	-7.42092739325836	-8.57776203958469	-9.42546399301796	TRUE
"VIT_16s0100g01150"	10	39.1973052146938	0.366329955277512	10.333816745941	28.8634884687527	0.26363589765521	0.046833086324405	0.9810152434934	0.9810152434934	5	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01480"	"Vitvi05_01chr16g14510"	"chr16"	21468617	21470680	-5.17860539693942	-4.21315905597389	-3.79238589770994	TRUE
