"Gene"	"Rank_kWithin"	"kWithin"	"kWithin_per_possible_edge"	"kWithin_to_v3_stilbenoid_group"	"kWithin_to_other_M5"	"Fraction_kWithin_to_v3_stilbenoid_group"	"Fraction_kWithin_from_negative_correlations"	"kME_signed"	"abs_kME"	"Rank_abs_kME"	"Top_decile_kWithin"	"V3_mapped"	"V5_mapped"	"V3_MapMan_annotated"	"V5_MapMan_annotated"	"V3_PAL_label"	"V5_PAL_label"	"V3_stilbenoid_label"	"V5_flavonoid_label"	"V5_CHS_label"	"V3_TF_label"	"V5_TF_label"	"V3_NAC_label"	"V5_NAC_label"	"V5_Pfam_CHS_STS_shared_domain"	"V5_Pfam_NAC_domain"	"V3_V5_STS_CHS_label_conflict"	"V3_gene"	"V5_gene"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"Harvest_CS_minus_PN_2012"	"Harvest_CS_minus_PN_2013"	"Harvest_CS_minus_PN_2014"	"Harvest_same_direction_all_years"	"Selection_reason"
"VIT_16s0100g00780"	1	43.6586512114924	0.408024777677499	11.1738184473382	32.4848327641542	0.255935951690529	0.050038785383324	0.987516121933569	0.987516121933569	2	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01457"	"Vitvi05_01chr16g14030"	"chr16"	21059415	21061300	-4.21872004669093	-3.4688390976237	-3.26541103850353	TRUE	"top_decile_kWithin"
"VIT_16s0100g00750"	2	42.2220975125553	0.394599042173414	11.6411249792654	30.5809725332899	0.275711669127849	0.0500579304684898	0.987586698718979	0.987586698718979	1	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01485"	"Vitvi05_01chr16g14000"	"chr16"	21022017	21023894	-4.93591031493343	-3.80327007597137	-4.55130180860864	TRUE	"top_decile_kWithin"
"VIT_16s0100g00770"	3	41.8380469864668	0.39100978492025	11.5004235348109	30.3376234516559	0.274879550150391	0.048669471429042	0.98457310887757	0.98457310887757	3	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01486"	"Vitvi05_01chr16g14020"	"chr16"	21051431	21054782	-4.63288029136585	-2.92592278272645	-3.55531879910094	TRUE	"top_decile_kWithin"
"VIT_16s0100g01100"	4	41.4882420312721	0.387740579731515	8.19291251556168	33.2953295157104	0.197475528352978	0.055063983166071	0.977525494877239	0.977525494877239	8	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01475"	"Vitvi05_01chr16g14430"	"chr16"	21384680	21386959	-5.74302785101313	-5.28832947565818	-6.06983754461784	TRUE	"top_decile_kWithin"
"VIT_05s0020g03280"	5	40.8387868824336	0.381670905443305	8.63305334093909	32.2057335414945	0.211393481539789	0.049737000551302	0.978868779673325	0.978868779673325	7	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi05g00483"	"Vitvi05_01chr05g07310"	"chr05"	5259229	5263083	-4.13600221214014	-3.85789552598609	-3.94733285881482	TRUE	"top_decile_kWithin"
"VIT_16s0100g00910"	6	40.7704754731407	0.381032481057389	12.6569032422377	28.113572230903	0.310442865709917	0.0416495817260119	0.982767929509309	0.982767929509309	4	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01464"	"Vitvi05_01chr16g14090"	"chr16"	21119047	21122355	-5.01010335595213	-3.89934024334322	-3.48908466024534	TRUE	"top_decile_kWithin"
"VIT_12s0028g00860"	7	40.2816754679965	0.376464256710248	9.36831287258909	30.9133625954074	0.232570089594018	0.0509757670076656	0.976819815666351	0.976819815666351	9	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	"Vitvi12g00076"	"Vitvi05_01chr12g01380"	"chr12"	1411171	1414878	-3.33473235995865	-3.56848510573485	-3.77095615266085	TRUE	"top_decile_kWithin;TF_label"
"VIT_16s0100g01140"	8	40.1973956212515	0.375676594591136	11.32094934945	28.8764462718016	0.281633901263614	0.0400347598150367	0.979165689989047	0.979165689989047	6	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01479"	"Vitvi05_01chr16g14500"	"chr16"	21452008	21453890	-3.7173882621219	-3.01346812406395	-2.415370072006	TRUE	"top_decile_kWithin"
"VIT_06s0004g02010"	9	39.3203342374249	0.36747975922827	8.13889308691097	31.181441150514	0.206989417683139	0.0564450654745175	0.972312547859165	0.972312547859165	12	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi06g01630"	NA	NA	NA	NA	-7.42092739325836	-8.57776203958469	-9.42546399301796	TRUE	"top_decile_kWithin"
"VIT_16s0100g01150"	10	39.1973052146938	0.366329955277512	10.333816745941	28.8634884687527	0.26363589765521	0.046833086324405	0.9810152434934	0.9810152434934	5	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01480"	"Vitvi05_01chr16g14510"	"chr16"	21468617	21470680	-5.17860539693942	-4.21315905597389	-3.79238589770994	TRUE	"top_decile_kWithin"
"VIT_16s0100g01070"	11	38.8257600780864	0.362857570823238	11.6644497573707	27.1613103207158	0.300430686583112	0.0426723082868768	0.973431665789172	0.973431665789172	11	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	"Vitvi16g01474"	"Vitvi05_01chr16g14370"	"chr16"	21354027	21357368	-4.59269953219097	-4.21215462583635	-3.31738044452863	TRUE	"top_decile_kWithin"
"VIT_16s0039g01240"	28	31.918526410296	0.298303985142953	10.0904004176441	21.8281259926519	0.316129895470025	0.0327533484929706	0.951050316464359	0.951050316464359	30	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g00060"	"Vitvi05_01chr16g00890"	"chr16"	691022	693496	-4.38306029860134	-3.5796633619595	-2.0069574062201	TRUE	"v3_PAL_label"
"VIT_16s0039g01170"	30	31.4845921934778	0.294248525172689	10.7939391039875	20.6906530894902	0.342832425386267	0.0291400729764416	0.949725993309318	0.949725993309318	31	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g00057"	"Vitvi05_01chr16g00830"	"chr16"	652281	655137	-4.48339713822813	-3.68572153939961	-2.12010351036026	TRUE	"v3_PAL_label"
"VIT_16s0039g01120"	36	30.4116830033553	0.284221336479956	9.92932290153958	20.4823601018157	0.326496988030688	0.0294605886546724	0.946716966916019	0.946716966916019	40	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g01503"	"Vitvi05_01chr16g00810"	"chr16"	615797	618548	-4.08197045710242	-3.58436437668177	-2.08313265128018	TRUE	"v3_PAL_label"
"VIT_16s0039g01280"	47	27.7184292001209	0.259050740188046	9.30955489723162	18.4088743028893	0.335861560913813	0.027623502387819	0.931691861877053	0.931691861877053	49	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g00061"	"Vitvi05_01chr16g00900"	"chr16"	702369	705036	-4.277804930861	-3.3494408675422	-1.538598050246	TRUE	"v3_PAL_label"
"VIT_16s0039g01300"	51	26.2461770739275	0.245291374522687	9.2104116816703	17.0357653922572	0.350923932873247	0.0251028945729488	0.922996620000056	0.922996620000056	53	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g01507"	"Vitvi05_01chr16g00910"	"chr16"	711808	714839	-4.49226172692327	-3.80708659392998	-1.46723024866091	TRUE	"v3_PAL_label"
"VIT_16s0039g01100"	56	22.9499256115812	0.214485286089544	7.82600657052346	15.1239190410577	0.341003570250103	0.0309723536920184	0.921869597936307	0.921869597936307	56	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi16g00054"	NA	NA	NA	NA	-4.13161472968229	-3.46581443742837	-2.84416723891517	TRUE	"v3_PAL_label"
"VIT_13s0019g00480"	69	18.2987344034657	0.171016209378185	4.1177181307518	14.1810162727139	0.225027482226963	0.0437900049405697	0.909812267882304	0.909812267882304	61	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi13g00262"	"Vitvi05_01chr13g03890"	"chr13"	2587975	2589352	-2.646609948829	-2.23147559949282	-2.37417432543987	TRUE	"TF_label"
"VIT_08s0040g01710"	85	12.0730632521371	0.112832366842403	2.8606168211221	9.21244643101498	0.236942088464229	0.0833925260526337	0.872731740714083	0.872731740714083	78	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi08g01022"	"Vitvi05_01chr08g10910"	"chr08"	13991103	13994726	-4.65747256363854	-3.40268315125602	-4.41515011512251	TRUE	"v3_PAL_label"
"VIT_07s0005g03340"	91	10.147393759947	0.0948354557004396	2.69116740387848	7.45622635606855	0.265207743736213	0.0405339111566671	0.859936118947307	0.859936118947307	86	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi07g00598"	"Vitvi05_01chr07g09050"	"chr07"	6587888	6590227	-3.14727751566914	-2.48923457344102	-3.05450038395636	TRUE	"TF_label"
"VIT_07s0031g01710"	93	7.46421760108883	0.0697590430008302	1.02304808132558	6.44116951976326	0.137060323800895	0.0136302041463643	0.804911878316767	0.804911878316767	96	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	"Vitvi07g01847"	"Vitvi05_01chr07g29730"	"chr07"	28443577	28446743	-3.68975884985472	-1.62678632378362	-3.16645467360897	TRUE	"TF_label"
