"Module"	"Gene"	"V3_gene"	"V5_gene"	"V3_all_term_ids"	"V3_all_term_names"	"V5_all_term_ids"	"V5_all_term_names"	"V3_Pfam"	"V3_PANTHER"	"V5_Pfam"	"V5_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"
"M10"	"VIT_02s0033g01120"	"Vitvi02g01143"	"Vitvi05_01chr02g17580"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF03141 ('Putative S-adenosyl-L-methionine-dependent methyltransferase-Putative S-adenosyl-L-methionine-dependent methyltransferase', '0.0', 'Pfam')"	"PTHR10108 ('SAM-DEPENDENT METHYLTRANSFERASE-Putative S-adenosyl-L-methionine-dependent methyltransferase', '0.0', 'PANTHER')"	"PF03141 ('Putative S-adenosyl-L-methionine-dependent methyltransferase-Putative S-adenosyl-L-methionine-dependent methyltransferase', '0.0', 'Pfam')"	"PTHR10108 ('SAM-DEPENDENT METHYLTRANSFERASE-Putative S-adenosyl-L-methionine-dependent methyltransferase', '0.0', 'PANTHER')"	"chr02"	18416957	18423028
"M10"	"VIT_18s0001g12830"	"Vitvi18g00991"	"Vitvi05_01chr18g14840"	"21; 21.2; 21.2.3; 21.2.3.2; 21.2.3.2.2"	"Cell wall organisation; Cell wall organisation.hemicellulose; Cell wall organisation.hemicellulose.heteromannan; Cell wall organisation.hemicellulose.heteromannan.modification and degradation; Cell wall organisation.hemicellulose.heteromannan.modification and degradation.endo-beta-1,4-mannanase"	"21; 21.2; 21.2.3; 21.2.3.2; 21.2.3.2.2"	"mapman:Cell wall organisation; mapman:Cell wall organisation.hemicellulose; mapman:Cell wall organisation.hemicellulose.heteromannan; mapman:Cell wall organisation.hemicellulose.heteromannan.modification and degradation; mapman:Cell wall organisation.hemicellulose.heteromannan.modification and degradation.endo-beta-1,4-mannanase *(MAN)"	"PF00150 ('Cellulase (glycosyl hydrolase family 5)-Glycoside hydrolase, family 5', '1.0E-10', 'Pfam')"	"PTHR31451 ('MANNAN ENDO-1,4-BETA-MANNOSIDASE 7-Mannan endo-1,4-beta-mannosidase-like', '0.0', 'PANTHER')"	"PF00150 ('Cellulase (glycosyl hydrolase family 5)-Glycoside hydrolase, family 5', '1.0E-10', 'Pfam')"	"PTHR31451 ('MANNAN ENDO-1,4-BETA-MANNOSIDASE 7-Mannan endo-1,4-beta-mannosidase-like', '0.0', 'PANTHER')"	"chr18"	10886647	10889048
"M10"	"VIT_17s0000g00430"	"Vitvi17g00046"	NA	"15; 15.5; 15.5.32; 26; 26.1; 26.1.2; 26.1.2.1; 26.1.2.1.2"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.transcription factor (bHLH); External stimuli response; External stimuli response.light; External stimuli response.light.UV-A/blue light; External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception; External stimuli response.light.UV-A/blue light.cryptochrome-mediated photoperception.transcriptional regulator (CIB)"	""	""	"PF00010 ('Helix-loop-helix DNA-binding domain-Myc-type, basic helix-loop-helix (bHLH) domain', '0.0019', 'Pfam')"	"PTHR12565 ('STEROL REGULATORY ELEMENT-BINDING PROTEIN-Basic helix-loop-helix leucine zipper transcription factor', '2.9E-74', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_08s0040g01890"	"Vitvi08g01038"	NA	"24; 24.3; 24.3.1; 24.3.1.2"	"Solute transport; Solute transport.channels; Solute transport.channels.MIP family; Solute transport.channels.MIP family.plasma membrane intrinsic protein (PIP)"	""	""	"PF00230 ('Major intrinsic protein-Major intrinsic protein', '1.4E-80', 'Pfam')"	"PTHR45687 ('AQUAPORIN OR AQUAGLYCEROPORIN RELATED-Aquaporin transporter', '0.0', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_08s0007g08010"	"Vitvi08g02384"	"Vitvi05_01chr08g23500"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR33659 ('PROTEIN, PUTATIVE-RELATED-RELATED', '4.9E-19', 'PANTHER')"	""	"PTHR33659 ('PROTEIN, PUTATIVE-RELATED-RELATED', '4.9E-19', 'PANTHER')"	"chr08"	22598815	22599334
"M10"	"VIT_13s0019g02180"	"Vitvi13g00343"	"Vitvi05_01chr13g05320"	"50; 50.1; 50.1.1"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.1 oxidoreductase acting on CH-OH group of donor"	"50; 50.1; 50.1.1"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-1 oxidoreductase acting on CH-OH group of donor"	"PF13561 ('Enoyl-(Acyl carrier protein) reductase', '5.1E-56', 'Pfam')"	"PTHR42898 ('TROPINONE REDUCTASE-Tropinone reductase', '0.0', 'PANTHER')"	"PF13561 ('Enoyl-(Acyl carrier protein) reductase', '5.1E-56', 'Pfam')"	"PTHR42898 ('TROPINONE REDUCTASE-Tropinone reductase', '0.0', 'PANTHER')"	"chr13"	3556375	3560984
"M10"	"VIT_05s0049g00770"	"Vitvi05g01947"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR34629 ('PROLINE-RICH EXTENSIN-LIKE PROTEIN EPR1-Plant Proline-Rich Cell Wall Protein', '6.0E-44', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_17s0000g05580"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M10"	"VIT_16s0098g00790"	"Vitvi16g02059"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF00403 ('Heavy-metal-associated domain-Heavy metal-associated domain, HMA', '3.2E-8', 'Pfam'); PF00403 ('Heavy-metal-associated domain-Heavy metal-associated domain, HMA', '1.6E-7', 'Pfam')"	"PTHR47066 ('HEAVY METAL-ASSOCIATED ISOPRENYLATED PLANT PROTEIN 9-Heavy metal-associated isoprenylated plant protein 9-like', '0.0', 'PANTHER')"	NA	NA	NA	NA	NA
"M10"	"VIT_17s0000g01930"	"Vitvi17g00162"	"Vitvi05_01chr17g02250"	"24; 24.2; 24.2.3; 24.2.3.11"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.APC superfamily; Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter (HAK/KUP/KT)"	"24; 24.2; 24.2.3; 24.2.3.11"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.APC superfamily; mapman:Solute transport.carrier-mediated transport.APC superfamily.potassium cation transporter *(HAK/KUP/KT)"	"PF02705 ('K+ potassium transporter integral membrane domain-K+ potassium transporter, integral membrane domain', '0.0', 'Pfam'); PF22776 ('K+ potassium transporter C-terminal domain-K+ potassium transporter, C-terminal domain', '5.4E-19', 'Pfam')"	"PTHR30540 ('OSMOTIC STRESS POTASSIUM TRANSPORTER-Potassium transporter', '0.0', 'PANTHER')"	"PF02705 ('K+ potassium transporter integral membrane domain-K+ potassium transporter, integral membrane domain', '1.2E-131', 'Pfam'); PF22776 ('K+ potassium transporter C-terminal domain-K+ potassium transporter, C-terminal domain', '4.8E-21', 'Pfam'); PF22776 ('K+ potassium transporter C-terminal domain-K+ potassium transporter, C-terminal domain', '4.6E-21', 'Pfam'); PF02705 ('K+ potassium transporter integral membrane domain-K+ potassium transporter, integral membrane domain', '0.0', 'Pfam')"	"PTHR30540 ('OSMOTIC STRESS POTASSIUM TRANSPORTER-Potassium transporter', '0.0', 'PANTHER')"	"chr17"	1959559	1966614
