Transcript	Gene
Vitvi05_01chr00g00010_t001	Vitvi05_01chr00g00010
Vitvi05_01chr00g00020_t001	Vitvi05_01chr00g00020
Vitvi05_01chr00g00030_t001	Vitvi05_01chr00g00030
Vitvi05_01chr00g00040_t001	Vitvi05_01chr00g00040
Vitvi05_01chr00g00050_t001	Vitvi05_01chr00g00050
Vitvi05_01chr00g00060_t001	Vitvi05_01chr00g00060
Vitvi05_01chr00g00070_t001	Vitvi05_01chr00g00070
Vitvi05_01chr00g00080_t001	Vitvi05_01chr00g00080
Vitvi05_01chr00g00090_t001	Vitvi05_01chr00g00090
Vitvi05_01chr00g00100_t001	Vitvi05_01chr00g00100
Vitvi05_01chr00g00110_t001	Vitvi05_01chr00g00110
Vitvi05_01chr00g00120_t001	Vitvi05_01chr00g00120
Vitvi05_01chr00g00130_t001	Vitvi05_01chr00g00130
Vitvi05_01chr00g00140_t001	Vitvi05_01chr00g00140
Vitvi05_01chr00g00150_t001	Vitvi05_01chr00g00150
Vitvi05_01chr00g00160_t001	Vitvi05_01chr00g00160
Vitvi05_01chr00g00170_t001	Vitvi05_01chr00g00170
Vitvi05_01chr00g00180_t001	Vitvi05_01chr00g00180
Vitvi05_01chr00g00180_t002	Vitvi05_01chr00g00180
Vitvi05_01chr00g00190_t001	Vitvi05_01chr00g00190
Vitvi05_01chr00g00200_t001	Vitvi05_01chr00g00200
Vitvi05_01chr00g00210_t001	Vitvi05_01chr00g00210
Vitvi05_01chr00g00210_t002	Vitvi05_01chr00g00210
Vitvi05_01chr00g00220_t001	Vitvi05_01chr00g00220
Vitvi05_01chr00g00230_t001	Vitvi05_01chr00g00230
Vitvi05_01chr00g00240_t001	Vitvi05_01chr00g00240
Vitvi05_01chr00g00240_t002	Vitvi05_01chr00g00240
Vitvi05_01chr00g00250_t001	Vitvi05_01chr00g00250
Vitvi05_01chr00g00260_t001	Vitvi05_01chr00g00260
Vitvi05_01chr00g00270_t001	Vitvi05_01chr00g00270
Vitvi05_01chr00g00280_t001	Vitvi05_01chr00g00280
Vitvi05_01chr00g00290_t001	Vitvi05_01chr00g00290
Vitvi05_01chr00g00300_t001	Vitvi05_01chr00g00300
Vitvi05_01chr00g00310_t001	Vitvi05_01chr00g00310
Vitvi05_01chr00g00320_t001	Vitvi05_01chr00g00320
Vitvi05_01chr00g00330_t001	Vitvi05_01chr00g00330
Vitvi05_01chr00g00340_t001	Vitvi05_01chr00g00340
Vitvi05_01chr00g00350_t001	Vitvi05_01chr00g00350
Vitvi05_01chr00g00360_t001	Vitvi05_01chr00g00360
Vitvi05_01chr00g00370_t001	Vitvi05_01chr00g00370
Vitvi05_01chr00g00380_t001	Vitvi05_01chr00g00380
Vitvi05_01chr00g00390_t001	Vitvi05_01chr00g00390
Vitvi05_01chr00g00400_t001	Vitvi05_01chr00g00400
Vitvi05_01chr00g00410_t001	Vitvi05_01chr00g00410
Vitvi05_01chr00g00420_t001	Vitvi05_01chr00g00420
Vitvi05_01chr00g00430_t001	Vitvi05_01chr00g00430
Vitvi05_01chr00g00440_t001	Vitvi05_01chr00g00440
Vitvi05_01chr00g00450_t001	Vitvi05_01chr00g00450
Vitvi05_01chr00g00460_t001	Vitvi05_01chr00g00460
Vitvi05_01chr00g00470_t002	Vitvi05_01chr00g00470
Vitvi05_01chr00g00470_t001	Vitvi05_01chr00g00470
Vitvi05_01chr00g00480_t001	Vitvi05_01chr00g00480
Vitvi05_01chr00g00490_t001	Vitvi05_01chr00g00490
Vitvi05_01chr00g00500_t001	Vitvi05_01chr00g00500
Vitvi05_01chr00g00510_t001	Vitvi05_01chr00g00510
Vitvi05_01chr00g00520_t001	Vitvi05_01chr00g00520
Vitvi05_01chr00g00530_t001	Vitvi05_01chr00g00530
Vitvi05_01chr00g00540_t001	Vitvi05_01chr00g00540
Vitvi05_01chr00g00550_t001	Vitvi05_01chr00g00550
Vitvi05_01chr00g00560_t001	Vitvi05_01chr00g00560
Vitvi05_01chr00g00570_t001	Vitvi05_01chr00g00570
Vitvi05_01chr00g00580_t001	Vitvi05_01chr00g00580
Vitvi05_01chr00g00590_t001	Vitvi05_01chr00g00590
Vitvi05_01chr00g00600_t001	Vitvi05_01chr00g00600
Vitvi05_01chr00g00610_t001	Vitvi05_01chr00g00610
Vitvi05_01chr00g00620_t001	Vitvi05_01chr00g00620
Vitvi05_01chr00g00630_t001	Vitvi05_01chr00g00630
Vitvi05_01chr00g00640_t001	Vitvi05_01chr00g00640
Vitvi05_01chr00g00650_t001	Vitvi05_01chr00g00650
Vitvi05_01chr00g00660_t001	Vitvi05_01chr00g00660
Vitvi05_01chr00g00670_t001	Vitvi05_01chr00g00670
Vitvi05_01chr00g00680_t001	Vitvi05_01chr00g00680
Vitvi05_01chr00g00690_t001	Vitvi05_01chr00g00690
Vitvi05_01chr00g00700_t001	Vitvi05_01chr00g00700
Vitvi05_01chr00g00710_t001	Vitvi05_01chr00g00710
Vitvi05_01chr00g00720_t001	Vitvi05_01chr00g00720
Vitvi05_01chr00g00730_t001	Vitvi05_01chr00g00730
Vitvi05_01chr00g00740_t001	Vitvi05_01chr00g00740
Vitvi05_01chr00g00750_t001	Vitvi05_01chr00g00750
Vitvi05_01chr00g00760_t001	Vitvi05_01chr00g00760
Vitvi05_01chr00g00770_t001	Vitvi05_01chr00g00770
Vitvi05_01chr00g00780_t001	Vitvi05_01chr00g00780
Vitvi05_01chr00g00790_t001	Vitvi05_01chr00g00790
Vitvi05_01chr00g00800_t001	Vitvi05_01chr00g00800
Vitvi05_01chr00g00810_t001	Vitvi05_01chr00g00810
Vitvi05_01chr00g00820_t001	Vitvi05_01chr00g00820
Vitvi05_01chr00g00830_t001	Vitvi05_01chr00g00830
Vitvi05_01chr00g00840_t002	Vitvi05_01chr00g00840
Vitvi05_01chr00g00840_t001	Vitvi05_01chr00g00840
Vitvi05_01chr00g00850_t001	Vitvi05_01chr00g00850
Vitvi05_01chr00g00860_t001	Vitvi05_01chr00g00860
Vitvi05_01chr00g00870_t001	Vitvi05_01chr00g00870
Vitvi05_01chr00g00880_t001	Vitvi05_01chr00g00880
Vitvi05_01chr00g00890_t001	Vitvi05_01chr00g00890
Vitvi05_01chr00g00900_t001	Vitvi05_01chr00g00900
Vitvi05_01chr00g00910_t001	Vitvi05_01chr00g00910
Vitvi05_01chr00g00920_t001	Vitvi05_01chr00g00920
Vitvi05_01chr00g00930_t001	Vitvi05_01chr00g00930
Vitvi05_01chr00g00940_t001	Vitvi05_01chr00g00940
Vitvi05_01chr00g00950_t001	Vitvi05_01chr00g00950
Vitvi05_01chr00g00960_t001	Vitvi05_01chr00g00960
Vitvi05_01chr00g00970_t001	Vitvi05_01chr00g00970
Vitvi05_01chr00g00980_t001	Vitvi05_01chr00g00980
Vitvi05_01chr00g00990_t001	Vitvi05_01chr00g00990
Vitvi05_01chr00g01000_t001	Vitvi05_01chr00g01000
